Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Gwinnett County,GA,Frank N. Osborne Middle School,130255003380,2015,Classroom Teachers,97.10,94.10,,,,,,,,,,
GA,Gwinnett County,GA,Frank N. Osborne Middle School,130255003380,2015,Classroom teachers in their first year of teaching,4.00,,,,,,,,,,,
GA,Gwinnett County,GA,Frank N. Osborne Middle School,130255003380,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Frank N. Osborne Middle School,130255003380,2015,Teachers absent more than 10 days of the school year,27.00,,,,,,,,,,,
GA,Gwinnett County,GA,Frank N. Osborne Middle School,130255003380,2015,Teachers employed during current school year,98.00,,,,,,,,,,,
GA,Gwinnett County,GA,Frank N. Osborne Middle School,130255003380,2015,Teachers employed during both the current and previous school year,85.00,,,,,,,,,,,
GA,Gwinnett County,GA,Frank N. Osborne Middle School,130255003380,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Gwinnett County,GA,Frank N. Osborne Middle School,130255003380,2015,Total enrollment,,,4.00,94.00,4.00,193.00,220.00,1081.00,76.00,1672.00,227.00,19.00
GA,Jackson County,GA,West Jackson Elementary School,130294002499,2015,Classroom Teachers,51.99,51.99,,,,,,,,,,
GA,Jackson County,GA,West Jackson Elementary School,130294002499,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Jackson County,GA,West Jackson Elementary School,130294002499,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Jackson County,GA,West Jackson Elementary School,130294002499,2015,Teachers absent more than 10 days of the school year,12.00,,,,,,,,,,,
GA,Jackson County,GA,West Jackson Elementary School,130294002499,2015,Teachers employed during current school year,53.00,,,,,,,,,,,
GA,Jackson County,GA,West Jackson Elementary School,130294002499,2015,Teachers employed during both the current and previous school year,20.00,,,,,,,,,,,
GA,Jackson County,GA,West Jackson Elementary School,130294002499,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Jackson County,GA,West Jackson Elementary School,130294002499,2015,Total enrollment,,,4.00,28.00,0.00,124.00,37.00,598.00,34.00,825.00,101.00,64.00
GA,Gwinnett County,GA,Duncan Creek Elementary,130255002905,2015,Classroom Teachers,72.98,72.98,,,,,,,,,,
GA,Gwinnett County,GA,Duncan Creek Elementary,130255002905,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Duncan Creek Elementary,130255002905,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Duncan Creek Elementary,130255002905,2015,Teachers absent more than 10 days of the school year,23.00,,,,,,,,,,,
GA,Gwinnett County,GA,Duncan Creek Elementary,130255002905,2015,Teachers employed during current school year,74.00,,,,,,,,,,,
GA,Gwinnett County,GA,Duncan Creek Elementary,130255002905,2015,Teachers employed during both the current and previous school year,70.00,,,,,,,,,,,
GA,Gwinnett County,GA,Duncan Creek Elementary,130255002905,2015,High-School Counselors,1.50,,,,,,,,,,,
GA,Gwinnett County,GA,Duncan Creek Elementary,130255002905,2015,Total enrollment,,,2.00,61.00,2.00,106.00,148.00,778.00,34.00,1131.00,179.00,73.00
GA,Gwinnett County,GA,Mill Creek High School,130255003376,2015,Classroom Teachers,200.16,193.16,,,,,,,,,,
GA,Gwinnett County,GA,Mill Creek High School,130255003376,2015,Classroom teachers in their first year of teaching,13.00,,,,,,,,,,,
GA,Gwinnett County,GA,Mill Creek High School,130255003376,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Gwinnett County,GA,Mill Creek High School,130255003376,2015,Teachers absent more than 10 days of the school year,33.70,,,,,,,,,,,
GA,Gwinnett County,GA,Mill Creek High School,130255003376,2015,Teachers employed during current school year,207.00,,,,,,,,,,,
GA,Gwinnett County,GA,Mill Creek High School,130255003376,2015,Teachers employed during both the current and previous school year,172.00,,,,,,,,,,,
GA,Gwinnett County,GA,Mill Creek High School,130255003376,2015,High-School Counselors,7.99,,,,,,,,,,,
GA,Gwinnett County,GA,Mill Creek High School,130255003376,2015,Total enrollment,,,5.00,322.00,2.00,508.00,751.00,2251.00,136.00,3975.00,392.00,79.00

