Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Wilkinson County,GA,Wilkinson County Primary School,130579001842,2015,Classroom Teachers,24.50,23.50,,,,,,,,,,
GA,Wilkinson County,GA,Wilkinson County Primary School,130579001842,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Wilkinson County,GA,Wilkinson County Primary School,130579001842,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Wilkinson County,GA,Wilkinson County Primary School,130579001842,2015,Teachers absent more than 10 days of the school year,7.00,,,,,,,,,,,
GA,Wilkinson County,GA,Wilkinson County Primary School,130579001842,2015,Teachers employed during current school year,27.00,,,,,,,,,,,
GA,Wilkinson County,GA,Wilkinson County Primary School,130579001842,2015,Teachers employed during both the current and previous school year,53.00,,,,,,,,,,,
GA,Wilkinson County,GA,Wilkinson County Primary School,130579001842,2015,High-School Counselors,0.50,,,,,,,,,,,
GA,Wilkinson County,GA,Wilkinson County Primary School,130579001842,2015,Total enrollment,,,0.00,4.00,2.00,7.00,217.00,169.00,25.00,424.00,29.00,13.00
GA,Wilkinson County,GA,Wilkinson County Middle School,130579001843,2015,Classroom Teachers,24.95,23.95,,,,,,,,,,
GA,Wilkinson County,GA,Wilkinson County Middle School,130579001843,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Wilkinson County,GA,Wilkinson County Middle School,130579001843,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Wilkinson County,GA,Wilkinson County Middle School,130579001843,2015,Teachers absent more than 10 days of the school year,2.00,,,,,,,,,,,
GA,Wilkinson County,GA,Wilkinson County Middle School,130579001843,2015,Teachers employed during current school year,26.00,,,,,,,,,,,
GA,Wilkinson County,GA,Wilkinson County Middle School,130579001843,2015,Teachers employed during both the current and previous school year,21.00,,,,,,,,,,,
GA,Wilkinson County,GA,Wilkinson County Middle School,130579001843,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Wilkinson County,GA,Wilkinson County Middle School,130579001843,2015,Total enrollment,,,0.00,2.00,2.00,16.00,169.00,106.00,19.00,314.00,29.00,2.00
GA,Wilkinson County,GA,Wilkinson County Elementary School,130579001844,2015,Classroom Teachers,29.20,29.20,,,,,,,,,,
GA,Wilkinson County,GA,Wilkinson County Elementary School,130579001844,2015,Classroom teachers in their first year of teaching,6.00,,,,,,,,,,,
GA,Wilkinson County,GA,Wilkinson County Elementary School,130579001844,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Wilkinson County,GA,Wilkinson County Elementary School,130579001844,2015,Teachers absent more than 10 days of the school year,6.00,,,,,,,,,,,
GA,Wilkinson County,GA,Wilkinson County Elementary School,130579001844,2015,Teachers employed during current school year,32.00,,,,,,,,,,,
GA,Wilkinson County,GA,Wilkinson County Elementary School,130579001844,2015,Teachers employed during both the current and previous school year,20.00,,,,,,,,,,,
GA,Wilkinson County,GA,Wilkinson County Elementary School,130579001844,2015,High-School Counselors,0.50,,,,,,,,,,,
GA,Wilkinson County,GA,Wilkinson County Elementary School,130579001844,2015,Total enrollment,,,0.00,0.00,0.00,13.00,211.00,124.00,19.00,367.00,44.00,4.00
GA,Wilkinson County,GA,Wilkinson County High School,130579001841,2015,Classroom Teachers,35.60,29.60,,,,,,,,,,
GA,Wilkinson County,GA,Wilkinson County High School,130579001841,2015,Classroom teachers in their first year of teaching,4.00,,,,,,,,,,,
GA,Wilkinson County,GA,Wilkinson County High School,130579001841,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Wilkinson County,GA,Wilkinson County High School,130579001841,2015,Teachers absent more than 10 days of the school year,11.00,,,,,,,,,,,
GA,Wilkinson County,GA,Wilkinson County High School,130579001841,2015,Teachers employed during current school year,38.00,,,,,,,,,,,
GA,Wilkinson County,GA,Wilkinson County High School,130579001841,2015,Teachers employed during both the current and previous school year,29.00,,,,,,,,,,,
GA,Wilkinson County,GA,Wilkinson County High School,130579001841,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Wilkinson County,GA,Wilkinson County High School,130579001841,2015,Total enrollment,,,0.00,0.00,0.00,4.00,253.00,154.00,7.00,418.00,50.00,4.00

