Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Jefferson City,GA,Jefferson Academy,130303003671,2015,Classroom Teachers,45.83,45.83,,,,,,,,,,
GA,Jefferson City,GA,Jefferson Academy,130303003671,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Jefferson City,GA,Jefferson Academy,130303003671,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Jefferson City,GA,Jefferson Academy,130303003671,2015,Teachers absent more than 10 days of the school year,13.50,,,,,,,,,,,
GA,Jefferson City,GA,Jefferson Academy,130303003671,2015,Teachers employed during current school year,47.00,,,,,,,,,,,
GA,Jefferson City,GA,Jefferson Academy,130303003671,2015,Teachers employed during both the current and previous school year,36.00,,,,,,,,,,,
GA,Jefferson City,GA,Jefferson Academy,130303003671,2015,High-School Counselors,0.50,,,,,,,,,,,
GA,Jefferson City,GA,Jefferson Academy,130303003671,2015,Total enrollment,,,2.00,13.00,0.00,55.00,70.00,580.00,28.00,748.00,80.00,34.00
GA,Jackson County,GA,West Jackson Middle School,130294001696,2015,Classroom Teachers,57.49,56.49,,,,,,,,,,
GA,Jackson County,GA,West Jackson Middle School,130294001696,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Jackson County,GA,West Jackson Middle School,130294001696,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Jackson County,GA,West Jackson Middle School,130294001696,2015,Teachers absent more than 10 days of the school year,23.00,,,,,,,,,,,
GA,Jackson County,GA,West Jackson Middle School,130294001696,2015,Teachers employed during current school year,58.00,,,,,,,,,,,
GA,Jackson County,GA,West Jackson Middle School,130294001696,2015,Teachers employed during both the current and previous school year,44.00,,,,,,,,,,,
GA,Jackson County,GA,West Jackson Middle School,130294001696,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Jackson County,GA,West Jackson Middle School,130294001696,2015,Total enrollment,,,2.00,22.00,4.00,115.00,28.00,718.00,34.00,923.00,101.00,10.00
GA,Jackson County,GA,Gum Springs Elementary School,130294003742,2015,Classroom Teachers,51.00,51.00,,,,,,,,,,
GA,Jackson County,GA,Gum Springs Elementary School,130294003742,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Jackson County,GA,Gum Springs Elementary School,130294003742,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Jackson County,GA,Gum Springs Elementary School,130294003742,2015,Teachers absent more than 10 days of the school year,20.00,,,,,,,,,,,
GA,Jackson County,GA,Gum Springs Elementary School,130294003742,2015,Teachers employed during current school year,51.00,,,,,,,,,,,
GA,Jackson County,GA,Gum Springs Elementary School,130294003742,2015,Teachers employed during both the current and previous school year,45.00,,,,,,,,,,,
GA,Jackson County,GA,Gum Springs Elementary School,130294003742,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Jackson County,GA,Gum Springs Elementary School,130294003742,2015,Total enrollment,,,2.00,46.00,0.00,43.00,16.00,691.00,25.00,823.00,98.00,43.00
GA,Jefferson City,GA,Jefferson Middle School,130303002346,2015,Classroom Teachers,51.58,51.58,,,,,,,,,,
GA,Jefferson City,GA,Jefferson Middle School,130303002346,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Jefferson City,GA,Jefferson Middle School,130303002346,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Jefferson City,GA,Jefferson Middle School,130303002346,2015,Teachers absent more than 10 days of the school year,13.50,,,,,,,,,,,
GA,Jefferson City,GA,Jefferson Middle School,130303002346,2015,Teachers employed during current school year,52.00,,,,,,,,,,,
GA,Jefferson City,GA,Jefferson Middle School,130303002346,2015,Teachers employed during both the current and previous school year,36.00,,,,,,,,,,,
GA,Jefferson City,GA,Jefferson Middle School,130303002346,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Jefferson City,GA,Jefferson Middle School,130303002346,2015,Total enrollment,,,0.00,13.00,0.00,70.00,76.00,643.00,19.00,821.00,86.00,13.00
GA,Twiggs County,GA,Twiggs Middle School,130522003611,2015,Classroom Teachers,12.00,12.00,,,,,,,,,,
GA,Twiggs County,GA,Twiggs Middle School,130522003611,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Twiggs County,GA,Twiggs Middle School,130522003611,2015,Classroom teachers in their second year of teaching,0.50,,,,,,,,,,,
GA,Twiggs County,GA,Twiggs Middle School,130522003611,2015,Teachers absent more than 10 days of the school year,6.50,,,,,,,,,,,
GA,Twiggs County,GA,Twiggs Middle School,130522003611,2015,Teachers employed during current school year,13.00,,,,,,,,,,,
GA,Twiggs County,GA,Twiggs Middle School,130522003611,2015,Teachers employed during both the current and previous school year,9.00,,,,,,,,,,,
GA,Twiggs County,GA,Twiggs Middle School,130522003611,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Twiggs County,GA,Twiggs Middle School,130522003611,2015,Total enrollment,,,0.00,2.00,0.00,2.00,103.00,64.00,7.00,178.00,23.00,2.00
GA,Twiggs County,GA,Twiggs County High School,130522002446,2015,Classroom Teachers,17.56,12.56,,,,,,,,,,
GA,Twiggs County,GA,Twiggs County High School,130522002446,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Twiggs County,GA,Twiggs County High School,130522002446,2015,Classroom teachers in their second year of teaching,0.50,,,,,,,,,,,
GA,Twiggs County,GA,Twiggs County High School,130522002446,2015,Teachers absent more than 10 days of the school year,9.06,,,,,,,,,,,
GA,Twiggs County,GA,Twiggs County High School,130522002446,2015,Teachers employed during current school year,19.00,,,,,,,,,,,
GA,Twiggs County,GA,Twiggs County High School,130522002446,2015,Teachers employed during both the current and previous school year,8.00,,,,,,,,,,,
GA,Twiggs County,GA,Twiggs County High School,130522002446,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Twiggs County,GA,Twiggs County High School,130522002446,2015,Total enrollment,,,0.00,0.00,0.00,4.00,169.00,70.00,4.00,247.00,44.00,0.00
GA,Jefferson City,GA,Jefferson High School,130303001260,2015,Classroom Teachers,53.47,52.34,,,,,,,,,,
GA,Jefferson City,GA,Jefferson High School,130303001260,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Jefferson City,GA,Jefferson High School,130303001260,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Jefferson City,GA,Jefferson High School,130303001260,2015,Teachers absent more than 10 days of the school year,9.50,,,,,,,,,,,
GA,Jefferson City,GA,Jefferson High School,130303001260,2015,Teachers employed during current school year,56.00,,,,,,,,,,,
GA,Jefferson City,GA,Jefferson High School,130303001260,2015,Teachers employed during both the current and previous school year,45.00,,,,,,,,,,,
GA,Jefferson City,GA,Jefferson High School,130303001260,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Jefferson City,GA,Jefferson High School,130303001260,2015,Total enrollment,,,0.00,16.00,4.00,76.00,79.00,793.00,34.00,1002.00,107.00,16.00
GA,Jackson County,GA,Jackson County High School,130294002134,2015,Classroom Teachers,64.99,62.99,,,,,,,,,,
GA,Jackson County,GA,Jackson County High School,130294002134,2015,Classroom teachers in their first year of teaching,2.50,,,,,,,,,,,
GA,Jackson County,GA,Jackson County High School,130294002134,2015,Classroom teachers in their second year of teaching,3.00,,,,,,,,,,,
GA,Jackson County,GA,Jackson County High School,130294002134,2015,Teachers absent more than 10 days of the school year,16.00,,,,,,,,,,,
GA,Jackson County,GA,Jackson County High School,130294002134,2015,Teachers employed during current school year,64.00,,,,,,,,,,,
GA,Jackson County,GA,Jackson County High School,130294002134,2015,Teachers employed during both the current and previous school year,38.00,,,,,,,,,,,
GA,Jackson County,GA,Jackson County High School,130294002134,2015,High-School Counselors,2.00,,,,,,,,,,,
