Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Twiggs County,GA,Twiggs Middle School,130522003611,2015,Classroom Teachers,12.00,12.00,,,,,,,,,,
GA,Twiggs County,GA,Twiggs Middle School,130522003611,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Twiggs County,GA,Twiggs Middle School,130522003611,2015,Classroom teachers in their second year of teaching,0.50,,,,,,,,,,,
GA,Twiggs County,GA,Twiggs Middle School,130522003611,2015,Teachers absent more than 10 days of the school year,6.50,,,,,,,,,,,
GA,Twiggs County,GA,Twiggs Middle School,130522003611,2015,Teachers employed during current school year,13.00,,,,,,,,,,,
GA,Twiggs County,GA,Twiggs Middle School,130522003611,2015,Teachers employed during both the current and previous school year,9.00,,,,,,,,,,,
GA,Twiggs County,GA,Twiggs Middle School,130522003611,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Twiggs County,GA,Twiggs Middle School,130522003611,2015,Total enrollment,,,0.00,2.00,0.00,2.00,103.00,64.00,7.00,178.00,23.00,2.00
GA,Twiggs County,GA,Twiggs County High School,130522002446,2015,Classroom Teachers,17.56,12.56,,,,,,,,,,
GA,Twiggs County,GA,Twiggs County High School,130522002446,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Twiggs County,GA,Twiggs County High School,130522002446,2015,Classroom teachers in their second year of teaching,0.50,,,,,,,,,,,
GA,Twiggs County,GA,Twiggs County High School,130522002446,2015,Teachers absent more than 10 days of the school year,9.06,,,,,,,,,,,
GA,Twiggs County,GA,Twiggs County High School,130522002446,2015,Teachers employed during current school year,19.00,,,,,,,,,,,
GA,Twiggs County,GA,Twiggs County High School,130522002446,2015,Teachers employed during both the current and previous school year,8.00,,,,,,,,,,,
GA,Twiggs County,GA,Twiggs County High School,130522002446,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Twiggs County,GA,Twiggs County High School,130522002446,2015,Total enrollment,,,0.00,0.00,0.00,4.00,169.00,70.00,4.00,247.00,44.00,0.00
GA,Twiggs County,GA,Jeffersonville Elementary,130522003707,2015,Classroom Teachers,26.25,24.25,,,,,,,,,,
GA,Twiggs County,GA,Jeffersonville Elementary,130522003707,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Twiggs County,GA,Jeffersonville Elementary,130522003707,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Twiggs County,GA,Jeffersonville Elementary,130522003707,2015,Teachers absent more than 10 days of the school year,12.00,,,,,,,,,,,
GA,Twiggs County,GA,Jeffersonville Elementary,130522003707,2015,Teachers employed during current school year,27.00,,,,,,,,,,,
GA,Twiggs County,GA,Jeffersonville Elementary,130522003707,2015,Teachers employed during both the current and previous school year,20.00,,,,,,,,,,,
GA,Twiggs County,GA,Jeffersonville Elementary,130522003707,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Twiggs County,GA,Jeffersonville Elementary,130522003707,2015,Total enrollment,,,0.00,2.00,2.00,0.00,250.00,145.00,4.00,403.00,47.00,2.00

