Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Wayne County,GA,Jesup Elementary School,130555001798,2015,Classroom Teachers,51.97,51.97,,,,,,,,,,
GA,Wayne County,GA,Jesup Elementary School,130555001798,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Wayne County,GA,Jesup Elementary School,130555001798,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Wayne County,GA,Jesup Elementary School,130555001798,2015,Teachers absent more than 10 days of the school year,24.49,,,,,,,,,,,
GA,Wayne County,GA,Jesup Elementary School,130555001798,2015,Teachers employed during current school year,55.00,,,,,,,,,,,
GA,Wayne County,GA,Jesup Elementary School,130555001798,2015,Teachers employed during both the current and previous school year,47.00,,,,,,,,,,,
GA,Wayne County,GA,Jesup Elementary School,130555001798,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Wayne County,GA,Jesup Elementary School,130555001798,2015,Total enrollment,,,4.00,7.00,2.00,52.00,250.00,454.00,49.00,818.00,155.00,4.00
GA,Wayne County,GA,Wayne County High School,130555001800,2015,Classroom Teachers,86.43,83.43,,,,,,,,,,
GA,Wayne County,GA,Wayne County High School,130555001800,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Wayne County,GA,Wayne County High School,130555001800,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Wayne County,GA,Wayne County High School,130555001800,2015,Teachers absent more than 10 days of the school year,36.54,,,,,,,,,,,
GA,Wayne County,GA,Wayne County High School,130555001800,2015,Teachers employed during current school year,89.00,,,,,,,,,,,
GA,Wayne County,GA,Wayne County High School,130555001800,2015,Teachers employed during both the current and previous school year,74.00,,,,,,,,,,,
GA,Wayne County,GA,Wayne County High School,130555001800,2015,High-School Counselors,3.00,,,,,,,,,,,
GA,Wayne County,GA,Wayne County High School,130555001800,2015,Total enrollment,,,4.00,13.00,0.00,109.00,310.00,988.00,46.00,1470.00,167.00,19.00
GA,Wayne County,GA,Arthur Williams Middle School,130555000685,2015,Classroom Teachers,40.00,40.00,,,,,,,,,,
GA,Wayne County,GA,Arthur Williams Middle School,130555000685,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Wayne County,GA,Arthur Williams Middle School,130555000685,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Wayne County,GA,Arthur Williams Middle School,130555000685,2015,Teachers absent more than 10 days of the school year,10.00,,,,,,,,,,,
GA,Wayne County,GA,Arthur Williams Middle School,130555000685,2015,Teachers employed during current school year,41.00,,,,,,,,,,,
GA,Wayne County,GA,Arthur Williams Middle School,130555000685,2015,Teachers employed during both the current and previous school year,37.00,,,,,,,,,,,
GA,Wayne County,GA,Arthur Williams Middle School,130555000685,2015,High-School Counselors,1.00,,,,,,,,,,,
