Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Clayton County,GA,Kilpatrick Elementary School,130123000464,2015,Classroom Teachers,44.00,40.00,,,,,,,,,,
GA,Clayton County,GA,Kilpatrick Elementary School,130123000464,2015,Classroom teachers in their first year of teaching,5.00,,,,,,,,,,,
GA,Clayton County,GA,Kilpatrick Elementary School,130123000464,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Clayton County,GA,Kilpatrick Elementary School,130123000464,2015,Teachers absent more than 10 days of the school year,4.00,,,,,,,,,,,
GA,Clayton County,GA,Kilpatrick Elementary School,130123000464,2015,Teachers employed during current school year,44.00,,,,,,,,,,,
GA,Clayton County,GA,Kilpatrick Elementary School,130123000464,2015,Teachers employed during both the current and previous school year,42.00,,,,,,,,,,,
GA,Clayton County,GA,Kilpatrick Elementary School,130123000464,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Clayton County,GA,Kilpatrick Elementary School,130123000464,2015,Total enrollment,,,0.00,7.00,2.00,307.00,352.00,28.00,25.00,721.00,77.00,196.00
GA,Clayton County,GA,Mundy's Mill High School,130123002523,2015,Classroom Teachers,86.00,71.00,,,,,,,,,,
GA,Clayton County,GA,Mundy's Mill High School,130123002523,2015,Classroom teachers in their first year of teaching,24.00,,,,,,,,,,,
GA,Clayton County,GA,Mundy's Mill High School,130123002523,2015,Classroom teachers in their second year of teaching,3.00,,,,,,,,,,,
GA,Clayton County,GA,Mundy's Mill High School,130123002523,2015,Teachers absent more than 10 days of the school year,25.50,,,,,,,,,,,
GA,Clayton County,GA,Mundy's Mill High School,130123002523,2015,Teachers employed during current school year,87.00,,,,,,,,,,,
GA,Clayton County,GA,Mundy's Mill High School,130123002523,2015,Teachers employed during both the current and previous school year,87.00,,,,,,,,,,,
GA,Clayton County,GA,Mundy's Mill High School,130123002523,2015,High-School Counselors,4.00,,,,,,,,,,,
