Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Troup County,GA,Long Cane Elementary School,130000102011,2015,Classroom Teachers,32.00,32.00,,,,,,,,,,
GA,Troup County,GA,Long Cane Elementary School,130000102011,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Troup County,GA,Long Cane Elementary School,130000102011,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Troup County,GA,Long Cane Elementary School,130000102011,2015,Teachers absent more than 10 days of the school year,8.00,,,,,,,,,,,
GA,Troup County,GA,Long Cane Elementary School,130000102011,2015,Teachers employed during current school year,33.00,,,,,,,,,,,
GA,Troup County,GA,Long Cane Elementary School,130000102011,2015,Teachers employed during both the current and previous school year,29.00,,,,,,,,,,,
GA,Troup County,GA,Long Cane Elementary School,130000102011,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Troup County,GA,Long Cane Elementary School,130000102011,2015,Total enrollment,,,2.00,7.00,0.00,19.00,79.00,397.00,31.00,535.00,38.00,7.00
GA,Troup County,GA,Troup County High School,130000101964,2015,Classroom Teachers,73.68,67.51,,,,,,,,,,
GA,Troup County,GA,Troup County High School,130000101964,2015,Classroom teachers in their first year of teaching,5.00,,,,,,,,,,,
GA,Troup County,GA,Troup County High School,130000101964,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Troup County,GA,Troup County High School,130000101964,2015,Teachers absent more than 10 days of the school year,26.05,,,,,,,,,,,
GA,Troup County,GA,Troup County High School,130000101964,2015,Teachers employed during current school year,73.00,,,,,,,,,,,
GA,Troup County,GA,Troup County High School,130000101964,2015,Teachers employed during both the current and previous school year,58.00,,,,,,,,,,,
GA,Troup County,GA,Troup County High School,130000101964,2015,High-School Counselors,3.00,,,,,,,,,,,
GA,Troup County,GA,Troup County High School,130000101964,2015,Total enrollment,,,0.00,13.00,0.00,46.00,448.00,757.00,61.00,1325.00,125.00,7.00
GA,Troup County,GA,LaGrange High School,130000100608,2015,Classroom Teachers,73.99,69.99,,,,,,,,,,
GA,Troup County,GA,LaGrange High School,130000100608,2015,Classroom teachers in their first year of teaching,8.00,,,,,,,,,,,
GA,Troup County,GA,LaGrange High School,130000100608,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Troup County,GA,LaGrange High School,130000100608,2015,Teachers absent more than 10 days of the school year,19.12,,,,,,,,,,,
GA,Troup County,GA,LaGrange High School,130000100608,2015,Teachers employed during current school year,75.00,,,,,,,,,,,
GA,Troup County,GA,LaGrange High School,130000100608,2015,Teachers employed during both the current and previous school year,54.00,,,,,,,,,,,
GA,Troup County,GA,LaGrange High School,130000100608,2015,High-School Counselors,3.00,,,,,,,,,,,
