Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Gwinnett County,GA,Margaret Winn Holt Elementary School,130255003396,2015,Classroom Teachers,84.12,83.12,,,,,,,,,,
GA,Gwinnett County,GA,Margaret Winn Holt Elementary School,130255003396,2015,Classroom teachers in their first year of teaching,7.00,,,,,,,,,,,
GA,Gwinnett County,GA,Margaret Winn Holt Elementary School,130255003396,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Margaret Winn Holt Elementary School,130255003396,2015,Teachers absent more than 10 days of the school year,19.00,,,,,,,,,,,
GA,Gwinnett County,GA,Margaret Winn Holt Elementary School,130255003396,2015,Teachers employed during current school year,89.00,,,,,,,,,,,
GA,Gwinnett County,GA,Margaret Winn Holt Elementary School,130255003396,2015,Teachers employed during both the current and previous school year,74.00,,,,,,,,,,,
GA,Gwinnett County,GA,Margaret Winn Holt Elementary School,130255003396,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Gwinnett County,GA,Margaret Winn Holt Elementary School,130255003396,2015,Total enrollment,,,4.00,82.00,2.00,445.00,385.00,247.00,49.00,1214.00,155.00,418.00
GA,Gwinnett County,GA,Baggett Elementary School,130255004181,2015,Classroom Teachers,77.50,75.50,,,,,,,,,,
GA,Gwinnett County,GA,Baggett Elementary School,130255004181,2015,Classroom teachers in their first year of teaching,17.00,,,,,,,,,,,
GA,Gwinnett County,GA,Baggett Elementary School,130255004181,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Gwinnett County,GA,Baggett Elementary School,130255004181,2015,Teachers absent more than 10 days of the school year,23.00,,,,,,,,,,,
GA,Gwinnett County,GA,Baggett Elementary School,130255004181,2015,Teachers employed during current school year,78.00,,,,,,,,,,,
GA,Gwinnett County,GA,Baggett Elementary School,130255004181,2015,Teachers employed during both the current and previous school year,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Baggett Elementary School,130255004181,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Gwinnett County,GA,Baggett Elementary School,130255004181,2015,Total enrollment,,,4.00,70.00,2.00,487.00,457.00,91.00,34.00,1145.00,131.00,475.00
GA,Gwinnett County,GA,Lovin Elementary School,130255003382,2015,Classroom Teachers,66.98,66.98,,,,,,,,,,
GA,Gwinnett County,GA,Lovin Elementary School,130255003382,2015,Classroom teachers in their first year of teaching,7.00,,,,,,,,,,,
GA,Gwinnett County,GA,Lovin Elementary School,130255003382,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
