Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Lincoln County,GA,Lincoln County Middle School,130333002407,2015,Classroom Teachers,19.37,19.37,,,,,,,,,,
GA,Lincoln County,GA,Lincoln County Middle School,130333002407,2015,Classroom teachers in their first year of teaching,1.33,,,,,,,,,,,
GA,Lincoln County,GA,Lincoln County Middle School,130333002407,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Lincoln County,GA,Lincoln County Middle School,130333002407,2015,Teachers absent more than 10 days of the school year,5.00,,,,,,,,,,,
GA,Lincoln County,GA,Lincoln County Middle School,130333002407,2015,Teachers employed during current school year,25.00,,,,,,,,,,,
GA,Lincoln County,GA,Lincoln County Middle School,130333002407,2015,Teachers employed during both the current and previous school year,19.00,,,,,,,,,,,
GA,Lincoln County,GA,Lincoln County Middle School,130333002407,2015,High-School Counselors,0.50,,,,,,,,,,,
GA,Lincoln County,GA,Lincoln County Middle School,130333002407,2015,Total enrollment,,,0.00,2.00,0.00,4.00,100.00,130.00,4.00,240.00,35.00,0.00
GA,Lincoln County,GA,Lincoln County High School,130333002408,2015,Classroom Teachers,24.47,22.47,,,,,,,,,,
GA,Lincoln County,GA,Lincoln County High School,130333002408,2015,Classroom teachers in their first year of teaching,1.67,,,,,,,,,,,
GA,Lincoln County,GA,Lincoln County High School,130333002408,2015,Classroom teachers in their second year of teaching,3.00,,,,,,,,,,,
GA,Lincoln County,GA,Lincoln County High School,130333002408,2015,Teachers absent more than 10 days of the school year,13.00,,,,,,,,,,,
GA,Lincoln County,GA,Lincoln County High School,130333002408,2015,Teachers employed during current school year,30.00,,,,,,,,,,,
GA,Lincoln County,GA,Lincoln County High School,130333002408,2015,Teachers employed during both the current and previous school year,24.00,,,,,,,,,,,
GA,Lincoln County,GA,Lincoln County High School,130333002408,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Lincoln County,GA,Lincoln County High School,130333002408,2015,Total enrollment,,,0.00,4.00,0.00,4.00,118.00,238.00,10.00,374.00,35.00,0.00
GA,Lincoln County,GA,Lincoln County Elementary School,130333001308,2015,Classroom Teachers,36.00,35.00,,,,,,,,,,
GA,Lincoln County,GA,Lincoln County Elementary School,130333001308,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Lincoln County,GA,Lincoln County Elementary School,130333001308,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Lincoln County,GA,Lincoln County Elementary School,130333001308,2015,Teachers absent more than 10 days of the school year,11.00,,,,,,,,,,,
GA,Lincoln County,GA,Lincoln County Elementary School,130333001308,2015,Teachers employed during current school year,35.00,,,,,,,,,,,
GA,Lincoln County,GA,Lincoln County Elementary School,130333001308,2015,Teachers employed during both the current and previous school year,32.00,,,,,,,,,,,
GA,Lincoln County,GA,Lincoln County Elementary School,130333001308,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Lincoln County,GA,Lincoln County Elementary School,130333001308,2015,Total enrollment,,,2.00,0.00,0.00,2.00,250.00,316.00,10.00,580.00,68.00,0.00

