Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Floyd County,GA,Pepperell Elementary,130219002260,2015,Classroom Teachers,42.60,42.60,,,,,,,,,,
GA,Floyd County,GA,Pepperell Elementary,130219002260,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Floyd County,GA,Pepperell Elementary,130219002260,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Floyd County,GA,Pepperell Elementary,130219002260,2015,Teachers absent more than 10 days of the school year,11.03,,,,,,,,,,,
GA,Floyd County,GA,Pepperell Elementary,130219002260,2015,Teachers employed during current school year,43.00,,,,,,,,,,,
GA,Floyd County,GA,Pepperell Elementary,130219002260,2015,Teachers employed during both the current and previous school year,37.00,,,,,,,,,,,
GA,Floyd County,GA,Pepperell Elementary,130219002260,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Floyd County,GA,Pepperell Elementary,130219002260,2015,Total enrollment,,,0.00,4.00,0.00,67.00,46.00,556.00,28.00,701.00,125.00,28.00
GA,Floyd County,GA,Pepperell Middle School,130219000934,2015,Classroom Teachers,46.37,46.37,,,,,,,,,,
GA,Floyd County,GA,Pepperell Middle School,130219000934,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Floyd County,GA,Pepperell Middle School,130219000934,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Floyd County,GA,Pepperell Middle School,130219000934,2015,Teachers absent more than 10 days of the school year,10.18,,,,,,,,,,,
GA,Floyd County,GA,Pepperell Middle School,130219000934,2015,Teachers employed during current school year,46.00,,,,,,,,,,,
GA,Floyd County,GA,Pepperell Middle School,130219000934,2015,Teachers employed during both the current and previous school year,39.00,,,,,,,,,,,
GA,Floyd County,GA,Pepperell Middle School,130219000934,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Floyd County,GA,Pepperell Middle School,130219000934,2015,Total enrollment,,,0.00,0.00,0.00,58.00,46.00,595.00,22.00,721.00,122.00,10.00
GA,Floyd County,GA,Pepperell High School,130219003351,2015,Classroom Teachers,52.82,51.82,,,,,,,,,,
GA,Floyd County,GA,Pepperell High School,130219003351,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Floyd County,GA,Pepperell High School,130219003351,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Floyd County,GA,Pepperell High School,130219003351,2015,Teachers absent more than 10 days of the school year,12.10,,,,,,,,,,,
GA,Floyd County,GA,Pepperell High School,130219003351,2015,Teachers employed during current school year,53.00,,,,,,,,,,,
GA,Floyd County,GA,Pepperell High School,130219003351,2015,Teachers employed during both the current and previous school year,42.00,,,,,,,,,,,
GA,Floyd County,GA,Pepperell High School,130219003351,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Floyd County,GA,Pepperell High School,130219003351,2015,Total enrollment,,,0.00,2.00,2.00,70.00,52.00,709.00,34.00,869.00,155.00,7.00
GA,Floyd County,GA,Pepperell Primary,130219000938,2015,Classroom Teachers,37.05,37.05,,,,,,,,,,
GA,Floyd County,GA,Pepperell Primary,130219000938,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Floyd County,GA,Pepperell Primary,130219000938,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Floyd County,GA,Pepperell Primary,130219000938,2015,Teachers absent more than 10 days of the school year,8.00,,,,,,,,,,,
GA,Floyd County,GA,Pepperell Primary,130219000938,2015,Teachers employed during current school year,37.00,,,,,,,,,,,
GA,Floyd County,GA,Pepperell Primary,130219000938,2015,Teachers employed during both the current and previous school year,24.00,,,,,,,,,,,
GA,Floyd County,GA,Pepperell Primary,130219000938,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Floyd County,GA,Pepperell Primary,130219000938,2015,Total enrollment,,,7.00,0.00,0.00,28.00,22.00,535.00,16.00,608.00,53.00,25.00

