Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,DeKalb County,GA,Murphy Candler Elementary School,130174000709,2015,Classroom Teachers,34.74,33.74,,,,,,,,,,
GA,DeKalb County,GA,Murphy Candler Elementary School,130174000709,2015,Classroom teachers in their first year of teaching,7.00,,,,,,,,,,,
GA,DeKalb County,GA,Murphy Candler Elementary School,130174000709,2015,Classroom teachers in their second year of teaching,5.00,,,,,,,,,,,
GA,DeKalb County,GA,Murphy Candler Elementary School,130174000709,2015,Teachers absent more than 10 days of the school year,11.00,,,,,,,,,,,
GA,DeKalb County,GA,Murphy Candler Elementary School,130174000709,2015,Teachers employed during current school year,36.00,,,,,,,,,,,
GA,DeKalb County,GA,Murphy Candler Elementary School,130174000709,2015,Teachers employed during both the current and previous school year,21.00,,,,,,,,,,,
GA,DeKalb County,GA,Murphy Candler Elementary School,130174000709,2015,High-School Counselors,1.49,,,,,,,,,,,
GA,DeKalb County,GA,Murphy Candler Elementary School,130174000709,2015,Total enrollment,,,2.00,0.00,4.00,13.00,511.00,7.00,4.00,541.00,38.00,10.00
GA,DeKalb County,GA,Arabia Mountain High School,130174003915,2015,Classroom Teachers,75.24,67.24,,,,,,,,,,
GA,DeKalb County,GA,Arabia Mountain High School,130174003915,2015,Classroom teachers in their first year of teaching,5.00,,,,,,,,,,,
GA,DeKalb County,GA,Arabia Mountain High School,130174003915,2015,Classroom teachers in their second year of teaching,3.00,,,,,,,,,,,
GA,DeKalb County,GA,Arabia Mountain High School,130174003915,2015,Teachers absent more than 10 days of the school year,36.00,,,,,,,,,,,
GA,DeKalb County,GA,Arabia Mountain High School,130174003915,2015,Teachers employed during current school year,76.00,,,,,,,,,,,
GA,DeKalb County,GA,Arabia Mountain High School,130174003915,2015,Teachers employed during both the current and previous school year,62.00,,,,,,,,,,,
GA,DeKalb County,GA,Arabia Mountain High School,130174003915,2015,High-School Counselors,4.00,,,,,,,,,,,
GA,DeKalb County,GA,Arabia Mountain High School,130174003915,2015,Total enrollment,,,0.00,2.00,0.00,16.00,1315.00,2.00,13.00,1348.00,32.00,7.00
GA,DeKalb County,GA,Lithonia Middle School,130174002858,2015,Classroom Teachers,71.49,67.49,,,,,,,,,,
GA,DeKalb County,GA,Lithonia Middle School,130174002858,2015,Classroom teachers in their first year of teaching,7.00,,,,,,,,,,,
GA,DeKalb County,GA,Lithonia Middle School,130174002858,2015,Classroom teachers in their second year of teaching,3.00,,,,,,,,,,,
GA,DeKalb County,GA,Lithonia Middle School,130174002858,2015,Teachers absent more than 10 days of the school year,47.00,,,,,,,,,,,
GA,DeKalb County,GA,Lithonia Middle School,130174002858,2015,Teachers employed during current school year,72.00,,,,,,,,,,,
GA,DeKalb County,GA,Lithonia Middle School,130174002858,2015,Teachers employed during both the current and previous school year,52.00,,,,,,,,,,,
