Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Henry County,GA,Locust Grove Middle,130282003937,2015,Classroom Teachers,49.10,46.10,,,,,,,,,,
GA,Henry County,GA,Locust Grove Middle,130282003937,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Henry County,GA,Locust Grove Middle,130282003937,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Henry County,GA,Locust Grove Middle,130282003937,2015,Teachers absent more than 10 days of the school year,27.00,,,,,,,,,,,
GA,Henry County,GA,Locust Grove Middle,130282003937,2015,Teachers employed during current school year,50.00,,,,,,,,,,,
GA,Henry County,GA,Locust Grove Middle,130282003937,2015,Teachers employed during both the current and previous school year,42.00,,,,,,,,,,,
GA,Henry County,GA,Locust Grove Middle,130282003937,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Henry County,GA,Locust Grove Middle,130282003937,2015,Total enrollment,,,2.00,4.00,2.00,73.00,205.00,592.00,25.00,903.00,137.00,5.00
GA,Henry County,GA,Locust Grove High,130282003928,2015,Classroom Teachers,81.70,79.70,,,,,,,,,,
GA,Henry County,GA,Locust Grove High,130282003928,2015,Classroom teachers in their first year of teaching,5.00,,,,,,,,,,,
GA,Henry County,GA,Locust Grove High,130282003928,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Henry County,GA,Locust Grove High,130282003928,2015,Teachers absent more than 10 days of the school year,19.40,,,,,,,,,,,
GA,Henry County,GA,Locust Grove High,130282003928,2015,Teachers employed during current school year,81.00,,,,,,,,,,,
GA,Henry County,GA,Locust Grove High,130282003928,2015,Teachers employed during both the current and previous school year,68.00,,,,,,,,,,,
GA,Henry County,GA,Locust Grove High,130282003928,2015,High-School Counselors,3.49,,,,,,,,,,,
GA,Henry County,GA,Locust Grove High,130282003928,2015,Total enrollment,,,0.00,13.00,2.00,79.00,304.00,943.00,61.00,1402.00,197.00,7.00
GA,Henry County,GA,Luella Middle School,130282002393,2015,Classroom Teachers,50.00,47.00,,,,,,,,,,
GA,Henry County,GA,Luella Middle School,130282002393,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Henry County,GA,Luella Middle School,130282002393,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
