Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Walton County,GA,Loganville High School,130539002288,2015,Classroom Teachers,79.52,79.52,,,,,,,,,,
GA,Walton County,GA,Loganville High School,130539002288,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Walton County,GA,Loganville High School,130539002288,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Walton County,GA,Loganville High School,130539002288,2015,Teachers absent more than 10 days of the school year,16.17,,,,,,,,,,,
GA,Walton County,GA,Loganville High School,130539002288,2015,Teachers employed during current school year,79.00,,,,,,,,,,,
GA,Walton County,GA,Loganville High School,130539002288,2015,Teachers employed during both the current and previous school year,69.00,,,,,,,,,,,
GA,Walton County,GA,Loganville High School,130539002288,2015,High-School Counselors,3.00,,,,,,,,,,,
GA,Walton County,GA,Loganville High School,130539002288,2015,Total enrollment,,,7.00,25.00,7.00,106.00,277.00,1048.00,40.00,1510.00,125.00,19.00
GA,Walton County,GA,Loganville Elementary School,130539002136,2015,Classroom Teachers,43.34,43.34,,,,,,,,,,
GA,Walton County,GA,Loganville Elementary School,130539002136,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Walton County,GA,Loganville Elementary School,130539002136,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Walton County,GA,Loganville Elementary School,130539002136,2015,Teachers absent more than 10 days of the school year,14.34,,,,,,,,,,,
GA,Walton County,GA,Loganville Elementary School,130539002136,2015,Teachers employed during current school year,44.00,,,,,,,,,,,
GA,Walton County,GA,Loganville Elementary School,130539002136,2015,Teachers employed during both the current and previous school year,42.00,,,,,,,,,,,
GA,Walton County,GA,Loganville Elementary School,130539002136,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Walton County,GA,Loganville Elementary School,130539002136,2015,Total enrollment,,,2.00,22.00,0.00,58.00,220.00,310.00,25.00,637.00,59.00,34.00
GA,Gwinnett County,GA,Magill Elementary School,130255001635,2015,Classroom Teachers,80.99,78.99,,,,,,,,,,
GA,Gwinnett County,GA,Magill Elementary School,130255001635,2015,Classroom teachers in their first year of teaching,15.00,,,,,,,,,,,
GA,Gwinnett County,GA,Magill Elementary School,130255001635,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Magill Elementary School,130255001635,2015,Teachers absent more than 10 days of the school year,15.00,,,,,,,,,,,
GA,Gwinnett County,GA,Magill Elementary School,130255001635,2015,Teachers employed during current school year,82.00,,,,,,,,,,,
GA,Gwinnett County,GA,Magill Elementary School,130255001635,2015,Teachers employed during both the current and previous school year,60.00,,,,,,,,,,,
GA,Gwinnett County,GA,Magill Elementary School,130255001635,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Gwinnett County,GA,Magill Elementary School,130255001635,2015,Total enrollment,,,4.00,16.00,7.00,265.00,610.00,220.00,49.00,1171.00,140.00,172.00
GA,Walton County,GA,Crossroads Alternative School,130539003997,2015,Classroom Teachers,9.00,9.00,,,,,,,,,,
GA,Walton County,GA,Crossroads Alternative School,130539003997,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Walton County,GA,Crossroads Alternative School,130539003997,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Walton County,GA,Crossroads Alternative School,130539003997,2015,Teachers absent more than 10 days of the school year,0.00,,,,,,,,,,,
GA,Walton County,GA,Crossroads Alternative School,130539003997,2015,Teachers employed during current school year,6.00,,,,,,,,,,,
GA,Walton County,GA,Crossroads Alternative School,130539003997,2015,Teachers employed during both the current and previous school year,5.00,,,,,,,,,,,
GA,Walton County,GA,Crossroads Alternative School,130539003997,2015,High-School Counselors,0.00,,,,,,,,,,,
GA,Walton County,GA,Crossroads Alternative School,130539003997,2015,Total enrollment,,,0.00,0.00,0.00,0.00,25.00,10.00,0.00,35.00,13.00,0.00
GA,Gwinnett County,GA,McConnell Middle School,130255001638,2015,Classroom Teachers,95.50,91.75,,,,,,,,,,
GA,Gwinnett County,GA,McConnell Middle School,130255001638,2015,Classroom teachers in their first year of teaching,6.50,,,,,,,,,,,
GA,Gwinnett County,GA,McConnell Middle School,130255001638,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,McConnell Middle School,130255001638,2015,Teachers absent more than 10 days of the school year,21.00,,,,,,,,,,,
GA,Gwinnett County,GA,McConnell Middle School,130255001638,2015,Teachers employed during current school year,97.00,,,,,,,,,,,
GA,Gwinnett County,GA,McConnell Middle School,130255001638,2015,Teachers employed during both the current and previous school year,83.00,,,,,,,,,,,
GA,Gwinnett County,GA,McConnell Middle School,130255001638,2015,High-School Counselors,2.75,,,,,,,,,,,
GA,Gwinnett County,GA,McConnell Middle School,130255001638,2015,Total enrollment,,,2.00,52.00,2.00,229.00,598.00,754.00,55.00,1692.00,212.00,49.00
