Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Jefferson County,GA,Louisville Middle School,130306001302,2015,Classroom Teachers,29.11,26.11,,,,,,,,,,
GA,Jefferson County,GA,Louisville Middle School,130306001302,2015,Classroom teachers in their first year of teaching,6.33,,,,,,,,,,,
GA,Jefferson County,GA,Louisville Middle School,130306001302,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Jefferson County,GA,Louisville Middle School,130306001302,2015,Teachers absent more than 10 days of the school year,2.28,,,,,,,,,,,
GA,Jefferson County,GA,Louisville Middle School,130306001302,2015,Teachers employed during current school year,33.00,,,,,,,,,,,
GA,Jefferson County,GA,Louisville Middle School,130306001302,2015,Teachers employed during both the current and previous school year,23.00,,,,,,,,,,,
GA,Jefferson County,GA,Louisville Middle School,130306001302,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Jefferson County,GA,Louisville Middle School,130306001302,2015,Total enrollment,,,0.00,4.00,0.00,10.00,295.00,49.00,7.00,365.00,47.00,2.00
GA,Jefferson County,GA,Jefferson County High School,130306001291,2015,Classroom Teachers,52.51,45.51,,,,,,,,,,
GA,Jefferson County,GA,Jefferson County High School,130306001291,2015,Classroom teachers in their first year of teaching,1.67,,,,,,,,,,,
GA,Jefferson County,GA,Jefferson County High School,130306001291,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Jefferson County,GA,Jefferson County High School,130306001291,2015,Teachers absent more than 10 days of the school year,13.35,,,,,,,,,,,
GA,Jefferson County,GA,Jefferson County High School,130306001291,2015,Teachers employed during current school year,56.00,,,,,,,,,,,
GA,Jefferson County,GA,Jefferson County High School,130306001291,2015,Teachers employed during both the current and previous school year,49.00,,,,,,,,,,,
GA,Jefferson County,GA,Jefferson County High School,130306001291,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Jefferson County,GA,Jefferson County High School,130306001291,2015,Total enrollment,,,2.00,7.00,0.00,19.00,544.00,217.00,16.00,805.00,101.00,4.00
GA,Jefferson County,GA,Louisville Academy,130306001264,2015,Classroom Teachers,34.18,34.18,,,,,,,,,,
GA,Jefferson County,GA,Louisville Academy,130306001264,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Jefferson County,GA,Louisville Academy,130306001264,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Jefferson County,GA,Louisville Academy,130306001264,2015,Teachers absent more than 10 days of the school year,9.20,,,,,,,,,,,
GA,Jefferson County,GA,Louisville Academy,130306001264,2015,Teachers employed during current school year,36.00,,,,,,,,,,,
GA,Jefferson County,GA,Louisville Academy,130306001264,2015,Teachers employed during both the current and previous school year,30.00,,,,,,,,,,,
GA,Jefferson County,GA,Louisville Academy,130306001264,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Jefferson County,GA,Louisville Academy,130306001264,2015,Total enrollment,,,4.00,7.00,0.00,19.00,364.00,109.00,4.00,507.00,59.00,7.00

