Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Long County,GA,Long County Middle School,130336004120,2015,Classroom Teachers,40.00,35.00,,,,,,,,,,
GA,Long County,GA,Long County Middle School,130336004120,2015,Classroom teachers in their first year of teaching,6.20,,,,,,,,,,,
GA,Long County,GA,Long County Middle School,130336004120,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Long County,GA,Long County Middle School,130336004120,2015,Teachers absent more than 10 days of the school year,8.20,,,,,,,,,,,
GA,Long County,GA,Long County Middle School,130336004120,2015,Teachers employed during current school year,44.00,,,,,,,,,,,
GA,Long County,GA,Long County Middle School,130336004120,2015,Teachers employed during both the current and previous school year,27.00,,,,,,,,,,,
GA,Long County,GA,Long County Middle School,130336004120,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Long County,GA,Long County Middle School,130336004120,2015,Total enrollment,,,2.00,7.00,4.00,112.00,214.00,343.00,64.00,746.00,98.00,31.00
GA,Long County,GA,Smiley Elementary School,130336002409,2015,Classroom Teachers,72.20,71.20,,,,,,,,,,
GA,Long County,GA,Smiley Elementary School,130336002409,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Long County,GA,Smiley Elementary School,130336002409,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Long County,GA,Smiley Elementary School,130336002409,2015,Teachers absent more than 10 days of the school year,23.00,,,,,,,,,,,
GA,Long County,GA,Smiley Elementary School,130336002409,2015,Teachers employed during current school year,72.00,,,,,,,,,,,
GA,Long County,GA,Smiley Elementary School,130336002409,2015,Teachers employed during both the current and previous school year,60.00,,,,,,,,,,,
GA,Long County,GA,Smiley Elementary School,130336002409,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Long County,GA,Smiley Elementary School,130336002409,2015,Total enrollment,,,4.00,4.00,5.00,175.00,313.00,553.00,94.00,1148.00,119.00,100.00
GA,Long County,GA,Walker Elementary School,130336004140,2015,Classroom Teachers,35.00,32.00,,,,,,,,,,
GA,Long County,GA,Walker Elementary School,130336004140,2015,Classroom teachers in their first year of teaching,10.80,,,,,,,,,,,
GA,Long County,GA,Walker Elementary School,130336004140,2015,Classroom teachers in their second year of teaching,3.00,,,,,,,,,,,
GA,Long County,GA,Walker Elementary School,130336004140,2015,Teachers absent more than 10 days of the school year,7.80,,,,,,,,,,,
GA,Long County,GA,Walker Elementary School,130336004140,2015,Teachers employed during current school year,41.00,,,,,,,,,,,
GA,Long County,GA,Walker Elementary School,130336004140,2015,Teachers employed during both the current and previous school year,27.00,,,,,,,,,,,
GA,Long County,GA,Walker Elementary School,130336004140,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Long County,GA,Walker Elementary School,130336004140,2015,Total enrollment,,,2.00,0.00,2.00,121.00,172.00,343.00,58.00,698.00,92.00,43.00
GA,Long County,GA,Long County High School,130336001371,2015,Classroom Teachers,50.10,41.98,,,,,,,,,,
GA,Long County,GA,Long County High School,130336001371,2015,Classroom teachers in their first year of teaching,10.12,,,,,,,,,,,
GA,Long County,GA,Long County High School,130336001371,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Long County,GA,Long County High School,130336001371,2015,Teachers absent more than 10 days of the school year,13.24,,,,,,,,,,,
GA,Long County,GA,Long County High School,130336001371,2015,Teachers employed during current school year,50.00,,,,,,,,,,,
GA,Long County,GA,Long County High School,130336001371,2015,Teachers employed during both the current and previous school year,31.00,,,,,,,,,,,
GA,Long County,GA,Long County High School,130336001371,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Long County,GA,Long County High School,130336001371,2015,Total enrollment,,,0.00,7.00,4.00,139.00,223.00,472.00,61.00,906.00,83.00,25.00

