Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Cobb County,GA,Floyd Middle School,130129000553,2015,Classroom Teachers,56.50,55.00,,,,,,,,,,
GA,Cobb County,GA,Floyd Middle School,130129000553,2015,Classroom teachers in their first year of teaching,7.00,,,,,,,,,,,
GA,Cobb County,GA,Floyd Middle School,130129000553,2015,Classroom teachers in their second year of teaching,4.00,,,,,,,,,,,
GA,Cobb County,GA,Floyd Middle School,130129000553,2015,Teachers absent more than 10 days of the school year,12.00,,,,,,,,,,,
GA,Cobb County,GA,Floyd Middle School,130129000553,2015,Teachers employed during current school year,57.00,,,,,,,,,,,
GA,Cobb County,GA,Floyd Middle School,130129000553,2015,Teachers employed during both the current and previous school year,40.00,,,,,,,,,,,
GA,Cobb County,GA,Floyd Middle School,130129000553,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Cobb County,GA,Floyd Middle School,130129000553,2015,Total enrollment,,,4.00,19.00,2.00,391.00,433.00,91.00,25.00,965.00,158.00,91.00
GA,Cobb County,GA,Lindley 6th Grade Academy,130129003795,2015,Classroom Teachers,34.73,33.23,,,,,,,,,,
GA,Cobb County,GA,Lindley 6th Grade Academy,130129003795,2015,Classroom teachers in their first year of teaching,6.00,,,,,,,,,,,
GA,Cobb County,GA,Lindley 6th Grade Academy,130129003795,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Cobb County,GA,Lindley 6th Grade Academy,130129003795,2015,Teachers absent more than 10 days of the school year,7.00,,,,,,,,,,,
GA,Cobb County,GA,Lindley 6th Grade Academy,130129003795,2015,Teachers employed during current school year,37.00,,,,,,,,,,,
GA,Cobb County,GA,Lindley 6th Grade Academy,130129003795,2015,Teachers employed during both the current and previous school year,24.00,,,,,,,,,,,
GA,Cobb County,GA,Lindley 6th Grade Academy,130129003795,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Cobb County,GA,Lindley 6th Grade Academy,130129003795,2015,Total enrollment,,,0.00,4.00,0.00,175.00,313.00,19.00,10.00,521.00,68.00,46.00
GA,Cobb County,GA,Pebblebrook High School,130129000559,2015,Classroom Teachers,120.50,108.50,,,,,,,,,,
GA,Cobb County,GA,Pebblebrook High School,130129000559,2015,Classroom teachers in their first year of teaching,7.50,,,,,,,,,,,
GA,Cobb County,GA,Pebblebrook High School,130129000559,2015,Classroom teachers in their second year of teaching,6.00,,,,,,,,,,,
GA,Cobb County,GA,Pebblebrook High School,130129000559,2015,Teachers absent more than 10 days of the school year,30.00,,,,,,,,,,,
GA,Cobb County,GA,Pebblebrook High School,130129000559,2015,Teachers employed during current school year,121.00,,,,,,,,,,,
GA,Cobb County,GA,Pebblebrook High School,130129000559,2015,Teachers employed during both the current and previous school year,99.00,,,,,,,,,,,
GA,Cobb County,GA,Pebblebrook High School,130129000559,2015,High-School Counselors,5.00,,,,,,,,,,,
GA,Cobb County,GA,Pebblebrook High School,130129000559,2015,Total enrollment,,,2.00,13.00,0.00,703.00,1564.00,178.00,34.00,2494.00,248.00,184.00
GA,Cobb County,GA,Bryant Elementary School,130129002158,2015,Classroom Teachers,82.00,82.00,,,,,,,,,,
GA,Cobb County,GA,Bryant Elementary School,130129002158,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Cobb County,GA,Bryant Elementary School,130129002158,2015,Classroom teachers in their second year of teaching,6.00,,,,,,,,,,,
GA,Cobb County,GA,Bryant Elementary School,130129002158,2015,Teachers absent more than 10 days of the school year,15.00,,,,,,,,,,,
GA,Cobb County,GA,Bryant Elementary School,130129002158,2015,Teachers employed during current school year,82.00,,,,,,,,,,,
GA,Cobb County,GA,Bryant Elementary School,130129002158,2015,Teachers employed during both the current and previous school year,65.00,,,,,,,,,,,
