Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Department of Juvenile Justice,GA,Macon Regional Youth Detention Center,130002603509,2015,Classroom Teachers,5.00,5.00,,,,,,,,,,
GA,Department of Juvenile Justice,GA,Macon Regional Youth Detention Center,130002603509,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Department of Juvenile Justice,GA,Macon Regional Youth Detention Center,130002603509,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Department of Juvenile Justice,GA,Macon Regional Youth Detention Center,130002603509,2015,Teachers absent more than 10 days of the school year,1.00,,,,,,,,,,,
GA,Department of Juvenile Justice,GA,Macon Regional Youth Detention Center,130002603509,2015,Teachers employed during current school year,5.00,,,,,,,,,,,
GA,Department of Juvenile Justice,GA,Macon Regional Youth Detention Center,130002603509,2015,Teachers employed during both the current and previous school year,5.00,,,,,,,,,,,
GA,Department of Juvenile Justice,GA,Macon Regional Youth Detention Center,130002603509,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Department of Juvenile Justice,GA,Macon Regional Youth Detention Center,130002603509,2015,Total enrollment,,,0.00,0.00,0.00,2.00,13.00,4.00,2.00,21.00,<=2,0.00
GA,Bibb County,GA,Rutland High School,130042002610,2015,Classroom Teachers,55.00,51.00,,,,,,,,,,
GA,Bibb County,GA,Rutland High School,130042002610,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Bibb County,GA,Rutland High School,130042002610,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Bibb County,GA,Rutland High School,130042002610,2015,Teachers absent more than 10 days of the school year,13.00,,,,,,,,,,,
GA,Bibb County,GA,Rutland High School,130042002610,2015,Teachers employed during current school year,55.00,,,,,,,,,,,
GA,Bibb County,GA,Rutland High School,130042002610,2015,Teachers employed during both the current and previous school year,37.00,,,,,,,,,,,
GA,Bibb County,GA,Rutland High School,130042002610,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Bibb County,GA,Rutland High School,130042002610,2015,Total enrollment,,,4.00,25.00,0.00,85.00,508.00,442.00,25.00,1089.00,101.00,52.00
GA,Bibb County,GA,Morgan Elementary School,130042000227,2015,Classroom Teachers,25.99,25.99,,,,,,,,,,
GA,Bibb County,GA,Morgan Elementary School,130042000227,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Bibb County,GA,Morgan Elementary School,130042000227,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Bibb County,GA,Morgan Elementary School,130042000227,2015,Teachers absent more than 10 days of the school year,2.50,,,,,,,,,,,
GA,Bibb County,GA,Morgan Elementary School,130042000227,2015,Teachers employed during current school year,17.00,,,,,,,,,,,
GA,Bibb County,GA,Morgan Elementary School,130042000227,2015,Teachers employed during both the current and previous school year,16.00,,,,,,,,,,,
GA,Bibb County,GA,Morgan Elementary School,130042000227,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Bibb County,GA,Morgan Elementary School,130042000227,2015,Total enrollment,,,2.00,2.00,0.00,88.00,295.00,25.00,4.00,416.00,62.00,58.00
GA,Bibb County,GA,Hartley Elementary School,130042000241,2015,Classroom Teachers,24.37,23.37,,,,,,,,,,
GA,Bibb County,GA,Hartley Elementary School,130042000241,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Bibb County,GA,Hartley Elementary School,130042000241,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Bibb County,GA,Hartley Elementary School,130042000241,2015,Teachers absent more than 10 days of the school year,7.44,,,,,,,,,,,
