Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Morgan County,GA,Morgan County High School,130378001378,2015,Classroom Teachers,61.53,58.31,,,,,,,,,,
GA,Morgan County,GA,Morgan County High School,130378001378,2015,Classroom teachers in their first year of teaching,1.12,,,,,,,,,,,
GA,Morgan County,GA,Morgan County High School,130378001378,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Morgan County,GA,Morgan County High School,130378001378,2015,Teachers absent more than 10 days of the school year,4.00,,,,,,,,,,,
GA,Morgan County,GA,Morgan County High School,130378001378,2015,Teachers employed during current school year,66.00,,,,,,,,,,,
GA,Morgan County,GA,Morgan County High School,130378001378,2015,Teachers employed during both the current and previous school year,63.00,,,,,,,,,,,
GA,Morgan County,GA,Morgan County High School,130378001378,2015,High-School Counselors,3.07,,,,,,,,,,,
GA,Morgan County,GA,Morgan County High School,130378001378,2015,Total enrollment,,,0.00,13.00,0.00,40.00,280.00,631.00,25.00,989.00,83.00,7.00
GA,Morgan County,GA,Morgan County Primary School,130378001380,2015,Classroom Teachers,57.19,57.19,,,,,,,,,,
GA,Morgan County,GA,Morgan County Primary School,130378001380,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Morgan County,GA,Morgan County Primary School,130378001380,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Morgan County,GA,Morgan County Primary School,130378001380,2015,Teachers absent more than 10 days of the school year,8.00,,,,,,,,,,,
GA,Morgan County,GA,Morgan County Primary School,130378001380,2015,Teachers employed during current school year,60.00,,,,,,,,,,,
GA,Morgan County,GA,Morgan County Primary School,130378001380,2015,Teachers employed during both the current and previous school year,54.00,,,,,,,,,,,
GA,Morgan County,GA,Morgan County Primary School,130378001380,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Morgan County,GA,Morgan County Primary School,130378001380,2015,Total enrollment,,,0.00,7.00,0.00,46.00,217.00,445.00,43.00,758.00,86.00,28.00
GA,Morgan County,GA,Morgan County Elementary School,130378002141,2015,Classroom Teachers,51.50,51.50,,,,,,,,,,
GA,Morgan County,GA,Morgan County Elementary School,130378002141,2015,Classroom teachers in their first year of teaching,6.00,,,,,,,,,,,
GA,Morgan County,GA,Morgan County Elementary School,130378002141,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Morgan County,GA,Morgan County Elementary School,130378002141,2015,Teachers absent more than 10 days of the school year,3.00,,,,,,,,,,,
GA,Morgan County,GA,Morgan County Elementary School,130378002141,2015,Teachers employed during current school year,53.00,,,,,,,,,,,
GA,Morgan County,GA,Morgan County Elementary School,130378002141,2015,Teachers employed during both the current and previous school year,45.00,,,,,,,,,,,
GA,Morgan County,GA,Morgan County Elementary School,130378002141,2015,High-School Counselors,1.29,,,,,,,,,,,
GA,Morgan County,GA,Morgan County Elementary School,130378002141,2015,Total enrollment,,,2.00,10.00,0.00,43.00,202.00,451.00,22.00,730.00,95.00,19.00
GA,Morgan County,GA,Morgan County CrossRoads,130378002752,2015,Classroom Teachers,4.00,4.00,,,,,,,,,,
GA,Morgan County,GA,Morgan County CrossRoads,130378002752,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Morgan County,GA,Morgan County CrossRoads,130378002752,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Morgan County,GA,Morgan County CrossRoads,130378002752,2015,Teachers absent more than 10 days of the school year,0.00,,,,,,,,,,,
GA,Morgan County,GA,Morgan County CrossRoads,130378002752,2015,Teachers employed during current school year,3.00,,,,,,,,,,,
GA,Morgan County,GA,Morgan County CrossRoads,130378002752,2015,Teachers employed during both the current and previous school year,3.00,,,,,,,,,,,
GA,Morgan County,GA,Morgan County CrossRoads,130378002752,2015,High-School Counselors,0.00,,,,,,,,,,,
GA,Morgan County,GA,Morgan County CrossRoads,130378002752,2015,Total enrollment,,,0.00,0.00,0.00,2.00,7.00,5.00,0.00,14.00,<=2,0.00
GA,Morgan County,GA,Morgan County Middle School,130378001379,2015,Classroom Teachers,53.94,52.94,,,,,,,,,,
GA,Morgan County,GA,Morgan County Middle School,130378001379,2015,Classroom teachers in their first year of teaching,13.00,,,,,,,,,,,
GA,Morgan County,GA,Morgan County Middle School,130378001379,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Morgan County,GA,Morgan County Middle School,130378001379,2015,Teachers absent more than 10 days of the school year,3.00,,,,,,,,,,,
GA,Morgan County,GA,Morgan County Middle School,130378001379,2015,Teachers employed during current school year,55.00,,,,,,,,,,,
GA,Morgan County,GA,Morgan County Middle School,130378001379,2015,Teachers employed during both the current and previous school year,40.00,,,,,,,,,,,
GA,Morgan County,GA,Morgan County Middle School,130378001379,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Morgan County,GA,Morgan County Middle School,130378001379,2015,Total enrollment,,,2.00,10.00,0.00,40.00,199.00,445.00,19.00,715.00,83.00,7.00

