Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Marietta City,GA,George W. Hartmann Center,130351003700,2015,Classroom Teachers,1.00,1.00,,,,,,,,,,
GA,Marietta City,GA,George W. Hartmann Center,130351003700,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Marietta City,GA,George W. Hartmann Center,130351003700,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Marietta City,GA,George W. Hartmann Center,130351003700,2015,Teachers absent more than 10 days of the school year,0.00,,,,,,,,,,,
GA,Marietta City,GA,George W. Hartmann Center,130351003700,2015,Teachers employed during current school year,1.00,,,,,,,,,,,
GA,Marietta City,GA,George W. Hartmann Center,130351003700,2015,Teachers employed during both the current and previous school year,1.00,,,,,,,,,,,
GA,Marietta City,GA,George W. Hartmann Center,130351003700,2015,High-School Counselors,0.00,,,,,,,,,,,
GA,Marietta City,GA,George W. Hartmann Center,130351003700,2015,Total enrollment,,,0.00,0.00,0.00,5.00,5.00,10.00,0.00,20.00,4.00,0.00
GA,Cobb County,GA,Murdock Elementary School,130129000544,2015,Classroom Teachers,57.60,57.60,,,,,,,,,,
GA,Cobb County,GA,Murdock Elementary School,130129000544,2015,Classroom teachers in their first year of teaching,6.00,,,,,,,,,,,
GA,Cobb County,GA,Murdock Elementary School,130129000544,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Cobb County,GA,Murdock Elementary School,130129000544,2015,Teachers absent more than 10 days of the school year,10.00,,,,,,,,,,,
GA,Cobb County,GA,Murdock Elementary School,130129000544,2015,Teachers employed during current school year,58.00,,,,,,,,,,,
GA,Cobb County,GA,Murdock Elementary School,130129000544,2015,Teachers employed during both the current and previous school year,47.00,,,,,,,,,,,
GA,Cobb County,GA,Murdock Elementary School,130129000544,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Cobb County,GA,Murdock Elementary School,130129000544,2015,Total enrollment,,,5.00,124.00,0.00,97.00,61.00,637.00,31.00,955.00,89.00,52.00
GA,Cobb County,GA,Mountain View Elementary School,130129000560,2015,Classroom Teachers,55.00,55.00,,,,,,,,,,
GA,Cobb County,GA,Mountain View Elementary School,130129000560,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Cobb County,GA,Mountain View Elementary School,130129000560,2015,Classroom teachers in their second year of teaching,7.00,,,,,,,,,,,
GA,Cobb County,GA,Mountain View Elementary School,130129000560,2015,Teachers absent more than 10 days of the school year,8.00,,,,,,,,,,,
GA,Cobb County,GA,Mountain View Elementary School,130129000560,2015,Teachers employed during current school year,55.00,,,,,,,,,,,
GA,Cobb County,GA,Mountain View Elementary School,130129000560,2015,Teachers employed during both the current and previous school year,48.00,,,,,,,,,,,
GA,Cobb County,GA,Mountain View Elementary School,130129000560,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Cobb County,GA,Mountain View Elementary School,130129000560,2015,Total enrollment,,,2.00,91.00,2.00,91.00,61.00,526.00,55.00,828.00,98.00,46.00
GA,Cobb County,GA,Kell High School,130129002526,2015,Classroom Teachers,83.00,81.00,,,,,,,,,,
GA,Cobb County,GA,Kell High School,130129002526,2015,Classroom teachers in their first year of teaching,4.50,,,,,,,,,,,
GA,Cobb County,GA,Kell High School,130129002526,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Cobb County,GA,Kell High School,130129002526,2015,Teachers absent more than 10 days of the school year,16.00,,,,,,,,,,,
GA,Cobb County,GA,Kell High School,130129002526,2015,Teachers employed during current school year,84.00,,,,,,,,,,,
GA,Cobb County,GA,Kell High School,130129002526,2015,Teachers employed during both the current and previous school year,69.00,,,,,,,,,,,
GA,Cobb County,GA,Kell High School,130129002526,2015,High-School Counselors,3.50,,,,,,,,,,,
GA,Cobb County,GA,Kell High School,130129002526,2015,Total enrollment,,,2.00,28.00,2.00,226.00,349.00,817.00,58.00,1482.00,200.00,31.00
GA,Cobb County,GA,Cheatham Hill Elementary School,130129002138,2015,Classroom Teachers,74.97,74.97,,,,,,,,,,
GA,Cobb County,GA,Cheatham Hill Elementary School,130129002138,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Cobb County,GA,Cheatham Hill Elementary School,130129002138,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Cobb County,GA,Cheatham Hill Elementary School,130129002138,2015,Teachers absent more than 10 days of the school year,14.49,,,,,,,,,,,
GA,Cobb County,GA,Cheatham Hill Elementary School,130129002138,2015,Teachers employed during current school year,77.00,,,,,,,,,,,
GA,Cobb County,GA,Cheatham Hill Elementary School,130129002138,2015,Teachers employed during both the current and previous school year,70.00,,,,,,,,,,,
GA,Cobb County,GA,Cheatham Hill Elementary School,130129002138,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Cobb County,GA,Cheatham Hill Elementary School,130129002138,2015,Total enrollment,,,0.00,28.00,2.00,247.00,250.00,508.00,55.00,1090.00,122.00,160.00
GA,Cobb County,GA,Hollydale Elementary School,130129000557,2015,Classroom Teachers,63.50,63.50,,,,,,,,,,
GA,Cobb County,GA,Hollydale Elementary School,130129000557,2015,Classroom teachers in their first year of teaching,11.00,,,,,,,,,,,
GA,Cobb County,GA,Hollydale Elementary School,130129000557,2015,Classroom teachers in their second year of teaching,3.00,,,,,,,,,,,
GA,Cobb County,GA,Hollydale Elementary School,130129000557,2015,Teachers absent more than 10 days of the school year,15.00,,,,,,,,,,,
GA,Cobb County,GA,Hollydale Elementary School,130129000557,2015,Teachers employed during current school year,65.00,,,,,,,,,,,
GA,Cobb County,GA,Hollydale Elementary School,130129000557,2015,Teachers employed during both the current and previous school year,48.00,,,,,,,,,,,
GA,Cobb County,GA,Hollydale Elementary School,130129000557,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Cobb County,GA,Hollydale Elementary School,130129000557,2015,Total enrollment,,,4.00,16.00,0.00,268.00,283.00,55.00,22.00,648.00,74.00,205.00
GA,Cobb County,GA,Smitha Middle School,130129000242,2015,Classroom Teachers,69.00,68.00,,,,,,,,,,
GA,Cobb County,GA,Smitha Middle School,130129000242,2015,Classroom teachers in their first year of teaching,7.50,,,,,,,,,,,
GA,Cobb County,GA,Smitha Middle School,130129000242,2015,Classroom teachers in their second year of teaching,3.00,,,,,,,,,,,
GA,Cobb County,GA,Smitha Middle School,130129000242,2015,Teachers absent more than 10 days of the school year,16.00,,,,,,,,,,,
GA,Cobb County,GA,Smitha Middle School,130129000242,2015,Teachers employed during current school year,70.00,,,,,,,,,,,
GA,Cobb County,GA,Smitha Middle School,130129000242,2015,Teachers employed during both the current and previous school year,53.00,,,,,,,,,,,
GA,Cobb County,GA,Smitha Middle School,130129000242,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Cobb County,GA,Smitha Middle School,130129000242,2015,Total enrollment,,,0.00,19.00,0.00,466.00,388.00,61.00,31.00,965.00,158.00,124.00
GA,Cobb County,GA,Performance Learning Center,130129003727,2015,Classroom Teachers,8.00,8.00,,,,,,,,,,
GA,Cobb County,GA,Performance Learning Center,130129003727,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Cobb County,GA,Performance Learning Center,130129003727,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Cobb County,GA,Performance Learning Center,130129003727,2015,Teachers absent more than 10 days of the school year,0.00,,,,,,,,,,,
GA,Cobb County,GA,Performance Learning Center,130129003727,2015,Teachers employed during current school year,8.00,,,,,,,,,,,
GA,Cobb County,GA,Performance Learning Center,130129003727,2015,Teachers employed during both the current and previous school year,6.00,,,,,,,,,,,
GA,Cobb County,GA,Performance Learning Center,130129003727,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Cobb County,GA,Performance Learning Center,130129003727,2015,Total enrollment,,,0.00,2.00,0.00,25.00,40.00,43.00,4.00,114.00,14.00,2.00
GA,Marietta City,GA,Sawyer Road Elementary School,130351003479,2015,Classroom Teachers,61.56,61.56,,,,,,,,,,
GA,Marietta City,GA,Sawyer Road Elementary School,130351003479,2015,Classroom teachers in their first year of teaching,4.50,,,,,,,,,,,
GA,Marietta City,GA,Sawyer Road Elementary School,130351003479,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Marietta City,GA,Sawyer Road Elementary School,130351003479,2015,Teachers absent more than 10 days of the school year,27.00,,,,,,,,,,,
GA,Marietta City,GA,Sawyer Road Elementary School,130351003479,2015,Teachers employed during current school year,65.00,,,,,,,,,,,
GA,Marietta City,GA,Sawyer Road Elementary School,130351003479,2015,Teachers employed during both the current and previous school year,54.00,,,,,,,,,,,
GA,Marietta City,GA,Sawyer Road Elementary School,130351003479,2015,High-School Counselors,1.50,,,,,,,,,,,
GA,Marietta City,GA,Sawyer Road Elementary School,130351003479,2015,Total enrollment,,,4.00,19.00,2.00,415.00,250.00,64.00,28.00,782.00,74.00,346.00
GA,Marietta City,GA,A.L. Burruss Elementary School,130351001338,2015,Classroom Teachers,35.57,35.57,,,,,,,,,,
GA,Marietta City,GA,A.L. Burruss Elementary School,130351001338,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Marietta City,GA,A.L. Burruss Elementary School,130351001338,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Marietta City,GA,A.L. Burruss Elementary School,130351001338,2015,Teachers absent more than 10 days of the school year,14.00,,,,,,,,,,,
GA,Marietta City,GA,A.L. Burruss Elementary School,130351001338,2015,Teachers employed during current school year,37.00,,,,,,,,,,,
GA,Marietta City,GA,A.L. Burruss Elementary School,130351001338,2015,Teachers employed during both the current and previous school year,32.00,,,,,,,,,,,
GA,Marietta City,GA,A.L. Burruss Elementary School,130351001338,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Marietta City,GA,A.L. Burruss Elementary School,130351001338,2015,Total enrollment,,,0.00,7.00,0.00,82.00,157.00,181.00,22.00,449.00,44.00,58.00
GA,Cobb County,GA,LaBelle Elementary School,130129000571,2015,Classroom Teachers,53.98,53.98,,,,,,,,,,
GA,Cobb County,GA,LaBelle Elementary School,130129000571,2015,Classroom teachers in their first year of teaching,7.00,,,,,,,,,,,
GA,Cobb County,GA,LaBelle Elementary School,130129000571,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Cobb County,GA,LaBelle Elementary School,130129000571,2015,Teachers absent more than 10 days of the school year,11.00,,,,,,,,,,,
GA,Cobb County,GA,LaBelle Elementary School,130129000571,2015,Teachers employed during current school year,55.00,,,,,,,,,,,
GA,Cobb County,GA,LaBelle Elementary School,130129000571,2015,Teachers employed during both the current and previous school year,48.00,,,,,,,,,,,
GA,Cobb County,GA,LaBelle Elementary School,130129000571,2015,High-School Counselors,1.50,,,,,,,,,,,
GA,Cobb County,GA,LaBelle Elementary School,130129000571,2015,Total enrollment,,,0.00,10.00,0.00,349.00,145.00,19.00,10.00,533.00,86.00,232.00
GA,Marietta City,GA,West Side Elementary School,130351001341,2015,Classroom Teachers,39.07,38.07,,,,,,,,,,
GA,Marietta City,GA,West Side Elementary School,130351001341,2015,Classroom teachers in their first year of teaching,4.00,,,,,,,,,,,
GA,Marietta City,GA,West Side Elementary School,130351001341,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Marietta City,GA,West Side Elementary School,130351001341,2015,Teachers absent more than 10 days of the school year,9.07,,,,,,,,,,,
GA,Marietta City,GA,West Side Elementary School,130351001341,2015,Teachers employed during current school year,40.00,,,,,,,,,,,
GA,Marietta City,GA,West Side Elementary School,130351001341,2015,Teachers employed during both the current and previous school year,29.00,,,,,,,,,,,
GA,Marietta City,GA,West Side Elementary School,130351001341,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Marietta City,GA,West Side Elementary School,130351001341,2015,Total enrollment,,,0.00,19.00,0.00,40.00,88.00,361.00,28.00,536.00,38.00,22.00
GA,Marietta City,GA,Dunleith Elementary School,130351000763,2015,Classroom Teachers,49.43,49.43,,,,,,,,,,
GA,Marietta City,GA,Dunleith Elementary School,130351000763,2015,Classroom teachers in their first year of teaching,5.50,,,,,,,,,,,
GA,Marietta City,GA,Dunleith Elementary School,130351000763,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Marietta City,GA,Dunleith Elementary School,130351000763,2015,Teachers absent more than 10 days of the school year,13.93,,,,,,,,,,,
GA,Marietta City,GA,Dunleith Elementary School,130351000763,2015,Teachers employed during current school year,50.00,,,,,,,,,,,
GA,Marietta City,GA,Dunleith Elementary School,130351000763,2015,Teachers employed during both the current and previous school year,32.00,,,,,,,,,,,
GA,Marietta City,GA,Dunleith Elementary School,130351000763,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Marietta City,GA,Dunleith Elementary School,130351000763,2015,Total enrollment,,,4.00,2.00,0.00,253.00,409.00,16.00,19.00,703.00,44.00,190.00
GA,Cobb County,GA,Sprayberry High School,130129000545,2015,Classroom Teachers,100.97,93.97,,,,,,,,,,
GA,Cobb County,GA,Sprayberry High School,130129000545,2015,Classroom teachers in their first year of teaching,6.00,,,,,,,,,,,
GA,Cobb County,GA,Sprayberry High School,130129000545,2015,Classroom teachers in their second year of teaching,5.00,,,,,,,,,,,
GA,Cobb County,GA,Sprayberry High School,130129000545,2015,Teachers absent more than 10 days of the school year,26.49,,,,,,,,,,,
GA,Cobb County,GA,Sprayberry High School,130129000545,2015,Teachers employed during current school year,102.00,,,,,,,,,,,
GA,Cobb County,GA,Sprayberry High School,130129000545,2015,Teachers employed during both the current and previous school year,85.00,,,,,,,,,,,
GA,Cobb County,GA,Sprayberry High School,130129000545,2015,High-School Counselors,4.00,,,,,,,,,,,
GA,Cobb County,GA,Sprayberry High School,130129000545,2015,Total enrollment,,,7.00,109.00,2.00,304.00,499.00,727.00,91.00,1739.00,248.00,67.00
GA,Cobb County,GA,Dowell Elementary School,130129002069,2015,Classroom Teachers,65.50,65.50,,,,,,,,,,
GA,Cobb County,GA,Dowell Elementary School,130129002069,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Cobb County,GA,Dowell Elementary School,130129002069,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Cobb County,GA,Dowell Elementary School,130129002069,2015,Teachers absent more than 10 days of the school year,10.00,,,,,,,,,,,
GA,Cobb County,GA,Dowell Elementary School,130129002069,2015,Teachers employed during current school year,66.00,,,,,,,,,,,
GA,Cobb County,GA,Dowell Elementary School,130129002069,2015,Teachers employed during both the current and previous school year,63.00,,,,,,,,,,,
GA,Cobb County,GA,Dowell Elementary School,130129002069,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Cobb County,GA,Dowell Elementary School,130129002069,2015,Total enrollment,,,2.00,34.00,4.00,358.00,403.00,175.00,34.00,1010.00,125.00,253.00
GA,Cobb County,GA,Powers Ferry Elementary School,130129000531,2015,Classroom Teachers,42.49,41.49,,,,,,,,,,
GA,Cobb County,GA,Powers Ferry Elementary School,130129000531,2015,Classroom teachers in their first year of teaching,6.00,,,,,,,,,,,
GA,Cobb County,GA,Powers Ferry Elementary School,130129000531,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Cobb County,GA,Powers Ferry Elementary School,130129000531,2015,Teachers absent more than 10 days of the school year,11.00,,,,,,,,,,,
GA,Cobb County,GA,Powers Ferry Elementary School,130129000531,2015,Teachers employed during current school year,43.00,,,,,,,,,,,
GA,Cobb County,GA,Powers Ferry Elementary School,130129000531,2015,Teachers employed during both the current and previous school year,35.00,,,,,,,,,,,
GA,Cobb County,GA,Powers Ferry Elementary School,130129000531,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Cobb County,GA,Powers Ferry Elementary School,130129000531,2015,Total enrollment,,,7.00,10.00,0.00,148.00,214.00,52.00,19.00,450.00,59.00,121.00
GA,Cobb County,GA,Due West Elementary School,130129000554,2015,Classroom Teachers,42.49,42.49,,,,,,,,,,
GA,Cobb County,GA,Due West Elementary School,130129000554,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Cobb County,GA,Due West Elementary School,130129000554,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Cobb County,GA,Due West Elementary School,130129000554,2015,Teachers absent more than 10 days of the school year,5.00,,,,,,,,,,,
GA,Cobb County,GA,Due West Elementary School,130129000554,2015,Teachers employed during current school year,43.00,,,,,,,,,,,
GA,Cobb County,GA,Due West Elementary School,130129000554,2015,Teachers employed during both the current and previous school year,41.00,,,,,,,,,,,
GA,Cobb County,GA,Due West Elementary School,130129000554,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Cobb County,GA,Due West Elementary School,130129000554,2015,Total enrollment,,,0.00,31.00,2.00,52.00,52.00,451.00,25.00,613.00,71.00,13.00
GA,Cobb County,GA,Garrison Mill Elementary School,130129001935,2015,Classroom Teachers,45.50,45.50,,,,,,,,,,
GA,Cobb County,GA,Garrison Mill Elementary School,130129001935,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Cobb County,GA,Garrison Mill Elementary School,130129001935,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Cobb County,GA,Garrison Mill Elementary School,130129001935,2015,Teachers absent more than 10 days of the school year,7.00,,,,,,,,,,,
GA,Cobb County,GA,Garrison Mill Elementary School,130129001935,2015,Teachers employed during current school year,46.00,,,,,,,,,,,
GA,Cobb County,GA,Garrison Mill Elementary School,130129001935,2015,Teachers employed during both the current and previous school year,42.00,,,,,,,,,,,
GA,Cobb County,GA,Garrison Mill Elementary School,130129001935,2015,High-School Counselors,1.50,,,,,,,,,,,
GA,Cobb County,GA,Garrison Mill Elementary School,130129001935,2015,Total enrollment,,,4.00,31.00,0.00,46.00,43.00,499.00,37.00,660.00,80.00,19.00
GA,Cobb County,GA,Lassiter High School,130129001881,2015,Classroom Teachers,117.48,114.48,,,,,,,,,,
GA,Cobb County,GA,Lassiter High School,130129001881,2015,Classroom teachers in their first year of teaching,6.50,,,,,,,,,,,
GA,Cobb County,GA,Lassiter High School,130129001881,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Cobb County,GA,Lassiter High School,130129001881,2015,Teachers absent more than 10 days of the school year,26.00,,,,,,,,,,,
GA,Cobb County,GA,Lassiter High School,130129001881,2015,Teachers employed during current school year,119.00,,,,,,,,,,,
GA,Cobb County,GA,Lassiter High School,130129001881,2015,Teachers employed during both the current and previous school year,103.00,,,,,,,,,,,
GA,Cobb County,GA,Lassiter High School,130129001881,2015,High-School Counselors,5.00,,,,,,,,,,,
GA,Cobb County,GA,Lassiter High School,130129001881,2015,Total enrollment,,,4.00,124.00,4.00,157.00,211.00,1615.00,64.00,2179.00,245.00,10.00
GA,Cobb County,GA,Shallowford Falls Elementary School,130129002108,2015,Classroom Teachers,43.80,43.80,,,,,,,,,,
GA,Cobb County,GA,Shallowford Falls Elementary School,130129002108,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Cobb County,GA,Shallowford Falls Elementary School,130129002108,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Cobb County,GA,Shallowford Falls Elementary School,130129002108,2015,Teachers absent more than 10 days of the school year,8.00,,,,,,,,,,,
GA,Cobb County,GA,Shallowford Falls Elementary School,130129002108,2015,Teachers employed during current school year,44.00,,,,,,,,,,,
GA,Cobb County,GA,Shallowford Falls Elementary School,130129002108,2015,Teachers employed during both the current and previous school year,38.00,,,,,,,,,,,
GA,Cobb County,GA,Shallowford Falls Elementary School,130129002108,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Cobb County,GA,Shallowford Falls Elementary School,130129002108,2015,Total enrollment,,,0.00,55.00,0.00,46.00,43.00,466.00,25.00,635.00,89.00,22.00
GA,Cobb County,GA,Sope Creek Elementary School,130129000540,2015,Classroom Teachers,75.77,74.77,,,,,,,,,,
GA,Cobb County,GA,Sope Creek Elementary School,130129000540,2015,Classroom teachers in their first year of teaching,6.00,,,,,,,,,,,
GA,Cobb County,GA,Sope Creek Elementary School,130129000540,2015,Classroom teachers in their second year of teaching,5.00,,,,,,,,,,,
GA,Cobb County,GA,Sope Creek Elementary School,130129000540,2015,Teachers absent more than 10 days of the school year,10.00,,,,,,,,,,,
GA,Cobb County,GA,Sope Creek Elementary School,130129000540,2015,Teachers employed during current school year,78.00,,,,,,,,,,,
GA,Cobb County,GA,Sope Creek Elementary School,130129000540,2015,Teachers employed during both the current and previous school year,68.00,,,,,,,,,,,
GA,Cobb County,GA,Sope Creek Elementary School,130129000540,2015,High-School Counselors,2.49,,,,,,,,,,,
GA,Cobb County,GA,Sope Creek Elementary School,130129000540,2015,Total enrollment,,,5.00,235.00,0.00,52.00,49.00,739.00,43.00,1123.00,119.00,67.00
GA,Cobb County,GA,Walton High School,130129000513,2015,Classroom Teachers,137.72,134.22,,,,,,,,,,
GA,Cobb County,GA,Walton High School,130129000513,2015,Classroom teachers in their first year of teaching,9.50,,,,,,,,,,,
GA,Cobb County,GA,Walton High School,130129000513,2015,Classroom teachers in their second year of teaching,3.50,,,,,,,,,,,
GA,Cobb County,GA,Walton High School,130129000513,2015,Teachers absent more than 10 days of the school year,16.00,,,,,,,,,,,
GA,Cobb County,GA,Walton High School,130129000513,2015,Teachers employed during current school year,142.00,,,,,,,,,,,
GA,Cobb County,GA,Walton High School,130129000513,2015,Teachers employed during both the current and previous school year,130.00,,,,,,,,,,,
GA,Cobb County,GA,Walton High School,130129000513,2015,High-School Counselors,6.49,,,,,,,,,,,
GA,Cobb County,GA,Walton High School,130129000513,2015,Total enrollment,,,5.00,487.00,2.00,133.00,166.00,1819.00,55.00,2667.00,248.00,28.00
GA,Marietta City,GA,Marietta Middle School,130351001339,2015,Classroom Teachers,82.00,80.00,,,,,,,,,,
GA,Marietta City,GA,Marietta Middle School,130351001339,2015,Classroom teachers in their first year of teaching,4.00,,,,,,,,,,,
GA,Marietta City,GA,Marietta Middle School,130351001339,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
