Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Columbia County,GA,Stallings Island Middle School,130141003694,2015,Classroom Teachers,32.50,31.50,,,,,,,,,,
GA,Columbia County,GA,Stallings Island Middle School,130141003694,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Columbia County,GA,Stallings Island Middle School,130141003694,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Columbia County,GA,Stallings Island Middle School,130141003694,2015,Teachers absent more than 10 days of the school year,10.50,,,,,,,,,,,
GA,Columbia County,GA,Stallings Island Middle School,130141003694,2015,Teachers employed during current school year,33.00,,,,,,,,,,,
GA,Columbia County,GA,Stallings Island Middle School,130141003694,2015,Teachers employed during both the current and previous school year,29.00,,,,,,,,,,,
GA,Columbia County,GA,Stallings Island Middle School,130141003694,2015,High-School Counselors,1.50,,,,,,,,,,,
GA,Columbia County,GA,Stallings Island Middle School,130141003694,2015,Total enrollment,,,2.00,79.00,0.00,19.00,55.00,376.00,28.00,559.00,29.00,4.00
GA,Columbia County,GA,Stevens Creek Elementary School,130141002161,2015,Classroom Teachers,45.25,45.25,,,,,,,,,,
GA,Columbia County,GA,Stevens Creek Elementary School,130141002161,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Columbia County,GA,Stevens Creek Elementary School,130141002161,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Columbia County,GA,Stevens Creek Elementary School,130141002161,2015,Teachers absent more than 10 days of the school year,17.65,,,,,,,,,,,
GA,Columbia County,GA,Stevens Creek Elementary School,130141002161,2015,Teachers employed during current school year,47.00,,,,,,,,,,,
GA,Columbia County,GA,Stevens Creek Elementary School,130141002161,2015,Teachers employed during both the current and previous school year,38.00,,,,,,,,,,,
GA,Columbia County,GA,Stevens Creek Elementary School,130141002161,2015,High-School Counselors,1.50,,,,,,,,,,,
GA,Columbia County,GA,Stevens Creek Elementary School,130141002161,2015,Total enrollment,,,0.00,118.00,2.00,40.00,73.00,541.00,43.00,817.00,38.00,40.00
GA,Columbia County,GA,South Columbia Elementary School,130141000610,2015,Classroom Teachers,37.47,37.47,,,,,,,,,,
GA,Columbia County,GA,South Columbia Elementary School,130141000610,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Columbia County,GA,South Columbia Elementary School,130141000610,2015,Classroom teachers in their second year of teaching,1.67,,,,,,,,,,,
GA,Columbia County,GA,South Columbia Elementary School,130141000610,2015,Teachers absent more than 10 days of the school year,10.00,,,,,,,,,,,
GA,Columbia County,GA,South Columbia Elementary School,130141000610,2015,Teachers employed during current school year,41.00,,,,,,,,,,,
GA,Columbia County,GA,South Columbia Elementary School,130141000610,2015,Teachers employed during both the current and previous school year,33.00,,,,,,,,,,,
GA,Columbia County,GA,South Columbia Elementary School,130141000610,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Columbia County,GA,South Columbia Elementary School,130141000610,2015,Total enrollment,,,4.00,10.00,2.00,52.00,157.00,304.00,40.00,569.00,68.00,16.00
GA,Columbia County,GA,Westmont Elementary School,130141000599,2015,Classroom Teachers,37.50,37.50,,,,,,,,,,
GA,Columbia County,GA,Westmont Elementary School,130141000599,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Columbia County,GA,Westmont Elementary School,130141000599,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Columbia County,GA,Westmont Elementary School,130141000599,2015,Teachers absent more than 10 days of the school year,11.00,,,,,,,,,,,
GA,Columbia County,GA,Westmont Elementary School,130141000599,2015,Teachers employed during current school year,39.00,,,,,,,,,,,
GA,Columbia County,GA,Westmont Elementary School,130141000599,2015,Teachers employed during both the current and previous school year,29.00,,,,,,,,,,,
GA,Columbia County,GA,Westmont Elementary School,130141000599,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Columbia County,GA,Westmont Elementary School,130141000599,2015,Total enrollment,,,2.00,10.00,2.00,52.00,76.00,346.00,43.00,531.00,41.00,19.00
GA,Columbia County,GA,Martinez Elementary School,130141000606,2015,Classroom Teachers,50.00,50.00,,,,,,,,,,
GA,Columbia County,GA,Martinez Elementary School,130141000606,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Columbia County,GA,Martinez Elementary School,130141000606,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Columbia County,GA,Martinez Elementary School,130141000606,2015,Teachers absent more than 10 days of the school year,8.00,,,,,,,,,,,
GA,Columbia County,GA,Martinez Elementary School,130141000606,2015,Teachers employed during current school year,50.00,,,,,,,,,,,
GA,Columbia County,GA,Martinez Elementary School,130141000606,2015,Teachers employed during both the current and previous school year,30.00,,,,,,,,,,,
GA,Columbia County,GA,Martinez Elementary School,130141000606,2015,High-School Counselors,1.50,,,,,,,,,,,
GA,Columbia County,GA,Martinez Elementary School,130141000606,2015,Total enrollment,,,7.00,31.00,2.00,73.00,145.00,547.00,55.00,860.00,77.00,34.00

