Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Telfair County,GA,Telfair County High School,130483002442,2015,Classroom Teachers,30.62,28.62,,,,,,,,,,
GA,Telfair County,GA,Telfair County High School,130483002442,2015,Classroom teachers in their first year of teaching,4.00,,,,,,,,,,,
GA,Telfair County,GA,Telfair County High School,130483002442,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Telfair County,GA,Telfair County High School,130483002442,2015,Teachers absent more than 10 days of the school year,10.00,,,,,,,,,,,
GA,Telfair County,GA,Telfair County High School,130483002442,2015,Teachers employed during current school year,32.00,,,,,,,,,,,
GA,Telfair County,GA,Telfair County High School,130483002442,2015,Teachers employed during both the current and previous school year,27.00,,,,,,,,,,,
GA,Telfair County,GA,Telfair County High School,130483002442,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Telfair County,GA,Telfair County High School,130483002442,2015,Total enrollment,,,0.00,4.00,0.00,7.00,196.00,280.00,7.00,494.00,41.00,2.00
GA,Telfair County,GA,Telfair County Middle School,130483002441,2015,Classroom Teachers,28.00,28.00,,,,,,,,,,
GA,Telfair County,GA,Telfair County Middle School,130483002441,2015,Classroom teachers in their first year of teaching,4.00,,,,,,,,,,,
GA,Telfair County,GA,Telfair County Middle School,130483002441,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Telfair County,GA,Telfair County Middle School,130483002441,2015,Teachers absent more than 10 days of the school year,8.00,,,,,,,,,,,
GA,Telfair County,GA,Telfair County Middle School,130483002441,2015,Teachers employed during current school year,29.00,,,,,,,,,,,
GA,Telfair County,GA,Telfair County Middle School,130483002441,2015,Teachers employed during both the current and previous school year,26.00,,,,,,,,,,,
GA,Telfair County,GA,Telfair County Middle School,130483002441,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Telfair County,GA,Telfair County Middle School,130483002441,2015,Total enrollment,,,0.00,4.00,0.00,10.00,145.00,223.00,13.00,395.00,35.00,7.00
GA,Telfair County,GA,Telfair County Pre-K,130483003953,2015,Classroom Teachers,6.00,6.00,,,,,,,,,,
GA,Telfair County,GA,Telfair County Pre-K,130483003953,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Telfair County,GA,Telfair County Pre-K,130483003953,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Telfair County,GA,Telfair County Pre-K,130483003953,2015,Teachers absent more than 10 days of the school year,4.00,,,,,,,,,,,
GA,Telfair County,GA,Telfair County Pre-K,130483003953,2015,Teachers employed during current school year,6.00,,,,,,,,,,,
GA,Telfair County,GA,Telfair County Pre-K,130483003953,2015,Teachers employed during both the current and previous school year,6.00,,,,,,,,,,,
GA,Telfair County,GA,Telfair County Pre-K,130483003953,2015,High-School Counselors,0.00,,,,,,,,,,,
GA,Telfair County,GA,Telfair County Pre-K,130483003953,2015,Total enrollment,,,0.00,2.00,0.00,10.00,49.00,49.00,4.00,114.00,14.00,0.00
GA,Telfair County,GA,Telfair County Elementary,130483002986,2015,Classroom Teachers,53.50,52.50,,,,,,,,,,
GA,Telfair County,GA,Telfair County Elementary,130483002986,2015,Classroom teachers in their first year of teaching,5.00,,,,,,,,,,,
GA,Telfair County,GA,Telfair County Elementary,130483002986,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Telfair County,GA,Telfair County Elementary,130483002986,2015,Teachers absent more than 10 days of the school year,23.00,,,,,,,,,,,
GA,Telfair County,GA,Telfair County Elementary,130483002986,2015,Teachers employed during current school year,54.00,,,,,,,,,,,
GA,Telfair County,GA,Telfair County Elementary,130483002986,2015,Teachers employed during both the current and previous school year,50.00,,,,,,,,,,,
GA,Telfair County,GA,Telfair County Elementary,130483002986,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Telfair County,GA,Telfair County Elementary,130483002986,2015,Total enrollment,,,4.00,4.00,0.00,64.00,367.00,400.00,22.00,861.00,89.00,40.00

