Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Henry County,GA,Walnut Creek Elementary,130282003413,2015,Classroom Teachers,51.00,51.00,,,,,,,,,,
GA,Henry County,GA,Walnut Creek Elementary,130282003413,2015,Classroom teachers in their first year of teaching,5.00,,,,,,,,,,,
GA,Henry County,GA,Walnut Creek Elementary,130282003413,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Henry County,GA,Walnut Creek Elementary,130282003413,2015,Teachers absent more than 10 days of the school year,11.00,,,,,,,,,,,
GA,Henry County,GA,Walnut Creek Elementary,130282003413,2015,Teachers employed during current school year,52.00,,,,,,,,,,,
GA,Henry County,GA,Walnut Creek Elementary,130282003413,2015,Teachers employed during both the current and previous school year,29.00,,,,,,,,,,,
GA,Henry County,GA,Walnut Creek Elementary,130282003413,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Henry County,GA,Walnut Creek Elementary,130282003413,2015,Total enrollment,,,0.00,7.00,2.00,73.00,448.00,133.00,46.00,709.00,122.00,19.00
GA,Henry County,GA,Eagle's Landing Middle School,130282000399,2015,Classroom Teachers,59.36,55.24,,,,,,,,,,
GA,Henry County,GA,Eagle's Landing Middle School,130282000399,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Henry County,GA,Eagle's Landing Middle School,130282000399,2015,Classroom teachers in their second year of teaching,3.00,,,,,,,,,,,
GA,Henry County,GA,Eagle's Landing Middle School,130282000399,2015,Teachers absent more than 10 days of the school year,22.00,,,,,,,,,,,
GA,Henry County,GA,Eagle's Landing Middle School,130282000399,2015,Teachers employed during current school year,59.00,,,,,,,,,,,
GA,Henry County,GA,Eagle's Landing Middle School,130282000399,2015,Teachers employed during both the current and previous school year,47.00,,,,,,,,,,,
GA,Henry County,GA,Eagle's Landing Middle School,130282000399,2015,High-School Counselors,3.00,,,,,,,,,,,
GA,Henry County,GA,Eagle's Landing Middle School,130282000399,2015,Total enrollment,,,4.00,43.00,0.00,133.00,682.00,133.00,37.00,1032.00,149.00,28.00
GA,Henry County,GA,Tussahaw Elementary,130282003730,2015,Classroom Teachers,53.00,52.00,,,,,,,,,,
GA,Henry County,GA,Tussahaw Elementary,130282003730,2015,Classroom teachers in their first year of teaching,5.00,,,,,,,,,,,
GA,Henry County,GA,Tussahaw Elementary,130282003730,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Henry County,GA,Tussahaw Elementary,130282003730,2015,Teachers absent more than 10 days of the school year,9.00,,,,,,,,,,,
GA,Henry County,GA,Tussahaw Elementary,130282003730,2015,Teachers employed during current school year,54.00,,,,,,,,,,,
GA,Henry County,GA,Tussahaw Elementary,130282003730,2015,Teachers employed during both the current and previous school year,30.00,,,,,,,,,,,
GA,Henry County,GA,Tussahaw Elementary,130282003730,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Henry County,GA,Tussahaw Elementary,130282003730,2015,Total enrollment,,,2.00,13.00,2.00,55.00,517.00,109.00,37.00,735.00,113.00,16.00
GA,Henry County,GA,Henry County Middle School,130282001206,2015,Classroom Teachers,51.00,49.00,,,,,,,,,,
GA,Henry County,GA,Henry County Middle School,130282001206,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Henry County,GA,Henry County Middle School,130282001206,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Henry County,GA,Henry County Middle School,130282001206,2015,Teachers absent more than 10 days of the school year,19.00,,,,,,,,,,,
GA,Henry County,GA,Henry County Middle School,130282001206,2015,Teachers employed during current school year,51.00,,,,,,,,,,,
GA,Henry County,GA,Henry County Middle School,130282001206,2015,Teachers employed during both the current and previous school year,39.00,,,,,,,,,,,
GA,Henry County,GA,Henry County Middle School,130282001206,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Henry County,GA,Henry County Middle School,130282001206,2015,Total enrollment,,,2.00,7.00,2.00,43.00,595.00,49.00,37.00,735.00,125.00,7.00
GA,Henry County,GA,EXCEL Academy,130282004214,2015,Classroom Teachers,28.00,27.00,,,,,,,,,,
GA,Henry County,GA,EXCEL Academy,130282004214,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Henry County,GA,EXCEL Academy,130282004214,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Henry County,GA,EXCEL Academy,130282004214,2015,Teachers absent more than 10 days of the school year,9.00,,,,,,,,,,,
GA,Henry County,GA,EXCEL Academy,130282004214,2015,Teachers employed during current school year,28.00,,,,,,,,,,,
GA,Henry County,GA,EXCEL Academy,130282004214,2015,Teachers employed during both the current and previous school year,0.00,,,,,,,,,,,
GA,Henry County,GA,EXCEL Academy,130282004214,2015,High-School Counselors,3.00,,,,,,,,,,,
GA,Henry County,GA,EXCEL Academy,130282004214,2015,Total enrollment,,,2.00,2.00,0.00,10.00,193.00,55.00,13.00,275.00,65.00,4.00
GA,Henry County,GA,Union Grove Middle,130282002394,2015,Classroom Teachers,58.00,56.00,,,,,,,,,,
GA,Henry County,GA,Union Grove Middle,130282002394,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Henry County,GA,Union Grove Middle,130282002394,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Henry County,GA,Union Grove Middle,130282002394,2015,Teachers absent more than 10 days of the school year,11.00,,,,,,,,,,,
GA,Henry County,GA,Union Grove Middle,130282002394,2015,Teachers employed during current school year,58.00,,,,,,,,,,,
GA,Henry County,GA,Union Grove Middle,130282002394,2015,Teachers employed during both the current and previous school year,51.00,,,,,,,,,,,
GA,Henry County,GA,Union Grove Middle,130282002394,2015,High-School Counselors,2.49,,,,,,,,,,,
GA,Henry County,GA,Union Grove Middle,130282002394,2015,Total enrollment,,,2.00,49.00,0.00,49.00,322.00,568.00,28.00,1018.00,125.00,10.00
GA,Henry County,GA,Rock Spring Elementary,130282003747,2015,Classroom Teachers,43.01,43.01,,,,,,,,,,
GA,Henry County,GA,Rock Spring Elementary,130282003747,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Henry County,GA,Rock Spring Elementary,130282003747,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Henry County,GA,Rock Spring Elementary,130282003747,2015,Teachers absent more than 10 days of the school year,9.00,,,,,,,,,,,
GA,Henry County,GA,Rock Spring Elementary,130282003747,2015,Teachers employed during current school year,44.00,,,,,,,,,,,
GA,Henry County,GA,Rock Spring Elementary,130282003747,2015,Teachers employed during both the current and previous school year,39.00,,,,,,,,,,,
GA,Henry County,GA,Rock Spring Elementary,130282003747,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Henry County,GA,Rock Spring Elementary,130282003747,2015,Total enrollment,,,4.00,7.00,0.00,31.00,103.00,541.00,31.00,717.00,101.00,4.00
GA,Henry County,GA,Hickory Flat Elementary School,130282001655,2015,Classroom Teachers,46.00,45.00,,,,,,,,,,
GA,Henry County,GA,Hickory Flat Elementary School,130282001655,2015,Classroom teachers in their first year of teaching,4.00,,,,,,,,,,,
GA,Henry County,GA,Hickory Flat Elementary School,130282001655,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Henry County,GA,Hickory Flat Elementary School,130282001655,2015,Teachers absent more than 10 days of the school year,13.00,,,,,,,,,,,
GA,Henry County,GA,Hickory Flat Elementary School,130282001655,2015,Teachers employed during current school year,46.00,,,,,,,,,,,
GA,Henry County,GA,Hickory Flat Elementary School,130282001655,2015,Teachers employed during both the current and previous school year,39.00,,,,,,,,,,,
GA,Henry County,GA,Hickory Flat Elementary School,130282001655,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Henry County,GA,Hickory Flat Elementary School,130282001655,2015,Total enrollment,,,0.00,43.00,2.00,49.00,496.00,64.00,55.00,709.00,71.00,19.00
GA,Henry County,GA,East Lake Elementary,130282002392,2015,Classroom Teachers,45.00,45.00,,,,,,,,,,
GA,Henry County,GA,East Lake Elementary,130282002392,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Henry County,GA,East Lake Elementary,130282002392,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Henry County,GA,East Lake Elementary,130282002392,2015,Teachers absent more than 10 days of the school year,11.00,,,,,,,,,,,
GA,Henry County,GA,East Lake Elementary,130282002392,2015,Teachers employed during current school year,45.00,,,,,,,,,,,
GA,Henry County,GA,East Lake Elementary,130282002392,2015,Teachers employed during both the current and previous school year,36.00,,,,,,,,,,,
GA,Henry County,GA,East Lake Elementary,130282002392,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Henry County,GA,East Lake Elementary,130282002392,2015,Total enrollment,,,0.00,31.00,0.00,40.00,211.00,376.00,28.00,686.00,104.00,16.00
GA,Henry County,GA,Ola Middle School,130282003419,2015,Classroom Teachers,68.22,66.22,,,,,,,,,,
GA,Henry County,GA,Ola Middle School,130282003419,2015,Classroom teachers in their first year of teaching,4.22,,,,,,,,,,,
GA,Henry County,GA,Ola Middle School,130282003419,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
