Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Candler County,GA,Metter Intermediate School,130081002404,2015,Classroom Teachers,25.79,24.79,,,,,,,,,,
GA,Candler County,GA,Metter Intermediate School,130081002404,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Candler County,GA,Metter Intermediate School,130081002404,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Candler County,GA,Metter Intermediate School,130081002404,2015,Teachers absent more than 10 days of the school year,6.83,,,,,,,,,,,
GA,Candler County,GA,Metter Intermediate School,130081002404,2015,Teachers employed during current school year,28.00,,,,,,,,,,,
GA,Candler County,GA,Metter Intermediate School,130081002404,2015,Teachers employed during both the current and previous school year,25.00,,,,,,,,,,,
GA,Candler County,GA,Metter Intermediate School,130081002404,2015,High-School Counselors,0.00,,,,,,,,,,,
GA,Candler County,GA,Metter Intermediate School,130081002404,2015,Total enrollment,,,0.00,7.00,2.00,103.00,157.00,211.00,19.00,499.00,53.00,19.00
GA,Candler County,GA,Metter High School,130081000317,2015,Classroom Teachers,35.70,33.28,,,,,,,,,,
GA,Candler County,GA,Metter High School,130081000317,2015,Classroom teachers in their first year of teaching,0.98,,,,,,,,,,,
GA,Candler County,GA,Metter High School,130081000317,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Candler County,GA,Metter High School,130081000317,2015,Teachers absent more than 10 days of the school year,5.33,,,,,,,,,,,
GA,Candler County,GA,Metter High School,130081000317,2015,Teachers employed during current school year,40.00,,,,,,,,,,,
GA,Candler County,GA,Metter High School,130081000317,2015,Teachers employed during both the current and previous school year,33.00,,,,,,,,,,,
GA,Candler County,GA,Metter High School,130081000317,2015,High-School Counselors,1.10,,,,,,,,,,,
GA,Candler County,GA,Metter High School,130081000317,2015,Total enrollment,,,0.00,4.00,2.00,79.00,163.00,301.00,13.00,562.00,68.00,10.00
GA,Candler County,GA,Metter Middle School,130081000318,2015,Classroom Teachers,31.03,31.03,,,,,,,,,,
GA,Candler County,GA,Metter Middle School,130081000318,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Candler County,GA,Metter Middle School,130081000318,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Candler County,GA,Metter Middle School,130081000318,2015,Teachers absent more than 10 days of the school year,7.84,,,,,,,,,,,
GA,Candler County,GA,Metter Middle School,130081000318,2015,Teachers employed during current school year,38.00,,,,,,,,,,,
GA,Candler County,GA,Metter Middle School,130081000318,2015,Teachers employed during both the current and previous school year,30.00,,,,,,,,,,,
GA,Candler County,GA,Metter Middle School,130081000318,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Candler County,GA,Metter Middle School,130081000318,2015,Total enrollment,,,2.00,2.00,4.00,94.00,151.00,256.00,4.00,513.00,65.00,10.00
GA,Candler County,GA,Metter Elementary School,130081000316,2015,Classroom Teachers,42.34,42.34,,,,,,,,,,
GA,Candler County,GA,Metter Elementary School,130081000316,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Candler County,GA,Metter Elementary School,130081000316,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Candler County,GA,Metter Elementary School,130081000316,2015,Teachers absent more than 10 days of the school year,10.35,,,,,,,,,,,
GA,Candler County,GA,Metter Elementary School,130081000316,2015,Teachers employed during current school year,44.00,,,,,,,,,,,
GA,Candler County,GA,Metter Elementary School,130081000316,2015,Teachers employed during both the current and previous school year,42.00,,,,,,,,,,,
GA,Candler County,GA,Metter Elementary School,130081000316,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Candler County,GA,Metter Elementary School,130081000316,2015,Total enrollment,,,0.00,4.00,0.00,130.00,157.00,307.00,19.00,617.00,89.00,19.00

