Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Liberty County,GA,Liberty Elementary School,130330001305,2015,Classroom Teachers,52.49,52.49,,,,,,,,,,
GA,Liberty County,GA,Liberty Elementary School,130330001305,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Liberty County,GA,Liberty Elementary School,130330001305,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Liberty County,GA,Liberty Elementary School,130330001305,2015,Teachers absent more than 10 days of the school year,17.00,,,,,,,,,,,
GA,Liberty County,GA,Liberty Elementary School,130330001305,2015,Teachers employed during current school year,53.00,,,,,,,,,,,
GA,Liberty County,GA,Liberty Elementary School,130330001305,2015,Teachers employed during both the current and previous school year,47.00,,,,,,,,,,,
GA,Liberty County,GA,Liberty Elementary School,130330001305,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Liberty County,GA,Liberty Elementary School,130330001305,2015,Total enrollment,,,4.00,2.00,4.00,52.00,310.00,364.00,52.00,788.00,83.00,2.00
GA,Liberty County,GA,Midway Middle School,130330002504,2015,Classroom Teachers,52.17,50.17,,,,,,,,,,
GA,Liberty County,GA,Midway Middle School,130330002504,2015,Classroom teachers in their first year of teaching,5.00,,,,,,,,,,,
GA,Liberty County,GA,Midway Middle School,130330002504,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Liberty County,GA,Midway Middle School,130330002504,2015,Teachers absent more than 10 days of the school year,18.00,,,,,,,,,,,
GA,Liberty County,GA,Midway Middle School,130330002504,2015,Teachers employed during current school year,53.00,,,,,,,,,,,
GA,Liberty County,GA,Midway Middle School,130330002504,2015,Teachers employed during both the current and previous school year,41.00,,,,,,,,,,,
GA,Liberty County,GA,Midway Middle School,130330002504,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Liberty County,GA,Midway Middle School,130330002504,2015,Total enrollment,,,4.00,7.00,4.00,64.00,313.00,274.00,58.00,724.00,101.00,4.00

