Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Baldwin County,GA,Blandy Hills Elementary School,130021000781,2015,Classroom Teachers,43.00,41.50,,,,,,,,,,
GA,Baldwin County,GA,Blandy Hills Elementary School,130021000781,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Baldwin County,GA,Blandy Hills Elementary School,130021000781,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Baldwin County,GA,Blandy Hills Elementary School,130021000781,2015,Teachers absent more than 10 days of the school year,15.50,,,,,,,,,,,
GA,Baldwin County,GA,Blandy Hills Elementary School,130021000781,2015,Teachers employed during current school year,44.00,,,,,,,,,,,
GA,Baldwin County,GA,Blandy Hills Elementary School,130021000781,2015,Teachers employed during both the current and previous school year,36.00,,,,,,,,,,,
GA,Baldwin County,GA,Blandy Hills Elementary School,130021000781,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Baldwin County,GA,Blandy Hills Elementary School,130021000781,2015,Total enrollment,,,0.00,13.00,0.00,31.00,430.00,238.00,31.00,743.00,59.00,25.00
GA,Baldwin County,GA,Midway Elementary School,130021000224,2015,Classroom Teachers,35.28,33.28,,,,,,,,,,
GA,Baldwin County,GA,Midway Elementary School,130021000224,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Baldwin County,GA,Midway Elementary School,130021000224,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Baldwin County,GA,Midway Elementary School,130021000224,2015,Teachers absent more than 10 days of the school year,7.00,,,,,,,,,,,
GA,Baldwin County,GA,Midway Elementary School,130021000224,2015,Teachers employed during current school year,36.00,,,,,,,,,,,
GA,Baldwin County,GA,Midway Elementary School,130021000224,2015,Teachers employed during both the current and previous school year,29.00,,,,,,,,,,,
GA,Baldwin County,GA,Midway Elementary School,130021000224,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Baldwin County,GA,Midway Elementary School,130021000224,2015,Total enrollment,,,0.00,2.00,4.00,2.00,328.00,166.00,28.00,530.00,65.00,0.00
GA,Baldwin County,GA,GNETS of Oconee,130021002669,2015,Classroom Teachers,10.00,10.00,,,,,,,,,,
GA,Baldwin County,GA,GNETS of Oconee,130021002669,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Baldwin County,GA,GNETS of Oconee,130021002669,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
