Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Jenkins County,GA,Jenkins County High School,130309001270,2015,Classroom Teachers,31.84,27.84,,,,,,,,,,
GA,Jenkins County,GA,Jenkins County High School,130309001270,2015,Classroom teachers in their first year of teaching,2.50,,,,,,,,,,,
GA,Jenkins County,GA,Jenkins County High School,130309001270,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Jenkins County,GA,Jenkins County High School,130309001270,2015,Teachers absent more than 10 days of the school year,8.10,,,,,,,,,,,
GA,Jenkins County,GA,Jenkins County High School,130309001270,2015,Teachers employed during current school year,33.00,,,,,,,,,,,
GA,Jenkins County,GA,Jenkins County High School,130309001270,2015,Teachers employed during both the current and previous school year,26.00,,,,,,,,,,,
GA,Jenkins County,GA,Jenkins County High School,130309001270,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Jenkins County,GA,Jenkins County High School,130309001270,2015,Total enrollment,,,0.00,2.00,0.00,16.00,166.00,145.00,7.00,336.00,32.00,0.00
GA,Jenkins County,GA,Jenkins County Middle School,130309002398,2015,Classroom Teachers,19.48,19.48,,,,,,,,,,
GA,Jenkins County,GA,Jenkins County Middle School,130309002398,2015,Classroom teachers in their first year of teaching,1.50,,,,,,,,,,,
GA,Jenkins County,GA,Jenkins County Middle School,130309002398,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Jenkins County,GA,Jenkins County Middle School,130309002398,2015,Teachers absent more than 10 days of the school year,8.93,,,,,,,,,,,
GA,Jenkins County,GA,Jenkins County Middle School,130309002398,2015,Teachers employed during current school year,22.00,,,,,,,,,,,
GA,Jenkins County,GA,Jenkins County Middle School,130309002398,2015,Teachers employed during both the current and previous school year,15.00,,,,,,,,,,,
GA,Jenkins County,GA,Jenkins County Middle School,130309002398,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Jenkins County,GA,Jenkins County Middle School,130309002398,2015,Total enrollment,,,2.00,0.00,0.00,13.00,145.00,88.00,4.00,252.00,26.00,2.00
GA,Jenkins County,GA,Jenkins County Elementary School,130309001271,2015,Classroom Teachers,46.49,46.49,,,,,,,,,,
GA,Jenkins County,GA,Jenkins County Elementary School,130309001271,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Jenkins County,GA,Jenkins County Elementary School,130309001271,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Jenkins County,GA,Jenkins County Elementary School,130309001271,2015,Teachers absent more than 10 days of the school year,11.00,,,,,,,,,,,
GA,Jenkins County,GA,Jenkins County Elementary School,130309001271,2015,Teachers employed during current school year,47.00,,,,,,,,,,,
GA,Jenkins County,GA,Jenkins County Elementary School,130309001271,2015,Teachers employed during both the current and previous school year,41.00,,,,,,,,,,,
GA,Jenkins County,GA,Jenkins County Elementary School,130309001271,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Jenkins County,GA,Jenkins County Elementary School,130309001271,2015,Total enrollment,,,0.00,4.00,0.00,46.00,367.00,217.00,13.00,647.00,68.00,34.00

