Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Walton County,GA,Monroe Elementary,130539003569,2015,Classroom Teachers,45.33,45.33,,,,,,,,,,
GA,Walton County,GA,Monroe Elementary,130539003569,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Walton County,GA,Monroe Elementary,130539003569,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Walton County,GA,Monroe Elementary,130539003569,2015,Teachers absent more than 10 days of the school year,18.00,,,,,,,,,,,
GA,Walton County,GA,Monroe Elementary,130539003569,2015,Teachers employed during current school year,46.00,,,,,,,,,,,
GA,Walton County,GA,Monroe Elementary,130539003569,2015,Teachers employed during both the current and previous school year,43.00,,,,,,,,,,,
GA,Walton County,GA,Monroe Elementary,130539003569,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Walton County,GA,Monroe Elementary,130539003569,2015,Total enrollment,,,2.00,34.00,0.00,31.00,304.00,235.00,19.00,625.00,71.00,46.00
GA,Walton County,GA,Monroe Area High School,130539001772,2015,Classroom Teachers,67.02,63.02,,,,,,,,,,
GA,Walton County,GA,Monroe Area High School,130539001772,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Walton County,GA,Monroe Area High School,130539001772,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Walton County,GA,Monroe Area High School,130539001772,2015,Teachers absent more than 10 days of the school year,11.17,,,,,,,,,,,
GA,Walton County,GA,Monroe Area High School,130539001772,2015,Teachers employed during current school year,66.00,,,,,,,,,,,
GA,Walton County,GA,Monroe Area High School,130539001772,2015,Teachers employed during both the current and previous school year,48.00,,,,,,,,,,,
GA,Walton County,GA,Monroe Area High School,130539001772,2015,High-School Counselors,3.00,,,,,,,,,,,
GA,Walton County,GA,Monroe Area High School,130539001772,2015,Total enrollment,,,0.00,31.00,0.00,43.00,400.00,607.00,34.00,1115.00,107.00,10.00
GA,Walton County,GA,Atha Road Elementary School,130539002516,2015,Classroom Teachers,52.33,52.33,,,,,,,,,,
GA,Walton County,GA,Atha Road Elementary School,130539002516,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Walton County,GA,Atha Road Elementary School,130539002516,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
