Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Macon County,GA,Macon County High School,130345001322,2015,Classroom Teachers,26.88,22.88,,,,,,,,,,
GA,Macon County,GA,Macon County High School,130345001322,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Macon County,GA,Macon County High School,130345001322,2015,Classroom teachers in their second year of teaching,3.00,,,,,,,,,,,
GA,Macon County,GA,Macon County High School,130345001322,2015,Teachers absent more than 10 days of the school year,9.66,,,,,,,,,,,
GA,Macon County,GA,Macon County High School,130345001322,2015,Teachers employed during current school year,32.00,,,,,,,,,,,
GA,Macon County,GA,Macon County High School,130345001322,2015,Teachers employed during both the current and previous school year,13.00,,,,,,,,,,,
GA,Macon County,GA,Macon County High School,130345001322,2015,High-School Counselors,1.60,,,,,,,,,,,
GA,Macon County,GA,Macon County High School,130345001322,2015,Total enrollment,,,2.00,5.00,0.00,40.00,397.00,28.00,7.00,479.00,53.00,7.00
GA,Macon County,GA,Macon County Middle School,130345001329,2015,Classroom Teachers,18.55,18.55,,,,,,,,,,
GA,Macon County,GA,Macon County Middle School,130345001329,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Macon County,GA,Macon County Middle School,130345001329,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Macon County,GA,Macon County Middle School,130345001329,2015,Teachers absent more than 10 days of the school year,2.00,,,,,,,,,,,
GA,Macon County,GA,Macon County Middle School,130345001329,2015,Teachers employed during current school year,21.00,,,,,,,,,,,
GA,Macon County,GA,Macon County Middle School,130345001329,2015,Teachers employed during both the current and previous school year,19.00,,,,,,,,,,,
GA,Macon County,GA,Macon County Middle School,130345001329,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Macon County,GA,Macon County Middle School,130345001329,2015,Total enrollment,,,0.00,4.00,0.00,22.00,262.00,31.00,4.00,323.00,26.00,4.00

