Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Clayton County,GA,Elite Scholars Academy School,130123003896,2015,Classroom Teachers,35.00,35.00,,,,,,,,,,
GA,Clayton County,GA,Elite Scholars Academy School,130123003896,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Clayton County,GA,Elite Scholars Academy School,130123003896,2015,Classroom teachers in their second year of teaching,4.00,,,,,,,,,,,
GA,Clayton County,GA,Elite Scholars Academy School,130123003896,2015,Teachers absent more than 10 days of the school year,11.00,,,,,,,,,,,
GA,Clayton County,GA,Elite Scholars Academy School,130123003896,2015,Teachers employed during current school year,35.00,,,,,,,,,,,
GA,Clayton County,GA,Elite Scholars Academy School,130123003896,2015,Teachers employed during both the current and previous school year,33.00,,,,,,,,,,,
GA,Clayton County,GA,Elite Scholars Academy School,130123003896,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Clayton County,GA,Elite Scholars Academy School,130123003896,2015,Total enrollment,,,2.00,19.00,0.00,61.00,493.00,4.00,16.00,595.00,8.00,4.00
GA,Clayton County,GA,Tara Elementary School,130123000470,2015,Classroom Teachers,44.00,41.00,,,,,,,,,,
GA,Clayton County,GA,Tara Elementary School,130123000470,2015,Classroom teachers in their first year of teaching,12.00,,,,,,,,,,,
GA,Clayton County,GA,Tara Elementary School,130123000470,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Clayton County,GA,Tara Elementary School,130123000470,2015,Teachers absent more than 10 days of the school year,3.00,,,,,,,,,,,
GA,Clayton County,GA,Tara Elementary School,130123000470,2015,Teachers employed during current school year,45.00,,,,,,,,,,,
GA,Clayton County,GA,Tara Elementary School,130123000470,2015,Teachers employed during both the current and previous school year,43.00,,,,,,,,,,,
GA,Clayton County,GA,Tara Elementary School,130123000470,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Clayton County,GA,Tara Elementary School,130123000470,2015,Total enrollment,,,2.00,16.00,2.00,211.00,439.00,28.00,16.00,714.00,77.00,139.00
GA,Clayton County,GA,Thurgood Marshall Elementary School,130123003316,2015,Classroom Teachers,53.00,46.00,,,,,,,,,,
GA,Clayton County,GA,Thurgood Marshall Elementary School,130123003316,2015,Classroom teachers in their first year of teaching,20.00,,,,,,,,,,,
GA,Clayton County,GA,Thurgood Marshall Elementary School,130123003316,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Clayton County,GA,Thurgood Marshall Elementary School,130123003316,2015,Teachers absent more than 10 days of the school year,10.00,,,,,,,,,,,
GA,Clayton County,GA,Thurgood Marshall Elementary School,130123003316,2015,Teachers employed during current school year,53.00,,,,,,,,,,,
GA,Clayton County,GA,Thurgood Marshall Elementary School,130123003316,2015,Teachers employed during both the current and previous school year,50.00,,,,,,,,,,,
GA,Clayton County,GA,Thurgood Marshall Elementary School,130123003316,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Clayton County,GA,Thurgood Marshall Elementary School,130123003316,2015,Total enrollment,,,2.00,79.00,0.00,136.00,634.00,40.00,25.00,916.00,80.00,151.00
GA,Clayton County,GA,Morrow High School,130123000487,2015,Classroom Teachers,89.00,80.00,,,,,,,,,,
GA,Clayton County,GA,Morrow High School,130123000487,2015,Classroom teachers in their first year of teaching,18.00,,,,,,,,,,,
GA,Clayton County,GA,Morrow High School,130123000487,2015,Classroom teachers in their second year of teaching,7.00,,,,,,,,,,,
GA,Clayton County,GA,Morrow High School,130123000487,2015,Teachers absent more than 10 days of the school year,13.00,,,,,,,,,,,
GA,Clayton County,GA,Morrow High School,130123000487,2015,Teachers employed during current school year,89.00,,,,,,,,,,,
GA,Clayton County,GA,Morrow High School,130123000487,2015,Teachers employed during both the current and previous school year,86.00,,,,,,,,,,,
GA,Clayton County,GA,Morrow High School,130123000487,2015,High-School Counselors,4.00,,,,,,,,,,,
GA,Clayton County,GA,Morrow High School,130123000487,2015,Total enrollment,,,5.00,205.00,2.00,274.00,1330.00,55.00,43.00,1914.00,227.00,91.00
GA,Clayton County,GA,Morrow Middle School,130123000492,2015,Classroom Teachers,49.00,40.00,,,,,,,,,,
GA,Clayton County,GA,Morrow Middle School,130123000492,2015,Classroom teachers in their first year of teaching,16.00,,,,,,,,,,,
GA,Clayton County,GA,Morrow Middle School,130123000492,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Clayton County,GA,Morrow Middle School,130123000492,2015,Teachers absent more than 10 days of the school year,9.00,,,,,,,,,,,
GA,Clayton County,GA,Morrow Middle School,130123000492,2015,Teachers employed during current school year,49.00,,,,,,,,,,,
GA,Clayton County,GA,Morrow Middle School,130123000492,2015,Teachers employed during both the current and previous school year,46.00,,,,,,,,,,,
GA,Clayton County,GA,Morrow Middle School,130123000492,2015,High-School Counselors,1.50,,,,,,,,,,,
GA,Clayton County,GA,Morrow Middle School,130123000492,2015,Total enrollment,,,2.00,130.00,2.00,112.00,469.00,13.00,22.00,750.00,80.00,49.00
GA,Clayton County,GA,Morrow Elementary School,130123000500,2015,Classroom Teachers,33.00,32.00,,,,,,,,,,
GA,Clayton County,GA,Morrow Elementary School,130123000500,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Clayton County,GA,Morrow Elementary School,130123000500,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Clayton County,GA,Morrow Elementary School,130123000500,2015,Teachers absent more than 10 days of the school year,8.00,,,,,,,,,,,
GA,Clayton County,GA,Morrow Elementary School,130123000500,2015,Teachers employed during current school year,33.00,,,,,,,,,,,
GA,Clayton County,GA,Morrow Elementary School,130123000500,2015,Teachers employed during both the current and previous school year,31.00,,,,,,,,,,,
GA,Clayton County,GA,Morrow Elementary School,130123000500,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Clayton County,GA,Morrow Elementary School,130123000500,2015,Total enrollment,,,2.00,115.00,0.00,112.00,253.00,34.00,19.00,535.00,38.00,166.00
GA,Clayton County,GA,William M. McGarrah Elementary School,130123000483,2015,Classroom Teachers,44.00,43.00,,,,,,,,,,
GA,Clayton County,GA,William M. McGarrah Elementary School,130123000483,2015,Classroom teachers in their first year of teaching,8.00,,,,,,,,,,,
GA,Clayton County,GA,William M. McGarrah Elementary School,130123000483,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Clayton County,GA,William M. McGarrah Elementary School,130123000483,2015,Teachers absent more than 10 days of the school year,17.00,,,,,,,,,,,
GA,Clayton County,GA,William M. McGarrah Elementary School,130123000483,2015,Teachers employed during current school year,44.00,,,,,,,,,,,
GA,Clayton County,GA,William M. McGarrah Elementary School,130123000483,2015,Teachers employed during both the current and previous school year,44.00,,,,,,,,,,,
GA,Clayton County,GA,William M. McGarrah Elementary School,130123000483,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Clayton County,GA,William M. McGarrah Elementary School,130123000483,2015,Total enrollment,,,4.00,82.00,0.00,160.00,418.00,19.00,31.00,714.00,74.00,166.00
GA,Clayton County,GA,Haynie Elementary School,130123000494,2015,Classroom Teachers,54.00,51.00,,,,,,,,,,
GA,Clayton County,GA,Haynie Elementary School,130123000494,2015,Classroom teachers in their first year of teaching,11.00,,,,,,,,,,,
GA,Clayton County,GA,Haynie Elementary School,130123000494,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Clayton County,GA,Haynie Elementary School,130123000494,2015,Teachers absent more than 10 days of the school year,17.00,,,,,,,,,,,
GA,Clayton County,GA,Haynie Elementary School,130123000494,2015,Teachers employed during current school year,54.00,,,,,,,,,,,
GA,Clayton County,GA,Haynie Elementary School,130123000494,2015,Teachers employed during both the current and previous school year,49.00,,,,,,,,,,,
GA,Clayton County,GA,Haynie Elementary School,130123000494,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Clayton County,GA,Haynie Elementary School,130123000494,2015,Total enrollment,,,4.00,67.00,2.00,439.00,346.00,19.00,25.00,902.00,65.00,379.00

