Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Habersham County,GA,Habersham Success Academy,130258004144,2015,Classroom Teachers,8.90,8.90,,,,,,,,,,
GA,Habersham County,GA,Habersham Success Academy,130258004144,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Habersham County,GA,Habersham Success Academy,130258004144,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Habersham County,GA,Habersham Success Academy,130258004144,2015,Teachers absent more than 10 days of the school year,1.00,,,,,,,,,,,
GA,Habersham County,GA,Habersham Success Academy,130258004144,2015,Teachers employed during current school year,1.00,,,,,,,,,,,
GA,Habersham County,GA,Habersham Success Academy,130258004144,2015,Teachers employed during both the current and previous school year,0.00,,,,,,,,,,,
GA,Habersham County,GA,Habersham Success Academy,130258004144,2015,High-School Counselors,0.00,,,,,,,,,,,
GA,Habersham County,GA,Habersham Success Academy,130258004144,2015,Total enrollment,,,2.00,2.00,2.00,28.00,4.00,49.00,2.00,89.00,23.00,10.00
GA,Habersham County,GA,Habersham Central High School,130258001145,2015,Classroom Teachers,78.39,78.39,,,,,,,,,,
GA,Habersham County,GA,Habersham Central High School,130258001145,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Habersham County,GA,Habersham Central High School,130258001145,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Habersham County,GA,Habersham Central High School,130258001145,2015,Teachers absent more than 10 days of the school year,7.00,,,,,,,,,,,
GA,Habersham County,GA,Habersham Central High School,130258001145,2015,Teachers employed during current school year,81.00,,,,,,,,,,,
GA,Habersham County,GA,Habersham Central High School,130258001145,2015,Teachers employed during both the current and previous school year,65.00,,,,,,,,,,,
GA,Habersham County,GA,Habersham Central High School,130258001145,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Habersham County,GA,Habersham Central High School,130258001145,2015,Total enrollment,,,0.00,40.00,0.00,340.00,31.00,928.00,31.00,1370.00,218.00,112.00
GA,Habersham County,GA,Hazel Grove Elementary School,130258001149,2015,Classroom Teachers,14.50,14.50,,,,,,,,,,
GA,Habersham County,GA,Hazel Grove Elementary School,130258001149,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Habersham County,GA,Hazel Grove Elementary School,130258001149,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Habersham County,GA,Hazel Grove Elementary School,130258001149,2015,Teachers absent more than 10 days of the school year,2.00,,,,,,,,,,,
GA,Habersham County,GA,Hazel Grove Elementary School,130258001149,2015,Teachers employed during current school year,17.00,,,,,,,,,,,
GA,Habersham County,GA,Hazel Grove Elementary School,130258001149,2015,Teachers employed during both the current and previous school year,14.00,,,,,,,,,,,
GA,Habersham County,GA,Hazel Grove Elementary School,130258001149,2015,High-School Counselors,0.50,,,,,,,,,,,
GA,Habersham County,GA,Hazel Grove Elementary School,130258001149,2015,Total enrollment,,,0.00,4.00,0.00,22.00,0.00,172.00,7.00,205.00,26.00,22.00
GA,Habersham County,GA,9th Grade Academy,130258003402,2015,Classroom Teachers,32.73,32.73,,,,,,,,,,
GA,Habersham County,GA,9th Grade Academy,130258003402,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Habersham County,GA,9th Grade Academy,130258003402,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Habersham County,GA,9th Grade Academy,130258003402,2015,Teachers absent more than 10 days of the school year,1.00,,,,,,,,,,,
GA,Habersham County,GA,9th Grade Academy,130258003402,2015,Teachers employed during current school year,39.00,,,,,,,,,,,
GA,Habersham County,GA,9th Grade Academy,130258003402,2015,Teachers employed during both the current and previous school year,31.00,,,,,,,,,,,
GA,Habersham County,GA,9th Grade Academy,130258003402,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Habersham County,GA,9th Grade Academy,130258003402,2015,Total enrollment,,,0.00,10.00,0.00,133.00,4.00,313.00,13.00,473.00,92.00,88.00

