Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Montgomery County,GA,Montgomery Co. High,130375002418,2015,Classroom Teachers,18.23,14.37,,,,,,,,,,
GA,Montgomery County,GA,Montgomery Co. High,130375002418,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Montgomery County,GA,Montgomery Co. High,130375002418,2015,Classroom teachers in their second year of teaching,2.86,,,,,,,,,,,
GA,Montgomery County,GA,Montgomery Co. High,130375002418,2015,Teachers absent more than 10 days of the school year,10.23,,,,,,,,,,,
GA,Montgomery County,GA,Montgomery Co. High,130375002418,2015,Teachers employed during current school year,19.00,,,,,,,,,,,
GA,Montgomery County,GA,Montgomery Co. High,130375002418,2015,Teachers employed during both the current and previous school year,10.00,,,,,,,,,,,
GA,Montgomery County,GA,Montgomery Co. High,130375002418,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Montgomery County,GA,Montgomery Co. High,130375002418,2015,Total enrollment,,,0.00,2.00,0.00,28.00,118.00,145.00,2.00,295.00,29.00,2.00
GA,Montgomery County,GA,Montgomery Academy,130375004143,2015,Classroom Teachers,0.03,0.03,,,,,,,,,,
GA,Montgomery County,GA,Montgomery Academy,130375004143,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Montgomery County,GA,Montgomery Academy,130375004143,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Montgomery County,GA,Montgomery Academy,130375004143,2015,Teachers absent more than 10 days of the school year,0.03,,,,,,,,,,,
GA,Montgomery County,GA,Montgomery Academy,130375004143,2015,Teachers employed during current school year,1.00,,,,,,,,,,,
GA,Montgomery County,GA,Montgomery Academy,130375004143,2015,Teachers employed during both the current and previous school year,0.00,,,,,,,,,,,
GA,Montgomery County,GA,Montgomery Academy,130375004143,2015,High-School Counselors,0.00,,,,,,,,,,,
GA,Montgomery County,GA,Montgomery Academy,130375004143,2015,Total enrollment,,,4.00,4.00,2.00,40.00,145.00,262.00,13.00,470.00,4.00,2.00

