Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Brantley County,GA,Nahunta Elementary School,130048000234,2015,Classroom Teachers,20.16,20.16,,,,,,,,,,
GA,Brantley County,GA,Nahunta Elementary School,130048000234,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Brantley County,GA,Nahunta Elementary School,130048000234,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Brantley County,GA,Nahunta Elementary School,130048000234,2015,Teachers absent more than 10 days of the school year,14.33,,,,,,,,,,,
GA,Brantley County,GA,Nahunta Elementary School,130048000234,2015,Teachers employed during current school year,18.00,,,,,,,,,,,
GA,Brantley County,GA,Nahunta Elementary School,130048000234,2015,Teachers employed during both the current and previous school year,18.00,,,,,,,,,,,
GA,Brantley County,GA,Nahunta Elementary School,130048000234,2015,High-School Counselors,0.37,,,,,,,,,,,
GA,Brantley County,GA,Nahunta Elementary School,130048000234,2015,Total enrollment,,,2.00,2.00,0.00,10.00,10.00,259.00,4.00,287.00,38.00,2.00
GA,Brantley County,GA,Brantley County High School,130048000258,2015,Classroom Teachers,53.47,48.47,,,,,,,,,,
GA,Brantley County,GA,Brantley County High School,130048000258,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Brantley County,GA,Brantley County High School,130048000258,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Brantley County,GA,Brantley County High School,130048000258,2015,Teachers absent more than 10 days of the school year,17.52,,,,,,,,,,,
GA,Brantley County,GA,Brantley County High School,130048000258,2015,Teachers employed during current school year,55.00,,,,,,,,,,,
GA,Brantley County,GA,Brantley County High School,130048000258,2015,Teachers employed during both the current and previous school year,49.00,,,,,,,,,,,
GA,Brantley County,GA,Brantley County High School,130048000258,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Brantley County,GA,Brantley County High School,130048000258,2015,Total enrollment,,,5.00,7.00,2.00,22.00,25.00,892.00,7.00,960.00,104.00,2.00
GA,Brantley County,GA,Nahunta Primary School,130048001946,2015,Classroom Teachers,32.50,32.50,,,,,,,,,,
GA,Brantley County,GA,Nahunta Primary School,130048001946,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Brantley County,GA,Nahunta Primary School,130048001946,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Brantley County,GA,Nahunta Primary School,130048001946,2015,Teachers absent more than 10 days of the school year,17.00,,,,,,,,,,,
GA,Brantley County,GA,Nahunta Primary School,130048001946,2015,Teachers employed during current school year,33.00,,,,,,,,,,,
GA,Brantley County,GA,Nahunta Primary School,130048001946,2015,Teachers employed during both the current and previous school year,33.00,,,,,,,,,,,
GA,Brantley County,GA,Nahunta Primary School,130048001946,2015,High-School Counselors,0.63,,,,,,,,,,,
GA,Brantley County,GA,Nahunta Primary School,130048001946,2015,Total enrollment,,,0.00,4.00,0.00,10.00,16.00,433.00,19.00,482.00,50.00,4.00
GA,Brantley County,GA,Brantley County Middle School,130048000232,2015,Classroom Teachers,38.00,37.00,,,,,,,,,,
GA,Brantley County,GA,Brantley County Middle School,130048000232,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Brantley County,GA,Brantley County Middle School,130048000232,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Brantley County,GA,Brantley County Middle School,130048000232,2015,Teachers absent more than 10 days of the school year,7.00,,,,,,,,,,,
GA,Brantley County,GA,Brantley County Middle School,130048000232,2015,Teachers employed during current school year,39.00,,,,,,,,,,,
GA,Brantley County,GA,Brantley County Middle School,130048000232,2015,Teachers employed during both the current and previous school year,34.00,,,,,,,,,,,
GA,Brantley County,GA,Brantley County Middle School,130048000232,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Brantley County,GA,Brantley County Middle School,130048000232,2015,Total enrollment,,,2.00,0.00,0.00,10.00,16.00,487.00,7.00,522.00,77.00,0.00

