Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Coweta County,GA,Winston Dowdell Academy,130150002703,2015,Classroom Teachers,9.00,9.00,,,,,,,,,,
GA,Coweta County,GA,Winston Dowdell Academy,130150002703,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Coweta County,GA,Winston Dowdell Academy,130150002703,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Coweta County,GA,Winston Dowdell Academy,130150002703,2015,Teachers absent more than 10 days of the school year,4.00,,,,,,,,,,,
GA,Coweta County,GA,Winston Dowdell Academy,130150002703,2015,Teachers employed during current school year,11.00,,,,,,,,,,,
GA,Coweta County,GA,Winston Dowdell Academy,130150002703,2015,Teachers employed during both the current and previous school year,10.00,,,,,,,,,,,
GA,Coweta County,GA,Winston Dowdell Academy,130150002703,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Coweta County,GA,Winston Dowdell Academy,130150002703,2015,Total enrollment,,,0.00,0.00,0.00,4.00,28.00,31.00,4.00,67.00,14.00,0.00
GA,Coweta County,GA,White Oak Elementary School,130150002026,2015,Classroom Teachers,41.00,40.00,,,,,,,,,,
GA,Coweta County,GA,White Oak Elementary School,130150002026,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Coweta County,GA,White Oak Elementary School,130150002026,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Coweta County,GA,White Oak Elementary School,130150002026,2015,Teachers absent more than 10 days of the school year,11.00,,,,,,,,,,,
GA,Coweta County,GA,White Oak Elementary School,130150002026,2015,Teachers employed during current school year,49.00,,,,,,,,,,,
GA,Coweta County,GA,White Oak Elementary School,130150002026,2015,Teachers employed during both the current and previous school year,44.00,,,,,,,,,,,
GA,Coweta County,GA,White Oak Elementary School,130150002026,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Coweta County,GA,White Oak Elementary School,130150002026,2015,Total enrollment,,,0.00,13.00,0.00,97.00,151.00,382.00,37.00,680.00,68.00,64.00
GA,Coweta County,GA,Evans Middle School,130150000750,2015,Classroom Teachers,49.00,49.00,,,,,,,,,,
GA,Coweta County,GA,Evans Middle School,130150000750,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Coweta County,GA,Evans Middle School,130150000750,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Coweta County,GA,Evans Middle School,130150000750,2015,Teachers absent more than 10 days of the school year,16.00,,,,,,,,,,,
GA,Coweta County,GA,Evans Middle School,130150000750,2015,Teachers employed during current school year,56.00,,,,,,,,,,,
GA,Coweta County,GA,Evans Middle School,130150000750,2015,Teachers employed during both the current and previous school year,50.00,,,,,,,,,,,
GA,Coweta County,GA,Evans Middle School,130150000750,2015,High-School Counselors,2.00,,,,,,,,,,,
