Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Macon County,GA,Macon County Elementary School,130345002218,2015,Classroom Teachers,41.33,41.33,,,,,,,,,,
GA,Macon County,GA,Macon County Elementary School,130345002218,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Macon County,GA,Macon County Elementary School,130345002218,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Macon County,GA,Macon County Elementary School,130345002218,2015,Teachers absent more than 10 days of the school year,15.00,,,,,,,,,,,
GA,Macon County,GA,Macon County Elementary School,130345002218,2015,Teachers employed during current school year,42.00,,,,,,,,,,,
GA,Macon County,GA,Macon County Elementary School,130345002218,2015,Teachers employed during both the current and previous school year,35.00,,,,,,,,,,,
GA,Macon County,GA,Macon County Elementary School,130345002218,2015,High-School Counselors,1.40,,,,,,,,,,,
GA,Macon County,GA,Macon County Elementary School,130345002218,2015,Total enrollment,,,2.00,10.00,0.00,67.00,580.00,52.00,10.00,721.00,89.00,34.00
GA,Catoosa County,GA,Battlefield Primary,130093002496,2015,Classroom Teachers,34.99,34.99,,,,,,,,,,
GA,Catoosa County,GA,Battlefield Primary,130093002496,2015,Classroom teachers in their first year of teaching,2.98,,,,,,,,,,,
GA,Catoosa County,GA,Battlefield Primary,130093002496,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Catoosa County,GA,Battlefield Primary,130093002496,2015,Teachers absent more than 10 days of the school year,12.49,,,,,,,,,,,
GA,Catoosa County,GA,Battlefield Primary,130093002496,2015,Teachers employed during current school year,40.00,,,,,,,,,,,
GA,Catoosa County,GA,Battlefield Primary,130093002496,2015,Teachers employed during both the current and previous school year,37.00,,,,,,,,,,,
GA,Catoosa County,GA,Battlefield Primary,130093002496,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Catoosa County,GA,Battlefield Primary,130093002496,2015,Total enrollment,,,2.00,22.00,2.00,19.00,19.00,466.00,25.00,555.00,86.00,10.00
GA,Catoosa County,GA,Lakeview-Fort Oglethorpe High School,130093000350,2015,Classroom Teachers,64.93,61.93,,,,,,,,,,
GA,Catoosa County,GA,Lakeview-Fort Oglethorpe High School,130093000350,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Catoosa County,GA,Lakeview-Fort Oglethorpe High School,130093000350,2015,Classroom teachers in their second year of teaching,0.50,,,,,,,,,,,
GA,Catoosa County,GA,Lakeview-Fort Oglethorpe High School,130093000350,2015,Teachers absent more than 10 days of the school year,22.45,,,,,,,,,,,
GA,Catoosa County,GA,Lakeview-Fort Oglethorpe High School,130093000350,2015,Teachers employed during current school year,68.00,,,,,,,,,,,
GA,Catoosa County,GA,Lakeview-Fort Oglethorpe High School,130093000350,2015,Teachers employed during both the current and previous school year,58.00,,,,,,,,,,,
GA,Catoosa County,GA,Lakeview-Fort Oglethorpe High School,130093000350,2015,High-School Counselors,3.00,,,,,,,,,,,
GA,Catoosa County,GA,Lakeview-Fort Oglethorpe High School,130093000350,2015,Total enrollment,,,4.00,25.00,4.00,55.00,52.00,814.00,22.00,976.00,146.00,7.00
GA,Catoosa County,GA,Battlefield Elementary School,130093000346,2015,Classroom Teachers,29.96,29.96,,,,,,,,,,
GA,Catoosa County,GA,Battlefield Elementary School,130093000346,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Catoosa County,GA,Battlefield Elementary School,130093000346,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Catoosa County,GA,Battlefield Elementary School,130093000346,2015,Teachers absent more than 10 days of the school year,9.00,,,,,,,,,,,
GA,Catoosa County,GA,Battlefield Elementary School,130093000346,2015,Teachers employed during current school year,32.00,,,,,,,,,,,
GA,Catoosa County,GA,Battlefield Elementary School,130093000346,2015,Teachers employed during both the current and previous school year,29.00,,,,,,,,,,,
GA,Catoosa County,GA,Battlefield Elementary School,130093000346,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Catoosa County,GA,Battlefield Elementary School,130093000346,2015,Total enrollment,,,4.00,13.00,4.00,22.00,25.00,403.00,16.00,487.00,89.00,10.00
GA,Catoosa County,GA,Catoosa Performance Learning Center,130093002681,2015,Classroom Teachers,10.00,10.00,,,,,,,,,,
GA,Catoosa County,GA,Catoosa Performance Learning Center,130093002681,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Catoosa County,GA,Catoosa Performance Learning Center,130093002681,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Catoosa County,GA,Catoosa Performance Learning Center,130093002681,2015,Teachers absent more than 10 days of the school year,2.00,,,,,,,,,,,
GA,Catoosa County,GA,Catoosa Performance Learning Center,130093002681,2015,Teachers employed during current school year,12.00,,,,,,,,,,,
GA,Catoosa County,GA,Catoosa Performance Learning Center,130093002681,2015,Teachers employed during both the current and previous school year,11.00,,,,,,,,,,,
GA,Catoosa County,GA,Catoosa Performance Learning Center,130093002681,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Catoosa County,GA,Catoosa Performance Learning Center,130093002681,2015,Total enrollment,,,0.00,0.00,0.00,4.00,4.00,97.00,4.00,109.00,11.00,0.00

