Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Fulton County,GA,Georgia Baptist Children's Home and Family Ministries,130228003651,2015,Classroom Teachers,5.00,3.00,,,,,,,,,,
GA,Fulton County,GA,Georgia Baptist Children's Home and Family Ministries,130228003651,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Fulton County,GA,Georgia Baptist Children's Home and Family Ministries,130228003651,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Fulton County,GA,Georgia Baptist Children's Home and Family Ministries,130228003651,2015,Teachers absent more than 10 days of the school year,0.00,,,,,,,,,,,
GA,Fulton County,GA,Georgia Baptist Children's Home and Family Ministries,130228003651,2015,Teachers employed during current school year,5.00,,,,,,,,,,,
GA,Fulton County,GA,Georgia Baptist Children's Home and Family Ministries,130228003651,2015,Teachers employed during both the current and previous school year,4.00,,,,,,,,,,,
GA,Fulton County,GA,Georgia Baptist Children's Home and Family Ministries,130228003651,2015,High-School Counselors,0.00,,,,,,,,,,,
GA,Fulton County,GA,Georgia Baptist Children's Home and Family Ministries,130228003651,2015,Total enrollment,,,0.00,2.00,0.00,2.00,7.00,16.00,0.00,27.00,4.00,0.00
GA,Fulton County,GA,Palmetto Elementary School,130228001013,2015,Classroom Teachers,36.44,31.44,,,,,,,,,,
GA,Fulton County,GA,Palmetto Elementary School,130228001013,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Fulton County,GA,Palmetto Elementary School,130228001013,2015,Classroom teachers in their second year of teaching,5.00,,,,,,,,,,,
GA,Fulton County,GA,Palmetto Elementary School,130228001013,2015,Teachers absent more than 10 days of the school year,19.00,,,,,,,,,,,
GA,Fulton County,GA,Palmetto Elementary School,130228001013,2015,Teachers employed during current school year,46.00,,,,,,,,,,,
GA,Fulton County,GA,Palmetto Elementary School,130228001013,2015,Teachers employed during both the current and previous school year,31.00,,,,,,,,,,,
GA,Fulton County,GA,Palmetto Elementary School,130228001013,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Fulton County,GA,Palmetto Elementary School,130228001013,2015,Total enrollment,,,0.00,0.00,0.00,118.00,364.00,43.00,22.00,547.00,65.00,40.00

