Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Fayette County,GA,Kedron Elementary School,130213001174,2015,Classroom Teachers,39.10,39.10,,,,,,,,,,
GA,Fayette County,GA,Kedron Elementary School,130213001174,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Fayette County,GA,Kedron Elementary School,130213001174,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Fayette County,GA,Kedron Elementary School,130213001174,2015,Teachers absent more than 10 days of the school year,12.60,,,,,,,,,,,
GA,Fayette County,GA,Kedron Elementary School,130213001174,2015,Teachers employed during current school year,41.00,,,,,,,,,,,
GA,Fayette County,GA,Kedron Elementary School,130213001174,2015,Teachers employed during both the current and previous school year,33.00,,,,,,,,,,,
GA,Fayette County,GA,Kedron Elementary School,130213001174,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Fayette County,GA,Kedron Elementary School,130213001174,2015,Total enrollment,,,4.00,112.00,0.00,64.00,88.00,274.00,34.00,576.00,35.00,76.00
GA,Fayette County,GA,McIntosh High School,130213001892,2015,Classroom Teachers,94.28,90.78,,,,,,,,,,
GA,Fayette County,GA,McIntosh High School,130213001892,2015,Classroom teachers in their first year of teaching,6.50,,,,,,,,,,,
GA,Fayette County,GA,McIntosh High School,130213001892,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Fayette County,GA,McIntosh High School,130213001892,2015,Teachers absent more than 10 days of the school year,25.99,,,,,,,,,,,
GA,Fayette County,GA,McIntosh High School,130213001892,2015,Teachers employed during current school year,97.00,,,,,,,,,,,
GA,Fayette County,GA,McIntosh High School,130213001892,2015,Teachers employed during both the current and previous school year,83.00,,,,,,,,,,,
GA,Fayette County,GA,McIntosh High School,130213001892,2015,High-School Counselors,4.00,,,,,,,,,,,
GA,Fayette County,GA,McIntosh High School,130213001892,2015,Total enrollment,,,7.00,139.00,2.00,163.00,160.00,1102.00,94.00,1667.00,95.00,37.00
GA,Fayette County,GA,Huddleston Elementary School,130213000920,2015,Classroom Teachers,41.70,41.70,,,,,,,,,,
GA,Fayette County,GA,Huddleston Elementary School,130213000920,2015,Classroom teachers in their first year of teaching,3.50,,,,,,,,,,,
GA,Fayette County,GA,Huddleston Elementary School,130213000920,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Fayette County,GA,Huddleston Elementary School,130213000920,2015,Teachers absent more than 10 days of the school year,7.00,,,,,,,,,,,
GA,Fayette County,GA,Huddleston Elementary School,130213000920,2015,Teachers employed during current school year,43.00,,,,,,,,,,,
GA,Fayette County,GA,Huddleston Elementary School,130213000920,2015,Teachers employed during both the current and previous school year,35.00,,,,,,,,,,,
GA,Fayette County,GA,Huddleston Elementary School,130213000920,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Fayette County,GA,Huddleston Elementary School,130213000920,2015,Total enrollment,,,4.00,40.00,2.00,97.00,37.00,409.00,34.00,623.00,50.00,76.00
GA,Fayette County,GA,Booth Middle School,130213000925,2015,Classroom Teachers,76.00,75.00,,,,,,,,,,
GA,Fayette County,GA,Booth Middle School,130213000925,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Fayette County,GA,Booth Middle School,130213000925,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Fayette County,GA,Booth Middle School,130213000925,2015,Teachers absent more than 10 days of the school year,33.00,,,,,,,,,,,
GA,Fayette County,GA,Booth Middle School,130213000925,2015,Teachers employed during current school year,76.00,,,,,,,,,,,
