Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Bryan County,GA,Bryan County Middle School,130057002395,2015,Classroom Teachers,34.00,31.00,,,,,,,,,,
GA,Bryan County,GA,Bryan County Middle School,130057002395,2015,Classroom teachers in their first year of teaching,5.00,,,,,,,,,,,
GA,Bryan County,GA,Bryan County Middle School,130057002395,2015,Classroom teachers in their second year of teaching,3.00,,,,,,,,,,,
GA,Bryan County,GA,Bryan County Middle School,130057002395,2015,Teachers absent more than 10 days of the school year,1.00,,,,,,,,,,,
GA,Bryan County,GA,Bryan County Middle School,130057002395,2015,Teachers employed during current school year,34.00,,,,,,,,,,,
GA,Bryan County,GA,Bryan County Middle School,130057002395,2015,Teachers employed during both the current and previous school year,25.00,,,,,,,,,,,
GA,Bryan County,GA,Bryan County Middle School,130057002395,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Bryan County,GA,Bryan County Middle School,130057002395,2015,Total enrollment,,,0.00,0.00,2.00,13.00,94.00,310.00,31.00,450.00,68.00,2.00
GA,Bryan County,GA,Lanier Primary School,130057001872,2015,Classroom Teachers,44.50,44.50,,,,,,,,,,
GA,Bryan County,GA,Lanier Primary School,130057001872,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Bryan County,GA,Lanier Primary School,130057001872,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Bryan County,GA,Lanier Primary School,130057001872,2015,Teachers absent more than 10 days of the school year,11.00,,,,,,,,,,,
GA,Bryan County,GA,Lanier Primary School,130057001872,2015,Teachers employed during current school year,44.00,,,,,,,,,,,
GA,Bryan County,GA,Lanier Primary School,130057001872,2015,Teachers employed during both the current and previous school year,37.00,,,,,,,,,,,
GA,Bryan County,GA,Lanier Primary School,130057001872,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Bryan County,GA,Lanier Primary School,130057001872,2015,Total enrollment,,,0.00,4.00,0.00,13.00,100.00,397.00,25.00,539.00,71.00,7.00
GA,Bryan County,GA,Bryan County High School,130057002396,2015,Classroom Teachers,36.50,32.50,,,,,,,,,,
GA,Bryan County,GA,Bryan County High School,130057002396,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Bryan County,GA,Bryan County High School,130057002396,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Bryan County,GA,Bryan County High School,130057002396,2015,Teachers absent more than 10 days of the school year,8.00,,,,,,,,,,,
GA,Bryan County,GA,Bryan County High School,130057002396,2015,Teachers employed during current school year,36.00,,,,,,,,,,,
GA,Bryan County,GA,Bryan County High School,130057002396,2015,Teachers employed during both the current and previous school year,27.00,,,,,,,,,,,
GA,Bryan County,GA,Bryan County High School,130057002396,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Bryan County,GA,Bryan County High School,130057002396,2015,Total enrollment,,,0.00,4.00,4.00,16.00,127.00,430.00,16.00,597.00,71.00,4.00
GA,Bryan County,GA,Bryan County Elementary School,130057001948,2015,Classroom Teachers,37.00,37.00,,,,,,,,,,
GA,Bryan County,GA,Bryan County Elementary School,130057001948,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Bryan County,GA,Bryan County Elementary School,130057001948,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Bryan County,GA,Bryan County Elementary School,130057001948,2015,Teachers absent more than 10 days of the school year,10.00,,,,,,,,,,,
GA,Bryan County,GA,Bryan County Elementary School,130057001948,2015,Teachers employed during current school year,37.00,,,,,,,,,,,
GA,Bryan County,GA,Bryan County Elementary School,130057001948,2015,Teachers employed during both the current and previous school year,30.00,,,,,,,,,,,
GA,Bryan County,GA,Bryan County Elementary School,130057001948,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Bryan County,GA,Bryan County Elementary School,130057001948,2015,Total enrollment,,,0.00,4.00,2.00,16.00,100.00,352.00,22.00,496.00,77.00,7.00

