Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Houston County,GA,Tucker Elementary School,130288001232,2015,Classroom Teachers,31.00,31.00,,,,,,,,,,
GA,Houston County,GA,Tucker Elementary School,130288001232,2015,Classroom teachers in their first year of teaching,4.00,,,,,,,,,,,
GA,Houston County,GA,Tucker Elementary School,130288001232,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Houston County,GA,Tucker Elementary School,130288001232,2015,Teachers absent more than 10 days of the school year,11.50,,,,,,,,,,,
GA,Houston County,GA,Tucker Elementary School,130288001232,2015,Teachers employed during current school year,31.00,,,,,,,,,,,
GA,Houston County,GA,Tucker Elementary School,130288001232,2015,Teachers employed during both the current and previous school year,32.00,,,,,,,,,,,
GA,Houston County,GA,Tucker Elementary School,130288001232,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Houston County,GA,Tucker Elementary School,130288001232,2015,Total enrollment,,,4.00,4.00,0.00,13.00,172.00,259.00,16.00,468.00,32.00,4.00
GA,Houston County,GA,Perry High School,130288001222,2015,Classroom Teachers,75.00,75.00,,,,,,,,,,
GA,Houston County,GA,Perry High School,130288001222,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Houston County,GA,Perry High School,130288001222,2015,Classroom teachers in their second year of teaching,3.00,,,,,,,,,,,
GA,Houston County,GA,Perry High School,130288001222,2015,Teachers absent more than 10 days of the school year,30.76,,,,,,,,,,,
GA,Houston County,GA,Perry High School,130288001222,2015,Teachers employed during current school year,75.00,,,,,,,,,,,
GA,Houston County,GA,Perry High School,130288001222,2015,Teachers employed during both the current and previous school year,76.00,,,,,,,,,,,
GA,Houston County,GA,Perry High School,130288001222,2015,High-School Counselors,3.00,,,,,,,,,,,
GA,Houston County,GA,Perry High School,130288001222,2015,Total enrollment,,,4.00,19.00,0.00,64.00,445.00,763.00,28.00,1323.00,131.00,4.00
GA,Houston County,GA,Perry Middle School,130288001238,2015,Classroom Teachers,56.00,56.00,,,,,,,,,,
GA,Houston County,GA,Perry Middle School,130288001238,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Houston County,GA,Perry Middle School,130288001238,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Houston County,GA,Perry Middle School,130288001238,2015,Teachers absent more than 10 days of the school year,25.80,,,,,,,,,,,
GA,Houston County,GA,Perry Middle School,130288001238,2015,Teachers employed during current school year,56.00,,,,,,,,,,,
GA,Houston County,GA,Perry Middle School,130288001238,2015,Teachers employed during both the current and previous school year,58.00,,,,,,,,,,,
GA,Houston County,GA,Perry Middle School,130288001238,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Houston County,GA,Perry Middle School,130288001238,2015,Total enrollment,,,2.00,10.00,2.00,43.00,313.00,457.00,34.00,861.00,92.00,4.00
GA,Houston County,GA,Kings Chapel Elementary School,130288001233,2015,Classroom Teachers,34.00,34.00,,,,,,,,,,
GA,Houston County,GA,Kings Chapel Elementary School,130288001233,2015,Classroom teachers in their first year of teaching,4.00,,,,,,,,,,,
GA,Houston County,GA,Kings Chapel Elementary School,130288001233,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Houston County,GA,Kings Chapel Elementary School,130288001233,2015,Teachers absent more than 10 days of the school year,8.85,,,,,,,,,,,
GA,Houston County,GA,Kings Chapel Elementary School,130288001233,2015,Teachers employed during current school year,34.00,,,,,,,,,,,
GA,Houston County,GA,Kings Chapel Elementary School,130288001233,2015,Teachers employed during both the current and previous school year,32.00,,,,,,,,,,,
GA,Houston County,GA,Kings Chapel Elementary School,130288001233,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Houston County,GA,Kings Chapel Elementary School,130288001233,2015,Total enrollment,,,2.00,13.00,0.00,34.00,79.00,367.00,10.00,505.00,68.00,25.00
GA,Houston County,GA,Morningside Elementary School,130288001229,2015,Classroom Teachers,34.00,34.00,,,,,,,,,,
GA,Houston County,GA,Morningside Elementary School,130288001229,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Houston County,GA,Morningside Elementary School,130288001229,2015,Classroom teachers in their second year of teaching,4.00,,,,,,,,,,,
GA,Houston County,GA,Morningside Elementary School,130288001229,2015,Teachers absent more than 10 days of the school year,22.15,,,,,,,,,,,
GA,Houston County,GA,Morningside Elementary School,130288001229,2015,Teachers employed during current school year,34.00,,,,,,,,,,,
GA,Houston County,GA,Morningside Elementary School,130288001229,2015,Teachers employed during both the current and previous school year,31.00,,,,,,,,,,,
GA,Houston County,GA,Morningside Elementary School,130288001229,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Houston County,GA,Morningside Elementary School,130288001229,2015,Total enrollment,,,0.00,2.00,0.00,7.00,325.00,139.00,13.00,486.00,23.00,2.00
GA,Houston County,GA,Langston Road Elementary School,130288004166,2015,Classroom Teachers,43.00,43.00,,,,,,,,,,
GA,Houston County,GA,Langston Road Elementary School,130288004166,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Houston County,GA,Langston Road Elementary School,130288004166,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Houston County,GA,Langston Road Elementary School,130288004166,2015,Teachers absent more than 10 days of the school year,8.00,,,,,,,,,,,
GA,Houston County,GA,Langston Road Elementary School,130288004166,2015,Teachers employed during current school year,43.00,,,,,,,,,,,
GA,Houston County,GA,Langston Road Elementary School,130288004166,2015,Teachers employed during both the current and previous school year,39.00,,,,,,,,,,,
GA,Houston County,GA,Langston Road Elementary School,130288004166,2015,High-School Counselors,1.00,,,,,,,,,,,
