Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Dooly County,GA,Dooly County Elementary School,130180002862,2015,Classroom Teachers,40.68,40.68,,,,,,,,,,
GA,Dooly County,GA,Dooly County Elementary School,130180002862,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Dooly County,GA,Dooly County Elementary School,130180002862,2015,Classroom teachers in their second year of teaching,6.00,,,,,,,,,,,
GA,Dooly County,GA,Dooly County Elementary School,130180002862,2015,Teachers absent more than 10 days of the school year,16.87,,,,,,,,,,,
GA,Dooly County,GA,Dooly County Elementary School,130180002862,2015,Teachers employed during current school year,41.00,,,,,,,,,,,
GA,Dooly County,GA,Dooly County Elementary School,130180002862,2015,Teachers employed during both the current and previous school year,38.00,,,,,,,,,,,
GA,Dooly County,GA,Dooly County Elementary School,130180002862,2015,High-School Counselors,1.50,,,,,,,,,,,
GA,Dooly County,GA,Dooly County Elementary School,130180002862,2015,Total enrollment,,,0.00,2.00,0.00,154.00,508.00,70.00,16.00,750.00,83.00,88.00
GA,Dooly County,GA,Dooly County Middle School,130180002075,2015,Classroom Teachers,17.24,17.24,,,,,,,,,,
GA,Dooly County,GA,Dooly County Middle School,130180002075,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Dooly County,GA,Dooly County Middle School,130180002075,2015,Classroom teachers in their second year of teaching,2.50,,,,,,,,,,,
GA,Dooly County,GA,Dooly County Middle School,130180002075,2015,Teachers absent more than 10 days of the school year,5.13,,,,,,,,,,,
GA,Dooly County,GA,Dooly County Middle School,130180002075,2015,Teachers employed during current school year,20.00,,,,,,,,,,,
GA,Dooly County,GA,Dooly County Middle School,130180002075,2015,Teachers employed during both the current and previous school year,17.00,,,,,,,,,,,
GA,Dooly County,GA,Dooly County Middle School,130180002075,2015,High-School Counselors,0.00,,,,,,,,,,,
GA,Dooly County,GA,Dooly County Middle School,130180002075,2015,Total enrollment,,,0.00,4.00,0.00,40.00,205.00,22.00,7.00,278.00,17.00,13.00

