Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,SCCPSS,GA,Fresh Start Elementary Program,130102004077,2015,Classroom Teachers,7.00,7.00,,,,,,,,,,
GA,SCCPSS,GA,Fresh Start Elementary Program,130102004077,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,SCCPSS,GA,Fresh Start Elementary Program,130102004077,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,SCCPSS,GA,Fresh Start Elementary Program,130102004077,2015,Teachers absent more than 10 days of the school year,1.00,,,,,,,,,,,
GA,SCCPSS,GA,Fresh Start Elementary Program,130102004077,2015,Teachers employed during current school year,7.00,,,,,,,,,,,
GA,SCCPSS,GA,Fresh Start Elementary Program,130102004077,2015,Teachers employed during both the current and previous school year,2.00,,,,,,,,,,,
GA,SCCPSS,GA,Fresh Start Elementary Program,130102004077,2015,High-School Counselors,0.00,,,,,,,,,,,
GA,SCCPSS,GA,Fresh Start Elementary Program,130102004077,2015,Total enrollment,,,0.00,0.00,0.00,2.00,58.00,0.00,2.00,62.00,10.00,0.00
GA,SCCPSS,GA,Port Wentworth Elementary School,130102000396,2015,Classroom Teachers,40.17,40.17,,,,,,,,,,
GA,SCCPSS,GA,Port Wentworth Elementary School,130102000396,2015,Classroom teachers in their first year of teaching,6.00,,,,,,,,,,,
GA,SCCPSS,GA,Port Wentworth Elementary School,130102000396,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,SCCPSS,GA,Port Wentworth Elementary School,130102000396,2015,Teachers absent more than 10 days of the school year,20.00,,,,,,,,,,,
GA,SCCPSS,GA,Port Wentworth Elementary School,130102000396,2015,Teachers employed during current school year,41.00,,,,,,,,,,,
GA,SCCPSS,GA,Port Wentworth Elementary School,130102000396,2015,Teachers employed during both the current and previous school year,30.00,,,,,,,,,,,
GA,SCCPSS,GA,Port Wentworth Elementary School,130102000396,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,SCCPSS,GA,Port Wentworth Elementary School,130102000396,2015,Total enrollment,,,4.00,2.00,4.00,103.00,199.00,172.00,43.00,527.00,56.00,103.00
GA,SCCPSS,GA,Rice Creek School,130102004185,2015,Classroom Teachers,38.17,38.17,,,,,,,,,,
GA,SCCPSS,GA,Rice Creek School,130102004185,2015,Classroom teachers in their first year of teaching,5.00,,,,,,,,,,,
GA,SCCPSS,GA,Rice Creek School,130102004185,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,SCCPSS,GA,Rice Creek School,130102004185,2015,Teachers absent more than 10 days of the school year,10.00,,,,,,,,,,,
GA,SCCPSS,GA,Rice Creek School,130102004185,2015,Teachers employed during current school year,39.00,,,,,,,,,,,
GA,SCCPSS,GA,Rice Creek School,130102004185,2015,Teachers employed during both the current and previous school year,0.00,,,,,,,,,,,
GA,SCCPSS,GA,Rice Creek School,130102004185,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,SCCPSS,GA,Rice Creek School,130102004185,2015,Total enrollment,,,4.00,7.00,0.00,79.00,346.00,193.00,43.00,672.00,86.00,52.00

