Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Bulloch County,GA,Portal Middle/High School,130063000281,2015,Classroom Teachers,29.45,29.45,,,,,,,,,,
GA,Bulloch County,GA,Portal Middle/High School,130063000281,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Bulloch County,GA,Portal Middle/High School,130063000281,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Bulloch County,GA,Portal Middle/High School,130063000281,2015,Teachers absent more than 10 days of the school year,9.53,,,,,,,,,,,
GA,Bulloch County,GA,Portal Middle/High School,130063000281,2015,Teachers employed during current school year,33.00,,,,,,,,,,,
GA,Bulloch County,GA,Portal Middle/High School,130063000281,2015,Teachers employed during both the current and previous school year,24.00,,,,,,,,,,,
GA,Bulloch County,GA,Portal Middle/High School,130063000281,2015,High-School Counselors,1.75,,,,,,,,,,,
GA,Bulloch County,GA,Portal Middle/High School,130063000281,2015,Total enrollment,,,0.00,0.00,2.00,22.00,130.00,247.00,10.00,411.00,41.00,4.00
GA,Bulloch County,GA,Portal Elementary School,130063002298,2015,Classroom Teachers,25.55,25.55,,,,,,,,,,
GA,Bulloch County,GA,Portal Elementary School,130063002298,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Bulloch County,GA,Portal Elementary School,130063002298,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Bulloch County,GA,Portal Elementary School,130063002298,2015,Teachers absent more than 10 days of the school year,7.00,,,,,,,,,,,
GA,Bulloch County,GA,Portal Elementary School,130063002298,2015,Teachers employed during current school year,26.00,,,,,,,,,,,
GA,Bulloch County,GA,Portal Elementary School,130063002298,2015,Teachers employed during both the current and previous school year,21.00,,,,,,,,,,,
GA,Bulloch County,GA,Portal Elementary School,130063002298,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Bulloch County,GA,Portal Elementary School,130063002298,2015,Total enrollment,,,2.00,0.00,0.00,28.00,130.00,208.00,16.00,384.00,47.00,16.00

