Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Cobb County,GA,Hillgrove High School,130129003649,2015,Classroom Teachers,112.00,108.50,,,,,,,,,,
GA,Cobb County,GA,Hillgrove High School,130129003649,2015,Classroom teachers in their first year of teaching,3.50,,,,,,,,,,,
GA,Cobb County,GA,Hillgrove High School,130129003649,2015,Classroom teachers in their second year of teaching,5.50,,,,,,,,,,,
GA,Cobb County,GA,Hillgrove High School,130129003649,2015,Teachers absent more than 10 days of the school year,18.00,,,,,,,,,,,
GA,Cobb County,GA,Hillgrove High School,130129003649,2015,Teachers employed during current school year,114.00,,,,,,,,,,,
GA,Cobb County,GA,Hillgrove High School,130129003649,2015,Teachers employed during both the current and previous school year,102.00,,,,,,,,,,,
GA,Cobb County,GA,Hillgrove High School,130129003649,2015,High-School Counselors,6.00,,,,,,,,,,,
GA,Cobb County,GA,Hillgrove High School,130129003649,2015,Total enrollment,,,4.00,55.00,2.00,190.00,799.00,1255.00,85.00,2390.00,206.00,16.00
GA,Cobb County,GA,Tapp Middle School,130129000541,2015,Classroom Teachers,53.50,49.00,,,,,,,,,,
GA,Cobb County,GA,Tapp Middle School,130129000541,2015,Classroom teachers in their first year of teaching,5.00,,,,,,,,,,,
GA,Cobb County,GA,Tapp Middle School,130129000541,2015,Classroom teachers in their second year of teaching,3.00,,,,,,,,,,,
GA,Cobb County,GA,Tapp Middle School,130129000541,2015,Teachers absent more than 10 days of the school year,9.00,,,,,,,,,,,
GA,Cobb County,GA,Tapp Middle School,130129000541,2015,Teachers employed during current school year,54.00,,,,,,,,,,,
GA,Cobb County,GA,Tapp Middle School,130129000541,2015,Teachers employed during both the current and previous school year,43.00,,,,,,,,,,,
GA,Cobb County,GA,Tapp Middle School,130129000541,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Cobb County,GA,Tapp Middle School,130129000541,2015,Total enrollment,,,4.00,13.00,0.00,151.00,490.00,100.00,22.00,780.00,122.00,25.00
GA,Cobb County,GA,Vaughan Elementary School,130129001479,2015,Classroom Teachers,45.99,45.99,,,,,,,,,,
GA,Cobb County,GA,Vaughan Elementary School,130129001479,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Cobb County,GA,Vaughan Elementary School,130129001479,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Cobb County,GA,Vaughan Elementary School,130129001479,2015,Teachers absent more than 10 days of the school year,10.50,,,,,,,,,,,
GA,Cobb County,GA,Vaughan Elementary School,130129001479,2015,Teachers employed during current school year,47.00,,,,,,,,,,,
GA,Cobb County,GA,Vaughan Elementary School,130129001479,2015,Teachers employed during both the current and previous school year,39.00,,,,,,,,,,,
GA,Cobb County,GA,Vaughan Elementary School,130129001479,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Cobb County,GA,Vaughan Elementary School,130129001479,2015,Total enrollment,,,0.00,16.00,0.00,37.00,85.00,484.00,37.00,659.00,110.00,10.00
