Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Tattnall County,GA,Tattnall County High School,130477000780,2015,Classroom Teachers,55.70,49.70,,,,,,,,,,
GA,Tattnall County,GA,Tattnall County High School,130477000780,2015,Classroom teachers in their first year of teaching,4.00,,,,,,,,,,,
GA,Tattnall County,GA,Tattnall County High School,130477000780,2015,Classroom teachers in their second year of teaching,2.06,,,,,,,,,,,
GA,Tattnall County,GA,Tattnall County High School,130477000780,2015,Teachers absent more than 10 days of the school year,15.20,,,,,,,,,,,
GA,Tattnall County,GA,Tattnall County High School,130477000780,2015,Teachers employed during current school year,57.00,,,,,,,,,,,
GA,Tattnall County,GA,Tattnall County High School,130477000780,2015,Teachers employed during both the current and previous school year,47.00,,,,,,,,,,,
GA,Tattnall County,GA,Tattnall County High School,130477000780,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Tattnall County,GA,Tattnall County High School,130477000780,2015,Total enrollment,,,2.00,4.00,4.00,154.00,253.00,502.00,34.00,953.00,89.00,28.00
GA,Tattnall County,GA,Reidsville Elementary School,130477002438,2015,Classroom Teachers,53.59,53.59,,,,,,,,,,
GA,Tattnall County,GA,Reidsville Elementary School,130477002438,2015,Classroom teachers in their first year of teaching,5.00,,,,,,,,,,,
GA,Tattnall County,GA,Reidsville Elementary School,130477002438,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Tattnall County,GA,Reidsville Elementary School,130477002438,2015,Teachers absent more than 10 days of the school year,13.00,,,,,,,,,,,
GA,Tattnall County,GA,Reidsville Elementary School,130477002438,2015,Teachers employed during current school year,57.00,,,,,,,,,,,
GA,Tattnall County,GA,Reidsville Elementary School,130477002438,2015,Teachers employed during both the current and previous school year,49.00,,,,,,,,,,,
GA,Tattnall County,GA,Reidsville Elementary School,130477002438,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Tattnall County,GA,Reidsville Elementary School,130477002438,2015,Total enrollment,,,0.00,4.00,2.00,211.00,211.00,367.00,37.00,832.00,119.00,124.00
GA,Tattnall County,GA,Reidsville Middle School,130477002433,2015,Classroom Teachers,23.50,23.50,,,,,,,,,,
GA,Tattnall County,GA,Reidsville Middle School,130477002433,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Tattnall County,GA,Reidsville Middle School,130477002433,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Tattnall County,GA,Reidsville Middle School,130477002433,2015,Teachers absent more than 10 days of the school year,4.00,,,,,,,,,,,
GA,Tattnall County,GA,Reidsville Middle School,130477002433,2015,Teachers employed during current school year,25.00,,,,,,,,,,,
GA,Tattnall County,GA,Reidsville Middle School,130477002433,2015,Teachers employed during both the current and previous school year,20.00,,,,,,,,,,,
GA,Tattnall County,GA,Reidsville Middle School,130477002433,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Tattnall County,GA,Reidsville Middle School,130477002433,2015,Total enrollment,,,0.00,2.00,2.00,76.00,103.00,160.00,7.00,350.00,35.00,19.00

