Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Bryan County,GA,Richmond Hill Elementary School,130057002389,2015,Classroom Teachers,47.50,47.50,,,,,,,,,,
GA,Bryan County,GA,Richmond Hill Elementary School,130057002389,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Bryan County,GA,Richmond Hill Elementary School,130057002389,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Bryan County,GA,Richmond Hill Elementary School,130057002389,2015,Teachers absent more than 10 days of the school year,4.00,,,,,,,,,,,
GA,Bryan County,GA,Richmond Hill Elementary School,130057002389,2015,Teachers employed during current school year,47.00,,,,,,,,,,,
GA,Bryan County,GA,Richmond Hill Elementary School,130057002389,2015,Teachers employed during both the current and previous school year,39.00,,,,,,,,,,,
GA,Bryan County,GA,Richmond Hill Elementary School,130057002389,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Bryan County,GA,Richmond Hill Elementary School,130057002389,2015,Total enrollment,,,2.00,22.00,7.00,55.00,148.00,463.00,40.00,737.00,68.00,13.00
GA,Bryan County,GA,Richmond Hill Middle School,130057002235,2015,Classroom Teachers,95.50,95.50,,,,,,,,,,
GA,Bryan County,GA,Richmond Hill Middle School,130057002235,2015,Classroom teachers in their first year of teaching,7.00,,,,,,,,,,,
GA,Bryan County,GA,Richmond Hill Middle School,130057002235,2015,Classroom teachers in their second year of teaching,7.00,,,,,,,,,,,
GA,Bryan County,GA,Richmond Hill Middle School,130057002235,2015,Teachers absent more than 10 days of the school year,19.00,,,,,,,,,,,
GA,Bryan County,GA,Richmond Hill Middle School,130057002235,2015,Teachers employed during current school year,95.00,,,,,,,,,,,
GA,Bryan County,GA,Richmond Hill Middle School,130057002235,2015,Teachers employed during both the current and previous school year,76.00,,,,,,,,,,,
GA,Bryan County,GA,Richmond Hill Middle School,130057002235,2015,High-School Counselors,3.00,,,,,,,,,,,
GA,Bryan County,GA,Richmond Hill Middle School,130057002235,2015,Total enrollment,,,4.00,55.00,2.00,133.00,223.00,1093.00,85.00,1595.00,140.00,13.00
GA,Bryan County,GA,Richmond Hill High School,130057001873,2015,Classroom Teachers,102.50,95.50,,,,,,,,,,
GA,Bryan County,GA,Richmond Hill High School,130057001873,2015,Classroom teachers in their first year of teaching,6.00,,,,,,,,,,,
GA,Bryan County,GA,Richmond Hill High School,130057001873,2015,Classroom teachers in their second year of teaching,7.00,,,,,,,,,,,
GA,Bryan County,GA,Richmond Hill High School,130057001873,2015,Teachers absent more than 10 days of the school year,10.00,,,,,,,,,,,
GA,Bryan County,GA,Richmond Hill High School,130057001873,2015,Teachers employed during current school year,102.00,,,,,,,,,,,
GA,Bryan County,GA,Richmond Hill High School,130057001873,2015,Teachers employed during both the current and previous school year,88.00,,,,,,,,,,,
GA,Bryan County,GA,Richmond Hill High School,130057001873,2015,High-School Counselors,4.00,,,,,,,,,,,
GA,Bryan County,GA,Richmond Hill High School,130057001873,2015,Total enrollment,,,7.00,64.00,8.00,166.00,313.00,1348.00,88.00,1994.00,140.00,19.00
GA,Bryan County,GA,McAllister Elementary School,130057004189,2015,Classroom Teachers,53.00,53.00,,,,,,,,,,
GA,Bryan County,GA,McAllister Elementary School,130057004189,2015,Classroom teachers in their first year of teaching,4.00,,,,,,,,,,,
GA,Bryan County,GA,McAllister Elementary School,130057004189,2015,Classroom teachers in their second year of teaching,5.00,,,,,,,,,,,
GA,Bryan County,GA,McAllister Elementary School,130057004189,2015,Teachers absent more than 10 days of the school year,8.00,,,,,,,,,,,
GA,Bryan County,GA,McAllister Elementary School,130057004189,2015,Teachers employed during current school year,53.00,,,,,,,,,,,
GA,Bryan County,GA,McAllister Elementary School,130057004189,2015,Teachers employed during both the current and previous school year,0.00,,,,,,,,,,,
GA,Bryan County,GA,McAllister Elementary School,130057004189,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Bryan County,GA,McAllister Elementary School,130057004189,2015,Total enrollment,,,0.00,19.00,4.00,40.00,67.00,667.00,34.00,831.00,65.00,4.00
GA,Bryan County,GA,Richmond Hill Primary School,130057000086,2015,Classroom Teachers,50.50,50.50,,,,,,,,,,
GA,Bryan County,GA,Richmond Hill Primary School,130057000086,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Bryan County,GA,Richmond Hill Primary School,130057000086,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Bryan County,GA,Richmond Hill Primary School,130057000086,2015,Teachers absent more than 10 days of the school year,10.00,,,,,,,,,,,
GA,Bryan County,GA,Richmond Hill Primary School,130057000086,2015,Teachers employed during current school year,50.00,,,,,,,,,,,
GA,Bryan County,GA,Richmond Hill Primary School,130057000086,2015,Teachers employed during both the current and previous school year,38.00,,,,,,,,,,,
GA,Bryan County,GA,Richmond Hill Primary School,130057000086,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Bryan County,GA,Richmond Hill Primary School,130057000086,2015,Total enrollment,,,0.00,25.00,2.00,76.00,103.00,562.00,43.00,811.00,71.00,25.00
GA,Bryan County,GA,Dr. George Washington Carver Elementary School,130057002368,2015,Classroom Teachers,44.33,44.33,,,,,,,,,,
GA,Bryan County,GA,Dr. George Washington Carver Elementary School,130057002368,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Bryan County,GA,Dr. George Washington Carver Elementary School,130057002368,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Bryan County,GA,Dr. George Washington Carver Elementary School,130057002368,2015,Teachers absent more than 10 days of the school year,7.00,,,,,,,,,,,
GA,Bryan County,GA,Dr. George Washington Carver Elementary School,130057002368,2015,Teachers employed during current school year,45.00,,,,,,,,,,,
GA,Bryan County,GA,Dr. George Washington Carver Elementary School,130057002368,2015,Teachers employed during both the current and previous school year,33.00,,,,,,,,,,,
GA,Bryan County,GA,Dr. George Washington Carver Elementary School,130057002368,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Bryan County,GA,Dr. George Washington Carver Elementary School,130057002368,2015,Total enrollment,,,4.00,34.00,4.00,67.00,112.00,472.00,40.00,733.00,74.00,7.00

