Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Effingham County,GA,Rincon Elementary School,130198000892,2015,Classroom Teachers,49.00,49.00,,,,,,,,,,
GA,Effingham County,GA,Rincon Elementary School,130198000892,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Effingham County,GA,Rincon Elementary School,130198000892,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Effingham County,GA,Rincon Elementary School,130198000892,2015,Teachers absent more than 10 days of the school year,16.00,,,,,,,,,,,
GA,Effingham County,GA,Rincon Elementary School,130198000892,2015,Teachers employed during current school year,49.00,,,,,,,,,,,
GA,Effingham County,GA,Rincon Elementary School,130198000892,2015,Teachers employed during both the current and previous school year,41.00,,,,,,,,,,,
GA,Effingham County,GA,Rincon Elementary School,130198000892,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Effingham County,GA,Rincon Elementary School,130198000892,2015,Total enrollment,,,0.00,7.00,2.00,52.00,169.00,466.00,34.00,730.00,122.00,25.00
GA,Effingham County,GA,Blandford Elementary School,130198003348,2015,Classroom Teachers,51.25,50.25,,,,,,,,,,
GA,Effingham County,GA,Blandford Elementary School,130198003348,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Effingham County,GA,Blandford Elementary School,130198003348,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Effingham County,GA,Blandford Elementary School,130198003348,2015,Teachers absent more than 10 days of the school year,18.25,,,,,,,,,,,
GA,Effingham County,GA,Blandford Elementary School,130198003348,2015,Teachers employed during current school year,52.00,,,,,,,,,,,
GA,Effingham County,GA,Blandford Elementary School,130198003348,2015,Teachers employed during both the current and previous school year,47.00,,,,,,,,,,,
GA,Effingham County,GA,Blandford Elementary School,130198003348,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Effingham County,GA,Blandford Elementary School,130198003348,2015,Total enrollment,,,0.00,10.00,0.00,70.00,160.00,475.00,52.00,767.00,134.00,34.00
GA,Effingham County,GA,Ebenezer Elementary School,130198001170,2015,Classroom Teachers,47.15,47.15,,,,,,,,,,
GA,Effingham County,GA,Ebenezer Elementary School,130198001170,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Effingham County,GA,Ebenezer Elementary School,130198001170,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Effingham County,GA,Ebenezer Elementary School,130198001170,2015,Teachers absent more than 10 days of the school year,17.25,,,,,,,,,,,
GA,Effingham County,GA,Ebenezer Elementary School,130198001170,2015,Teachers employed during current school year,49.00,,,,,,,,,,,
GA,Effingham County,GA,Ebenezer Elementary School,130198001170,2015,Teachers employed during both the current and previous school year,42.00,,,,,,,,,,,
GA,Effingham County,GA,Ebenezer Elementary School,130198001170,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Effingham County,GA,Ebenezer Elementary School,130198001170,2015,Total enrollment,,,2.00,0.00,0.00,43.00,82.00,523.00,34.00,684.00,164.00,10.00
GA,Effingham County,GA,Ebenezer Middle School,130198002550,2015,Classroom Teachers,49.43,48.43,,,,,,,,,,
GA,Effingham County,GA,Ebenezer Middle School,130198002550,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Effingham County,GA,Ebenezer Middle School,130198002550,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Effingham County,GA,Ebenezer Middle School,130198002550,2015,Teachers absent more than 10 days of the school year,18.55,,,,,,,,,,,
GA,Effingham County,GA,Ebenezer Middle School,130198002550,2015,Teachers employed during current school year,53.00,,,,,,,,,,,
GA,Effingham County,GA,Ebenezer Middle School,130198002550,2015,Teachers employed during both the current and previous school year,44.00,,,,,,,,,,,
GA,Effingham County,GA,Ebenezer Middle School,130198002550,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Effingham County,GA,Ebenezer Middle School,130198002550,2015,Total enrollment,,,0.00,10.00,2.00,61.00,121.00,556.00,37.00,787.00,107.00,10.00

