Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Catoosa County,GA,Ringgold Middle School,130093000351,2015,Classroom Teachers,55.48,55.48,,,,,,,,,,
GA,Catoosa County,GA,Ringgold Middle School,130093000351,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Catoosa County,GA,Ringgold Middle School,130093000351,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Catoosa County,GA,Ringgold Middle School,130093000351,2015,Teachers absent more than 10 days of the school year,20.50,,,,,,,,,,,
GA,Catoosa County,GA,Ringgold Middle School,130093000351,2015,Teachers employed during current school year,57.00,,,,,,,,,,,
GA,Catoosa County,GA,Ringgold Middle School,130093000351,2015,Teachers employed during both the current and previous school year,51.00,,,,,,,,,,,
GA,Catoosa County,GA,Ringgold Middle School,130093000351,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Catoosa County,GA,Ringgold Middle School,130093000351,2015,Total enrollment,,,2.00,13.00,2.00,28.00,22.00,706.00,19.00,792.00,140.00,4.00
GA,Catoosa County,GA,Boynton Elementary School,130093000845,2015,Classroom Teachers,37.45,37.45,,,,,,,,,,
GA,Catoosa County,GA,Boynton Elementary School,130093000845,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Catoosa County,GA,Boynton Elementary School,130093000845,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Catoosa County,GA,Boynton Elementary School,130093000845,2015,Teachers absent more than 10 days of the school year,15.47,,,,,,,,,,,
GA,Catoosa County,GA,Boynton Elementary School,130093000845,2015,Teachers employed during current school year,42.00,,,,,,,,,,,
GA,Catoosa County,GA,Boynton Elementary School,130093000845,2015,Teachers employed during both the current and previous school year,39.00,,,,,,,,,,,
GA,Catoosa County,GA,Boynton Elementary School,130093000845,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Catoosa County,GA,Boynton Elementary School,130093000845,2015,Total enrollment,,,0.00,4.00,0.00,22.00,16.00,493.00,13.00,548.00,98.00,2.00
GA,Catoosa County,GA,Ringgold Elementary School,130093000355,2015,Classroom Teachers,31.49,31.49,,,,,,,,,,
GA,Catoosa County,GA,Ringgold Elementary School,130093000355,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Catoosa County,GA,Ringgold Elementary School,130093000355,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Catoosa County,GA,Ringgold Elementary School,130093000355,2015,Teachers absent more than 10 days of the school year,13.00,,,,,,,,,,,
GA,Catoosa County,GA,Ringgold Elementary School,130093000355,2015,Teachers employed during current school year,32.00,,,,,,,,,,,
GA,Catoosa County,GA,Ringgold Elementary School,130093000355,2015,Teachers employed during both the current and previous school year,28.00,,,,,,,,,,,
GA,Catoosa County,GA,Ringgold Elementary School,130093000355,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Catoosa County,GA,Ringgold Elementary School,130093000355,2015,Total enrollment,,,2.00,2.00,0.00,10.00,7.00,445.00,19.00,485.00,83.00,7.00
GA,Catoosa County,GA,Heritage Middle School,130093003305,2015,Classroom Teachers,63.48,62.48,,,,,,,,,,
GA,Catoosa County,GA,Heritage Middle School,130093003305,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Catoosa County,GA,Heritage Middle School,130093003305,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Catoosa County,GA,Heritage Middle School,130093003305,2015,Teachers absent more than 10 days of the school year,29.46,,,,,,,,,,,
GA,Catoosa County,GA,Heritage Middle School,130093003305,2015,Teachers employed during current school year,68.00,,,,,,,,,,,
GA,Catoosa County,GA,Heritage Middle School,130093003305,2015,Teachers employed during both the current and previous school year,62.00,,,,,,,,,,,
GA,Catoosa County,GA,Heritage Middle School,130093003305,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Catoosa County,GA,Heritage Middle School,130093003305,2015,Total enrollment,,,4.00,10.00,2.00,19.00,25.00,853.00,31.00,944.00,191.00,4.00
GA,Catoosa County,GA,Ringgold Primary School,130093002300,2015,Classroom Teachers,38.25,38.25,,,,,,,,,,
GA,Catoosa County,GA,Ringgold Primary School,130093002300,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Catoosa County,GA,Ringgold Primary School,130093002300,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Catoosa County,GA,Ringgold Primary School,130093002300,2015,Teachers absent more than 10 days of the school year,13.25,,,,,,,,,,,
GA,Catoosa County,GA,Ringgold Primary School,130093002300,2015,Teachers employed during current school year,40.00,,,,,,,,,,,
GA,Catoosa County,GA,Ringgold Primary School,130093002300,2015,Teachers employed during both the current and previous school year,37.00,,,,,,,,,,,
GA,Catoosa County,GA,Ringgold Primary School,130093002300,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Catoosa County,GA,Ringgold Primary School,130093002300,2015,Total enrollment,,,0.00,4.00,2.00,10.00,10.00,475.00,22.00,523.00,92.00,2.00
GA,Catoosa County,GA,Ringgold High School,130093000353,2015,Classroom Teachers,67.72,67.72,,,,,,,,,,
GA,Catoosa County,GA,Ringgold High School,130093000353,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Catoosa County,GA,Ringgold High School,130093000353,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Catoosa County,GA,Ringgold High School,130093000353,2015,Teachers absent more than 10 days of the school year,21.00,,,,,,,,,,,
GA,Catoosa County,GA,Ringgold High School,130093000353,2015,Teachers employed during current school year,70.00,,,,,,,,,,,
GA,Catoosa County,GA,Ringgold High School,130093000353,2015,Teachers employed during both the current and previous school year,61.00,,,,,,,,,,,
GA,Catoosa County,GA,Ringgold High School,130093000353,2015,High-School Counselors,3.00,,,,,,,,,,,
GA,Catoosa County,GA,Ringgold High School,130093000353,2015,Total enrollment,,,4.00,10.00,0.00,31.00,31.00,946.00,25.00,1047.00,149.00,2.00
GA,Catoosa County,GA,Heritage High School,130093003688,2015,Classroom Teachers,83.46,80.46,,,,,,,,,,
GA,Catoosa County,GA,Heritage High School,130093003688,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Catoosa County,GA,Heritage High School,130093003688,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Catoosa County,GA,Heritage High School,130093003688,2015,Teachers absent more than 10 days of the school year,24.51,,,,,,,,,,,
GA,Catoosa County,GA,Heritage High School,130093003688,2015,Teachers employed during current school year,87.00,,,,,,,,,,,
GA,Catoosa County,GA,Heritage High School,130093003688,2015,Teachers employed during both the current and previous school year,85.00,,,,,,,,,,,
GA,Catoosa County,GA,Heritage High School,130093003688,2015,High-School Counselors,3.99,,,,,,,,,,,
GA,Catoosa County,GA,Heritage High School,130093003688,2015,Total enrollment,,,2.00,22.00,0.00,52.00,25.00,1189.00,37.00,1327.00,209.00,7.00

