Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Clayton County,GA,Rex Mill Middle School,130123003319,2015,Classroom Teachers,63.50,60.50,,,,,,,,,,
GA,Clayton County,GA,Rex Mill Middle School,130123003319,2015,Classroom teachers in their first year of teaching,15.00,,,,,,,,,,,
GA,Clayton County,GA,Rex Mill Middle School,130123003319,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Clayton County,GA,Rex Mill Middle School,130123003319,2015,Teachers absent more than 10 days of the school year,11.00,,,,,,,,,,,
GA,Clayton County,GA,Rex Mill Middle School,130123003319,2015,Teachers employed during current school year,64.00,,,,,,,,,,,
GA,Clayton County,GA,Rex Mill Middle School,130123003319,2015,Teachers employed during both the current and previous school year,63.00,,,,,,,,,,,
GA,Clayton County,GA,Rex Mill Middle School,130123003319,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Clayton County,GA,Rex Mill Middle School,130123003319,2015,Total enrollment,,,0.00,28.00,0.00,217.00,697.00,31.00,43.00,1016.00,101.00,55.00
GA,Clayton County,GA,Roberta T. Smith Elementary School,130123002305,2015,Classroom Teachers,57.00,54.00,,,,,,,,,,
GA,Clayton County,GA,Roberta T. Smith Elementary School,130123002305,2015,Classroom teachers in their first year of teaching,9.00,,,,,,,,,,,
GA,Clayton County,GA,Roberta T. Smith Elementary School,130123002305,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Clayton County,GA,Roberta T. Smith Elementary School,130123002305,2015,Teachers absent more than 10 days of the school year,14.00,,,,,,,,,,,
GA,Clayton County,GA,Roberta T. Smith Elementary School,130123002305,2015,Teachers employed during current school year,57.00,,,,,,,,,,,
GA,Clayton County,GA,Roberta T. Smith Elementary School,130123002305,2015,Teachers employed during both the current and previous school year,56.00,,,,,,,,,,,
GA,Clayton County,GA,Roberta T. Smith Elementary School,130123002305,2015,High-School Counselors,1.50,,,,,,,,,,,
GA,Clayton County,GA,Roberta T. Smith Elementary School,130123002305,2015,Total enrollment,,,4.00,25.00,2.00,196.00,661.00,43.00,40.00,971.00,71.00,136.00
GA,Clayton County,GA,Adamson Middle School,130123000480,2015,Classroom Teachers,42.50,42.50,,,,,,,,,,
GA,Clayton County,GA,Adamson Middle School,130123000480,2015,Classroom teachers in their first year of teaching,8.00,,,,,,,,,,,
GA,Clayton County,GA,Adamson Middle School,130123000480,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Clayton County,GA,Adamson Middle School,130123000480,2015,Teachers absent more than 10 days of the school year,12.00,,,,,,,,,,,
GA,Clayton County,GA,Adamson Middle School,130123000480,2015,Teachers employed during current school year,43.00,,,,,,,,,,,
GA,Clayton County,GA,Adamson Middle School,130123000480,2015,Teachers employed during both the current and previous school year,42.00,,,,,,,,,,,
GA,Clayton County,GA,Adamson Middle School,130123000480,2015,High-School Counselors,1.50,,,,,,,,,,,
GA,Clayton County,GA,Adamson Middle School,130123000480,2015,Total enrollment,,,2.00,19.00,0.00,91.00,451.00,16.00,13.00,592.00,77.00,28.00

