Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Catoosa County,GA,Woodstation Elementary School,130093003304,2015,Classroom Teachers,33.59,33.59,,,,,,,,,,
GA,Catoosa County,GA,Woodstation Elementary School,130093003304,2015,Classroom teachers in their first year of teaching,4.49,,,,,,,,,,,
GA,Catoosa County,GA,Woodstation Elementary School,130093003304,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Catoosa County,GA,Woodstation Elementary School,130093003304,2015,Teachers absent more than 10 days of the school year,8.59,,,,,,,,,,,
GA,Catoosa County,GA,Woodstation Elementary School,130093003304,2015,Teachers employed during current school year,36.00,,,,,,,,,,,
GA,Catoosa County,GA,Woodstation Elementary School,130093003304,2015,Teachers employed during both the current and previous school year,31.00,,,,,,,,,,,
GA,Catoosa County,GA,Woodstation Elementary School,130093003304,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Catoosa County,GA,Woodstation Elementary School,130093003304,2015,Total enrollment,,,0.00,4.00,0.00,7.00,10.00,463.00,13.00,497.00,83.00,4.00
GA,Walker County,GA,Rock Spring Elementary School,130537001764,2015,Classroom Teachers,34.68,33.68,,,,,,,,,,
GA,Walker County,GA,Rock Spring Elementary School,130537001764,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Walker County,GA,Rock Spring Elementary School,130537001764,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Walker County,GA,Rock Spring Elementary School,130537001764,2015,Teachers absent more than 10 days of the school year,4.15,,,,,,,,,,,
GA,Walker County,GA,Rock Spring Elementary School,130537001764,2015,Teachers employed during current school year,37.00,,,,,,,,,,,
GA,Walker County,GA,Rock Spring Elementary School,130537001764,2015,Teachers employed during both the current and previous school year,30.00,,,,,,,,,,,
GA,Walker County,GA,Rock Spring Elementary School,130537001764,2015,High-School Counselors,0.60,,,,,,,,,,,
GA,Walker County,GA,Rock Spring Elementary School,130537001764,2015,Total enrollment,,,0.00,2.00,2.00,10.00,13.00,373.00,10.00,410.00,83.00,5.00
GA,Walker County,GA,Saddle Ridge Elementary and Middle School,130537004121,2015,Classroom Teachers,43.56,42.56,,,,,,,,,,
GA,Walker County,GA,Saddle Ridge Elementary and Middle School,130537004121,2015,Classroom teachers in their first year of teaching,7.12,,,,,,,,,,,
GA,Walker County,GA,Saddle Ridge Elementary and Middle School,130537004121,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Walker County,GA,Saddle Ridge Elementary and Middle School,130537004121,2015,Teachers absent more than 10 days of the school year,10.60,,,,,,,,,,,
GA,Walker County,GA,Saddle Ridge Elementary and Middle School,130537004121,2015,Teachers employed during current school year,47.00,,,,,,,,,,,
GA,Walker County,GA,Saddle Ridge Elementary and Middle School,130537004121,2015,Teachers employed during both the current and previous school year,33.00,,,,,,,,,,,
GA,Walker County,GA,Saddle Ridge Elementary and Middle School,130537004121,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Walker County,GA,Saddle Ridge Elementary and Middle School,130537004121,2015,Total enrollment,,,0.00,2.00,0.00,10.00,7.00,505.00,16.00,540.00,62.00,2.00

