Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Paulding County,GA,Sara M. Ragsdale Elementary,130402003864,2015,Classroom Teachers,46.00,46.00,,,,,,,,,,
GA,Paulding County,GA,Sara M. Ragsdale Elementary,130402003864,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Paulding County,GA,Sara M. Ragsdale Elementary,130402003864,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Paulding County,GA,Sara M. Ragsdale Elementary,130402003864,2015,Teachers absent more than 10 days of the school year,20.00,,,,,,,,,,,
GA,Paulding County,GA,Sara M. Ragsdale Elementary,130402003864,2015,Teachers employed during current school year,46.00,,,,,,,,,,,
GA,Paulding County,GA,Sara M. Ragsdale Elementary,130402003864,2015,Teachers employed during both the current and previous school year,39.00,,,,,,,,,,,
GA,Paulding County,GA,Sara M. Ragsdale Elementary,130402003864,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Paulding County,GA,Sara M. Ragsdale Elementary,130402003864,2015,Total enrollment,,,2.00,0.00,0.00,43.00,85.00,502.00,25.00,657.00,107.00,7.00
GA,Polk School District,GA,Rockmart High School,130420001509,2015,Classroom Teachers,52.88,47.30,,,,,,,,,,
GA,Polk School District,GA,Rockmart High School,130420001509,2015,Classroom teachers in their first year of teaching,4.00,,,,,,,,,,,
GA,Polk School District,GA,Rockmart High School,130420001509,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Polk School District,GA,Rockmart High School,130420001509,2015,Teachers absent more than 10 days of the school year,33.27,,,,,,,,,,,
GA,Polk School District,GA,Rockmart High School,130420001509,2015,Teachers employed during current school year,54.00,,,,,,,,,,,
GA,Polk School District,GA,Rockmart High School,130420001509,2015,Teachers employed during both the current and previous school year,29.00,,,,,,,,,,,
GA,Polk School District,GA,Rockmart High School,130420001509,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Polk School District,GA,Rockmart High School,130420001509,2015,Total enrollment,,,2.00,7.00,0.00,37.00,118.00,697.00,37.00,898.00,146.00,2.00
GA,Polk School District,GA,Eastside Elementary School,130420001500,2015,Classroom Teachers,46.10,46.10,,,,,,,,,,
GA,Polk School District,GA,Eastside Elementary School,130420001500,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Polk School District,GA,Eastside Elementary School,130420001500,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Polk School District,GA,Eastside Elementary School,130420001500,2015,Teachers absent more than 10 days of the school year,30.00,,,,,,,,,,,
GA,Polk School District,GA,Eastside Elementary School,130420001500,2015,Teachers employed during current school year,47.00,,,,,,,,,,,
GA,Polk School District,GA,Eastside Elementary School,130420001500,2015,Teachers employed during both the current and previous school year,44.00,,,,,,,,,,,
GA,Polk School District,GA,Eastside Elementary School,130420001500,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Polk School District,GA,Eastside Elementary School,130420001500,2015,Total enrollment,,,0.00,2.00,0.00,22.00,100.00,577.00,46.00,747.00,116.00,2.00
GA,Polk School District,GA,Van Wert Elementary School,130420003939,2015,Classroom Teachers,57.15,57.15,,,,,,,,,,
GA,Polk School District,GA,Van Wert Elementary School,130420003939,2015,Classroom teachers in their first year of teaching,4.00,,,,,,,,,,,
GA,Polk School District,GA,Van Wert Elementary School,130420003939,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Polk School District,GA,Van Wert Elementary School,130420003939,2015,Teachers absent more than 10 days of the school year,35.50,,,,,,,,,,,
GA,Polk School District,GA,Van Wert Elementary School,130420003939,2015,Teachers employed during current school year,58.00,,,,,,,,,,,
GA,Polk School District,GA,Van Wert Elementary School,130420003939,2015,Teachers employed during both the current and previous school year,46.00,,,,,,,,,,,
GA,Polk School District,GA,Van Wert Elementary School,130420003939,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Polk School District,GA,Van Wert Elementary School,130420003939,2015,Total enrollment,,,0.00,2.00,0.00,22.00,193.00,514.00,82.00,813.00,137.00,10.00
GA,Polk School District,GA,Rockmart Middle School,130420003442,2015,Classroom Teachers,45.87,45.87,,,,,,,,,,
GA,Polk School District,GA,Rockmart Middle School,130420003442,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Polk School District,GA,Rockmart Middle School,130420003442,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Polk School District,GA,Rockmart Middle School,130420003442,2015,Teachers absent more than 10 days of the school year,27.49,,,,,,,,,,,
GA,Polk School District,GA,Rockmart Middle School,130420003442,2015,Teachers employed during current school year,47.00,,,,,,,,,,,
GA,Polk School District,GA,Rockmart Middle School,130420003442,2015,Teachers employed during both the current and previous school year,38.00,,,,,,,,,,,
GA,Polk School District,GA,Rockmart Middle School,130420003442,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Polk School District,GA,Rockmart Middle School,130420003442,2015,Total enrollment,,,2.00,10.00,2.00,22.00,118.00,550.00,34.00,738.00,104.00,10.00

