Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Whitfield County,GA,Westside Elementary School,130570001827,2015,Classroom Teachers,40.00,40.00,,,,,,,,,,
GA,Whitfield County,GA,Westside Elementary School,130570001827,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Whitfield County,GA,Westside Elementary School,130570001827,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Whitfield County,GA,Westside Elementary School,130570001827,2015,Teachers absent more than 10 days of the school year,3.00,,,,,,,,,,,
GA,Whitfield County,GA,Westside Elementary School,130570001827,2015,Teachers employed during current school year,41.00,,,,,,,,,,,
GA,Whitfield County,GA,Westside Elementary School,130570001827,2015,Teachers employed during both the current and previous school year,37.00,,,,,,,,,,,
GA,Whitfield County,GA,Westside Elementary School,130570001827,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Whitfield County,GA,Westside Elementary School,130570001827,2015,Total enrollment,,,2.00,4.00,2.00,70.00,13.00,508.00,25.00,624.00,89.00,34.00
GA,Whitfield County,GA,Westside Middle School,130570001820,2015,Classroom Teachers,32.00,32.00,,,,,,,,,,
GA,Whitfield County,GA,Westside Middle School,130570001820,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Whitfield County,GA,Westside Middle School,130570001820,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Whitfield County,GA,Westside Middle School,130570001820,2015,Teachers absent more than 10 days of the school year,5.00,,,,,,,,,,,
GA,Whitfield County,GA,Westside Middle School,130570001820,2015,Teachers employed during current school year,30.00,,,,,,,,,,,
GA,Whitfield County,GA,Westside Middle School,130570001820,2015,Teachers employed during both the current and previous school year,22.00,,,,,,,,,,,
GA,Whitfield County,GA,Westside Middle School,130570001820,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Whitfield County,GA,Westside Middle School,130570001820,2015,Total enrollment,,,2.00,2.00,2.00,64.00,7.00,373.00,19.00,469.00,56.00,7.00

