Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Floyd County,GA,Alto Park Elementary School,130219000949,2015,Classroom Teachers,36.05,36.05,,,,,,,,,,
GA,Floyd County,GA,Alto Park Elementary School,130219000949,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Floyd County,GA,Alto Park Elementary School,130219000949,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Floyd County,GA,Alto Park Elementary School,130219000949,2015,Teachers absent more than 10 days of the school year,15.02,,,,,,,,,,,
GA,Floyd County,GA,Alto Park Elementary School,130219000949,2015,Teachers employed during current school year,36.00,,,,,,,,,,,
GA,Floyd County,GA,Alto Park Elementary School,130219000949,2015,Teachers employed during both the current and previous school year,35.00,,,,,,,,,,,
GA,Floyd County,GA,Alto Park Elementary School,130219000949,2015,High-School Counselors,1.01,,,,,,,,,,,
GA,Floyd County,GA,Alto Park Elementary School,130219000949,2015,Total enrollment,,,4.00,7.00,0.00,172.00,37.00,235.00,28.00,483.00,65.00,118.00
GA,Rome City,GA,North Heights Elementary School,130444001600,2015,Classroom Teachers,19.50,19.50,,,,,,,,,,
GA,Rome City,GA,North Heights Elementary School,130444001600,2015,Classroom teachers in their first year of teaching,3.50,,,,,,,,,,,
GA,Rome City,GA,North Heights Elementary School,130444001600,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Rome City,GA,North Heights Elementary School,130444001600,2015,Teachers absent more than 10 days of the school year,1.00,,,,,,,,,,,
GA,Rome City,GA,North Heights Elementary School,130444001600,2015,Teachers employed during current school year,20.00,,,,,,,,,,,
GA,Rome City,GA,North Heights Elementary School,130444001600,2015,Teachers employed during both the current and previous school year,15.00,,,,,,,,,,,
GA,Rome City,GA,North Heights Elementary School,130444001600,2015,High-School Counselors,0.40,,,,,,,,,,,
GA,Rome City,GA,North Heights Elementary School,130444001600,2015,Total enrollment,,,4.00,2.00,0.00,40.00,172.00,40.00,13.00,271.00,44.00,22.00
GA,Rome City,GA,West End Elementary School,130444001605,2015,Classroom Teachers,49.00,49.00,,,,,,,,,,
GA,Rome City,GA,West End Elementary School,130444001605,2015,Classroom teachers in their first year of teaching,5.00,,,,,,,,,,,
GA,Rome City,GA,West End Elementary School,130444001605,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Rome City,GA,West End Elementary School,130444001605,2015,Teachers absent more than 10 days of the school year,5.00,,,,,,,,,,,
GA,Rome City,GA,West End Elementary School,130444001605,2015,Teachers employed during current school year,49.00,,,,,,,,,,,
GA,Rome City,GA,West End Elementary School,130444001605,2015,Teachers employed during both the current and previous school year,42.00,,,,,,,,,,,
GA,Rome City,GA,West End Elementary School,130444001605,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Rome City,GA,West End Elementary School,130444001605,2015,Total enrollment,,,0.00,37.00,2.00,247.00,190.00,280.00,34.00,790.00,65.00,109.00
GA,Floyd County,GA,Coosa Middle School,130219000940,2015,Classroom Teachers,34.27,34.27,,,,,,,,,,
GA,Floyd County,GA,Coosa Middle School,130219000940,2015,Classroom teachers in their first year of teaching,1.02,,,,,,,,,,,
GA,Floyd County,GA,Coosa Middle School,130219000940,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Floyd County,GA,Coosa Middle School,130219000940,2015,Teachers absent more than 10 days of the school year,11.02,,,,,,,,,,,
GA,Floyd County,GA,Coosa Middle School,130219000940,2015,Teachers employed during current school year,34.00,,,,,,,,,,,
GA,Floyd County,GA,Coosa Middle School,130219000940,2015,Teachers employed during both the current and previous school year,31.00,,,,,,,,,,,
GA,Floyd County,GA,Coosa Middle School,130219000940,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Floyd County,GA,Coosa Middle School,130219000940,2015,Total enrollment,,,0.00,4.00,0.00,109.00,79.00,364.00,28.00,584.00,83.00,10.00
GA,Floyd County,GA,Model Elementary School,130219000943,2015,Classroom Teachers,33.07,33.07,,,,,,,,,,
GA,Floyd County,GA,Model Elementary School,130219000943,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Floyd County,GA,Model Elementary School,130219000943,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Floyd County,GA,Model Elementary School,130219000943,2015,Teachers absent more than 10 days of the school year,6.00,,,,,,,,,,,
GA,Floyd County,GA,Model Elementary School,130219000943,2015,Teachers employed during current school year,33.00,,,,,,,,,,,
GA,Floyd County,GA,Model Elementary School,130219000943,2015,Teachers employed during both the current and previous school year,33.00,,,,,,,,,,,
GA,Floyd County,GA,Model Elementary School,130219000943,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Floyd County,GA,Model Elementary School,130219000943,2015,Total enrollment,,,0.00,0.00,0.00,19.00,16.00,481.00,7.00,523.00,83.00,25.00
GA,Rome City,GA,Rome City Transitional Academy,130444002807,2015,Classroom Teachers,9.00,9.00,,,,,,,,,,
GA,Rome City,GA,Rome City Transitional Academy,130444002807,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Rome City,GA,Rome City Transitional Academy,130444002807,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Rome City,GA,Rome City Transitional Academy,130444002807,2015,Teachers absent more than 10 days of the school year,5.00,,,,,,,,,,,
GA,Rome City,GA,Rome City Transitional Academy,130444002807,2015,Teachers employed during current school year,4.00,,,,,,,,,,,
GA,Rome City,GA,Rome City Transitional Academy,130444002807,2015,Teachers employed during both the current and previous school year,4.00,,,,,,,,,,,
GA,Rome City,GA,Rome City Transitional Academy,130444002807,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Rome City,GA,Rome City Transitional Academy,130444002807,2015,Total enrollment,,,0.00,0.00,0.00,4.00,25.00,7.00,4.00,40.00,7.00,4.00
GA,Rome City,GA,West Central Elementary School,130444001595,2015,Classroom Teachers,49.70,49.70,,,,,,,,,,
GA,Rome City,GA,West Central Elementary School,130444001595,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Rome City,GA,West Central Elementary School,130444001595,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Rome City,GA,West Central Elementary School,130444001595,2015,Teachers absent more than 10 days of the school year,14.00,,,,,,,,,,,
GA,Rome City,GA,West Central Elementary School,130444001595,2015,Teachers employed during current school year,51.00,,,,,,,,,,,
GA,Rome City,GA,West Central Elementary School,130444001595,2015,Teachers employed during both the current and previous school year,45.00,,,,,,,,,,,
GA,Rome City,GA,West Central Elementary School,130444001595,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Rome City,GA,West Central Elementary School,130444001595,2015,Total enrollment,,,0.00,28.00,0.00,394.00,166.00,103.00,25.00,716.00,47.00,193.00
GA,Rome City,GA,Main Elementary School,130444001604,2015,Classroom Teachers,21.99,21.99,,,,,,,,,,
GA,Rome City,GA,Main Elementary School,130444001604,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Rome City,GA,Main Elementary School,130444001604,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Rome City,GA,Main Elementary School,130444001604,2015,Teachers absent more than 10 days of the school year,3.00,,,,,,,,,,,
GA,Rome City,GA,Main Elementary School,130444001604,2015,Teachers employed during current school year,23.00,,,,,,,,,,,
