Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Fulton County,GA,Northwood Elementary School,130228001615,2015,Classroom Teachers,50.27,42.27,,,,,,,,,,
GA,Fulton County,GA,Northwood Elementary School,130228001615,2015,Classroom teachers in their first year of teaching,8.00,,,,,,,,,,,
GA,Fulton County,GA,Northwood Elementary School,130228001615,2015,Classroom teachers in their second year of teaching,3.00,,,,,,,,,,,
GA,Fulton County,GA,Northwood Elementary School,130228001615,2015,Teachers absent more than 10 days of the school year,17.00,,,,,,,,,,,
GA,Fulton County,GA,Northwood Elementary School,130228001615,2015,Teachers employed during current school year,56.00,,,,,,,,,,,
GA,Fulton County,GA,Northwood Elementary School,130228001615,2015,Teachers employed during both the current and previous school year,39.00,,,,,,,,,,,
GA,Fulton County,GA,Northwood Elementary School,130228001615,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Fulton County,GA,Northwood Elementary School,130228001615,2015,Total enrollment,,,0.00,61.00,0.00,163.00,100.00,412.00,37.00,773.00,80.00,85.00
GA,Fulton County,GA,Hembree Springs Elementary School,130228002490,2015,Classroom Teachers,65.33,60.33,,,,,,,,,,
GA,Fulton County,GA,Hembree Springs Elementary School,130228002490,2015,Classroom teachers in their first year of teaching,5.00,,,,,,,,,,,
GA,Fulton County,GA,Hembree Springs Elementary School,130228002490,2015,Classroom teachers in their second year of teaching,4.00,,,,,,,,,,,
GA,Fulton County,GA,Hembree Springs Elementary School,130228002490,2015,Teachers absent more than 10 days of the school year,15.00,,,,,,,,,,,
GA,Fulton County,GA,Hembree Springs Elementary School,130228002490,2015,Teachers employed during current school year,69.00,,,,,,,,,,,
GA,Fulton County,GA,Hembree Springs Elementary School,130228002490,2015,Teachers employed during both the current and previous school year,58.00,,,,,,,,,,,
GA,Fulton County,GA,Hembree Springs Elementary School,130228002490,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Fulton County,GA,Hembree Springs Elementary School,130228002490,2015,Total enrollment,,,2.00,52.00,2.00,292.00,94.00,379.00,16.00,837.00,131.00,157.00
GA,Fulton County,GA,Crabapple Middle School,130228001928,2015,Classroom Teachers,69.94,58.94,,,,,,,,,,
GA,Fulton County,GA,Crabapple Middle School,130228001928,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Fulton County,GA,Crabapple Middle School,130228001928,2015,Classroom teachers in their second year of teaching,4.00,,,,,,,,,,,
GA,Fulton County,GA,Crabapple Middle School,130228001928,2015,Teachers absent more than 10 days of the school year,25.00,,,,,,,,,,,
GA,Fulton County,GA,Crabapple Middle School,130228001928,2015,Teachers employed during current school year,75.00,,,,,,,,,,,
GA,Fulton County,GA,Crabapple Middle School,130228001928,2015,Teachers employed during both the current and previous school year,60.00,,,,,,,,,,,
GA,Fulton County,GA,Crabapple Middle School,130228001928,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Fulton County,GA,Crabapple Middle School,130228001928,2015,Total enrollment,,,0.00,43.00,2.00,76.00,130.00,682.00,34.00,967.00,107.00,10.00
GA,Fulton County,GA,Mimosa Elementary School,130228001025,2015,Classroom Teachers,86.44,82.44,,,,,,,,,,
GA,Fulton County,GA,Mimosa Elementary School,130228001025,2015,Classroom teachers in their first year of teaching,5.00,,,,,,,,,,,
GA,Fulton County,GA,Mimosa Elementary School,130228001025,2015,Classroom teachers in their second year of teaching,7.00,,,,,,,,,,,
GA,Fulton County,GA,Mimosa Elementary School,130228001025,2015,Teachers absent more than 10 days of the school year,35.00,,,,,,,,,,,
GA,Fulton County,GA,Mimosa Elementary School,130228001025,2015,Teachers employed during current school year,92.00,,,,,,,,,,,
GA,Fulton County,GA,Mimosa Elementary School,130228001025,2015,Teachers employed during both the current and previous school year,79.00,,,,,,,,,,,
GA,Fulton County,GA,Mimosa Elementary School,130228001025,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Fulton County,GA,Mimosa Elementary School,130228001025,2015,Total enrollment,,,0.00,16.00,0.00,760.00,154.00,55.00,19.00,1004.00,116.00,538.00
GA,Fulton County,GA,River Eves Elementary School,130228001623,2015,Classroom Teachers,54.31,47.31,,,,,,,,,,
GA,Fulton County,GA,River Eves Elementary School,130228001623,2015,Classroom teachers in their first year of teaching,7.00,,,,,,,,,,,
GA,Fulton County,GA,River Eves Elementary School,130228001623,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Fulton County,GA,River Eves Elementary School,130228001623,2015,Teachers absent more than 10 days of the school year,18.00,,,,,,,,,,,
GA,Fulton County,GA,River Eves Elementary School,130228001623,2015,Teachers employed during current school year,61.00,,,,,,,,,,,
GA,Fulton County,GA,River Eves Elementary School,130228001623,2015,Teachers employed during both the current and previous school year,45.00,,,,,,,,,,,
GA,Fulton County,GA,River Eves Elementary School,130228001623,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Fulton County,GA,River Eves Elementary School,130228001623,2015,Total enrollment,,,2.00,61.00,0.00,184.00,190.00,334.00,31.00,802.00,92.00,91.00
GA,Fulton County,GA,Centennial High School,130228002181,2015,Classroom Teachers,119.50,102.50,,,,,,,,,,
GA,Fulton County,GA,Centennial High School,130228002181,2015,Classroom teachers in their first year of teaching,10.00,,,,,,,,,,,
GA,Fulton County,GA,Centennial High School,130228002181,2015,Classroom teachers in their second year of teaching,10.00,,,,,,,,,,,
GA,Fulton County,GA,Centennial High School,130228002181,2015,Teachers absent more than 10 days of the school year,49.00,,,,,,,,,,,
