Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Glynn County,GA,St. Simons Elementary School,130240001059,2015,Classroom Teachers,40.99,40.99,,,,,,,,,,
GA,Glynn County,GA,St. Simons Elementary School,130240001059,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Glynn County,GA,St. Simons Elementary School,130240001059,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Glynn County,GA,St. Simons Elementary School,130240001059,2015,Teachers absent more than 10 days of the school year,5.00,,,,,,,,,,,
GA,Glynn County,GA,St. Simons Elementary School,130240001059,2015,Teachers employed during current school year,42.00,,,,,,,,,,,
GA,Glynn County,GA,St. Simons Elementary School,130240001059,2015,Teachers employed during both the current and previous school year,33.00,,,,,,,,,,,
GA,Glynn County,GA,St. Simons Elementary School,130240001059,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Glynn County,GA,St. Simons Elementary School,130240001059,2015,Total enrollment,,,2.00,4.00,0.00,100.00,127.00,337.00,13.00,583.00,62.00,85.00
GA,Glynn County,GA,Oglethorpe Point Elementary School,130240000950,2015,Classroom Teachers,37.75,37.75,,,,,,,,,,
GA,Glynn County,GA,Oglethorpe Point Elementary School,130240000950,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Glynn County,GA,Oglethorpe Point Elementary School,130240000950,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Glynn County,GA,Oglethorpe Point Elementary School,130240000950,2015,Teachers absent more than 10 days of the school year,8.25,,,,,,,,,,,
GA,Glynn County,GA,Oglethorpe Point Elementary School,130240000950,2015,Teachers employed during current school year,39.00,,,,,,,,,,,
GA,Glynn County,GA,Oglethorpe Point Elementary School,130240000950,2015,Teachers employed during both the current and previous school year,38.00,,,,,,,,,,,
GA,Glynn County,GA,Oglethorpe Point Elementary School,130240000950,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Glynn County,GA,Oglethorpe Point Elementary School,130240000950,2015,Total enrollment,,,0.00,7.00,0.00,58.00,88.00,451.00,16.00,620.00,62.00,28.00

