Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Wilcox County School System,GA,Wilcox County Middle School,130573002451,2015,Classroom Teachers,19.61,19.61,,,,,,,,,,
GA,Wilcox County School System,GA,Wilcox County Middle School,130573002451,2015,Classroom teachers in their first year of teaching,1.50,,,,,,,,,,,
GA,Wilcox County School System,GA,Wilcox County Middle School,130573002451,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Wilcox County School System,GA,Wilcox County Middle School,130573002451,2015,Teachers absent more than 10 days of the school year,9.00,,,,,,,,,,,
GA,Wilcox County School System,GA,Wilcox County Middle School,130573002451,2015,Teachers employed during current school year,23.00,,,,,,,,,,,
GA,Wilcox County School System,GA,Wilcox County Middle School,130573002451,2015,Teachers employed during both the current and previous school year,16.00,,,,,,,,,,,
GA,Wilcox County School System,GA,Wilcox County Middle School,130573002451,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Wilcox County School System,GA,Wilcox County Middle School,130573002451,2015,Total enrollment,,,2.00,2.00,0.00,19.00,97.00,154.00,2.00,276.00,44.00,4.00
GA,Wilcox County School System,GA,Wilcox County High School,130573002232,2015,Classroom Teachers,21.75,21.75,,,,,,,,,,
GA,Wilcox County School System,GA,Wilcox County High School,130573002232,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Wilcox County School System,GA,Wilcox County High School,130573002232,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Wilcox County School System,GA,Wilcox County High School,130573002232,2015,Teachers absent more than 10 days of the school year,5.00,,,,,,,,,,,
GA,Wilcox County School System,GA,Wilcox County High School,130573002232,2015,Teachers employed during current school year,24.00,,,,,,,,,,,
GA,Wilcox County School System,GA,Wilcox County High School,130573002232,2015,Teachers employed during both the current and previous school year,21.00,,,,,,,,,,,
GA,Wilcox County School System,GA,Wilcox County High School,130573002232,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Wilcox County School System,GA,Wilcox County High School,130573002232,2015,Total enrollment,,,2.00,0.00,0.00,10.00,121.00,175.00,2.00,310.00,26.00,0.00
GA,Wilcox County School System,GA,Wilcox County Elementary School,130573001836,2015,Classroom Teachers,43.50,43.50,,,,,,,,,,
GA,Wilcox County School System,GA,Wilcox County Elementary School,130573001836,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Wilcox County School System,GA,Wilcox County Elementary School,130573001836,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Wilcox County School System,GA,Wilcox County Elementary School,130573001836,2015,Teachers absent more than 10 days of the school year,21.00,,,,,,,,,,,
GA,Wilcox County School System,GA,Wilcox County Elementary School,130573001836,2015,Teachers employed during current school year,43.00,,,,,,,,,,,
GA,Wilcox County School System,GA,Wilcox County Elementary School,130573001836,2015,Teachers employed during both the current and previous school year,34.00,,,,,,,,,,,
GA,Wilcox County School System,GA,Wilcox County Elementary School,130573001836,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Wilcox County School System,GA,Wilcox County Elementary School,130573001836,2015,Total enrollment,,,0.00,4.00,0.00,40.00,211.00,358.00,19.00,632.00,62.00,7.00

