Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,SCCPSS,GA,Ellis Elementary School,130102000402,2015,Classroom Teachers,45.00,44.00,,,,,,,,,,
GA,SCCPSS,GA,Ellis Elementary School,130102000402,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,SCCPSS,GA,Ellis Elementary School,130102000402,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,SCCPSS,GA,Ellis Elementary School,130102000402,2015,Teachers absent more than 10 days of the school year,19.00,,,,,,,,,,,
GA,SCCPSS,GA,Ellis Elementary School,130102000402,2015,Teachers employed during current school year,45.00,,,,,,,,,,,
GA,SCCPSS,GA,Ellis Elementary School,130102000402,2015,Teachers employed during both the current and previous school year,36.00,,,,,,,,,,,
GA,SCCPSS,GA,Ellis Elementary School,130102000402,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,SCCPSS,GA,Ellis Elementary School,130102000402,2015,Total enrollment,,,2.00,10.00,0.00,16.00,211.00,340.00,34.00,613.00,35.00,2.00
GA,SCCPSS,GA,East Broad Street School,130102002099,2015,Classroom Teachers,44.17,44.17,,,,,,,,,,
GA,SCCPSS,GA,East Broad Street School,130102002099,2015,Classroom teachers in their first year of teaching,4.00,,,,,,,,,,,
GA,SCCPSS,GA,East Broad Street School,130102002099,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,SCCPSS,GA,East Broad Street School,130102002099,2015,Teachers absent more than 10 days of the school year,6.17,,,,,,,,,,,
GA,SCCPSS,GA,East Broad Street School,130102002099,2015,Teachers employed during current school year,45.00,,,,,,,,,,,
GA,SCCPSS,GA,East Broad Street School,130102002099,2015,Teachers employed during both the current and previous school year,35.00,,,,,,,,,,,
GA,SCCPSS,GA,East Broad Street School,130102002099,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,SCCPSS,GA,East Broad Street School,130102002099,2015,Total enrollment,,,2.00,0.00,0.00,4.00,640.00,16.00,31.00,693.00,71.00,0.00
