Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Coweta County,GA,East Coweta Middle School,130150002027,2015,Classroom Teachers,43.00,43.00,,,,,,,,,,
GA,Coweta County,GA,East Coweta Middle School,130150002027,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Coweta County,GA,East Coweta Middle School,130150002027,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Coweta County,GA,East Coweta Middle School,130150002027,2015,Teachers absent more than 10 days of the school year,9.00,,,,,,,,,,,
GA,Coweta County,GA,East Coweta Middle School,130150002027,2015,Teachers employed during current school year,46.00,,,,,,,,,,,
GA,Coweta County,GA,East Coweta Middle School,130150002027,2015,Teachers employed during both the current and previous school year,40.00,,,,,,,,,,,
GA,Coweta County,GA,East Coweta Middle School,130150002027,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Coweta County,GA,East Coweta Middle School,130150002027,2015,Total enrollment,,,2.00,4.00,0.00,49.00,118.00,469.00,22.00,664.00,74.00,10.00
GA,Coweta County,GA,Eastside Elementary School,130150000747,2015,Classroom Teachers,35.00,34.00,,,,,,,,,,
GA,Coweta County,GA,Eastside Elementary School,130150000747,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Coweta County,GA,Eastside Elementary School,130150000747,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Coweta County,GA,Eastside Elementary School,130150000747,2015,Teachers absent more than 10 days of the school year,9.00,,,,,,,,,,,
GA,Coweta County,GA,Eastside Elementary School,130150000747,2015,Teachers employed during current school year,39.00,,,,,,,,,,,
GA,Coweta County,GA,Eastside Elementary School,130150000747,2015,Teachers employed during both the current and previous school year,39.00,,,,,,,,,,,
GA,Coweta County,GA,Eastside Elementary School,130150000747,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Coweta County,GA,Eastside Elementary School,130150000747,2015,Total enrollment,,,4.00,2.00,0.00,13.00,46.00,400.00,19.00,484.00,56.00,2.00
GA,Commission Charter Schools- Coweta Charter Academy,GA,Coweta Charter Academy,130022204007,2015,Classroom Teachers,51.00,51.00,,,,,,,,,,
GA,Commission Charter Schools- Coweta Charter Academy,GA,Coweta Charter Academy,130022204007,2015,Classroom teachers in their first year of teaching,8.00,,,,,,,,,,,
GA,Commission Charter Schools- Coweta Charter Academy,GA,Coweta Charter Academy,130022204007,2015,Classroom teachers in their second year of teaching,13.00,,,,,,,,,,,
GA,Commission Charter Schools- Coweta Charter Academy,GA,Coweta Charter Academy,130022204007,2015,Teachers absent more than 10 days of the school year,3.00,,,,,,,,,,,
GA,Commission Charter Schools- Coweta Charter Academy,GA,Coweta Charter Academy,130022204007,2015,Teachers employed during current school year,51.00,,,,,,,,,,,
GA,Commission Charter Schools- Coweta Charter Academy,GA,Coweta Charter Academy,130022204007,2015,Teachers employed during both the current and previous school year,22.00,,,,,,,,,,,
GA,Commission Charter Schools- Coweta Charter Academy,GA,Coweta Charter Academy,130022204007,2015,High-School Counselors,0.00,,,,,,,,,,,
GA,Commission Charter Schools- Coweta Charter Academy,GA,Coweta Charter Academy,130022204007,2015,Total enrollment,,,2.00,7.00,13.00,55.00,61.00,652.00,31.00,821.00,71.00,7.00

