Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Coweta County,GA,Canongate Elementary School,130150000208,2015,Classroom Teachers,35.00,34.00,,,,,,,,,,
GA,Coweta County,GA,Canongate Elementary School,130150000208,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Coweta County,GA,Canongate Elementary School,130150000208,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Coweta County,GA,Canongate Elementary School,130150000208,2015,Teachers absent more than 10 days of the school year,9.00,,,,,,,,,,,
GA,Coweta County,GA,Canongate Elementary School,130150000208,2015,Teachers employed during current school year,39.00,,,,,,,,,,,
GA,Coweta County,GA,Canongate Elementary School,130150000208,2015,Teachers employed during both the current and previous school year,37.00,,,,,,,,,,,
GA,Coweta County,GA,Canongate Elementary School,130150000208,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Coweta County,GA,Canongate Elementary School,130150000208,2015,Total enrollment,,,2.00,16.00,0.00,82.00,34.00,430.00,28.00,592.00,35.00,37.00
GA,Coweta County,GA,Willis Road Elementary,130150002531,2015,Classroom Teachers,43.75,43.00,,,,,,,,,,
GA,Coweta County,GA,Willis Road Elementary,130150002531,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Coweta County,GA,Willis Road Elementary,130150002531,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Coweta County,GA,Willis Road Elementary,130150002531,2015,Teachers absent more than 10 days of the school year,11.00,,,,,,,,,,,
GA,Coweta County,GA,Willis Road Elementary,130150002531,2015,Teachers employed during current school year,49.00,,,,,,,,,,,
GA,Coweta County,GA,Willis Road Elementary,130150002531,2015,Teachers employed during both the current and previous school year,46.00,,,,,,,,,,,
GA,Coweta County,GA,Willis Road Elementary,130150002531,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Coweta County,GA,Willis Road Elementary,130150002531,2015,Total enrollment,,,4.00,10.00,0.00,91.00,58.00,523.00,31.00,717.00,77.00,49.00
GA,Coweta County,GA,East Coweta High School,130150002028,2015,Classroom Teachers,146.49,144.49,,,,,,,,,,
GA,Coweta County,GA,East Coweta High School,130150002028,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Coweta County,GA,East Coweta High School,130150002028,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Coweta County,GA,East Coweta High School,130150002028,2015,Teachers absent more than 10 days of the school year,52.00,,,,,,,,,,,
GA,Coweta County,GA,East Coweta High School,130150002028,2015,Teachers employed during current school year,161.00,,,,,,,,,,,
GA,Coweta County,GA,East Coweta High School,130150002028,2015,Teachers employed during both the current and previous school year,150.00,,,,,,,,,,,
GA,Coweta County,GA,East Coweta High School,130150002028,2015,High-School Counselors,5.00,,,,,,,,,,,
GA,Coweta County,GA,East Coweta High School,130150002028,2015,Total enrollment,,,10.00,85.00,0.00,256.00,625.00,1720.00,103.00,2799.00,254.00,49.00
GA,Coweta County,GA,Thomas Crossroads Elementary School,130150000818,2015,Classroom Teachers,31.37,30.00,,,,,,,,,,
GA,Coweta County,GA,Thomas Crossroads Elementary School,130150000818,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Coweta County,GA,Thomas Crossroads Elementary School,130150000818,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Coweta County,GA,Thomas Crossroads Elementary School,130150000818,2015,Teachers absent more than 10 days of the school year,13.00,,,,,,,,,,,
GA,Coweta County,GA,Thomas Crossroads Elementary School,130150000818,2015,Teachers employed during current school year,34.00,,,,,,,,,,,
GA,Coweta County,GA,Thomas Crossroads Elementary School,130150000818,2015,Teachers employed during both the current and previous school year,31.00,,,,,,,,,,,
GA,Coweta County,GA,Thomas Crossroads Elementary School,130150000818,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Coweta County,GA,Thomas Crossroads Elementary School,130150000818,2015,Total enrollment,,,4.00,7.00,0.00,28.00,37.00,316.00,22.00,414.00,53.00,4.00
GA,Coweta County,GA,Poplar Road Elementary School,130150002251,2015,Classroom Teachers,39.00,38.00,,,,,,,,,,
GA,Coweta County,GA,Poplar Road Elementary School,130150002251,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Coweta County,GA,Poplar Road Elementary School,130150002251,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Coweta County,GA,Poplar Road Elementary School,130150002251,2015,Teachers absent more than 10 days of the school year,20.00,,,,,,,,,,,
GA,Coweta County,GA,Poplar Road Elementary School,130150002251,2015,Teachers employed during current school year,43.00,,,,,,,,,,,
GA,Coweta County,GA,Poplar Road Elementary School,130150002251,2015,Teachers employed during both the current and previous school year,40.00,,,,,,,,,,,
GA,Coweta County,GA,Poplar Road Elementary School,130150002251,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Coweta County,GA,Poplar Road Elementary School,130150002251,2015,Total enrollment,,,4.00,2.00,0.00,34.00,151.00,355.00,16.00,562.00,59.00,7.00
GA,Coweta County,GA,Lee Middle School,130150003328,2015,Classroom Teachers,57.00,57.00,,,,,,,,,,
GA,Coweta County,GA,Lee Middle School,130150003328,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Coweta County,GA,Lee Middle School,130150003328,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Coweta County,GA,Lee Middle School,130150003328,2015,Teachers absent more than 10 days of the school year,18.00,,,,,,,,,,,
GA,Coweta County,GA,Lee Middle School,130150003328,2015,Teachers employed during current school year,62.00,,,,,,,,,,,
GA,Coweta County,GA,Lee Middle School,130150003328,2015,Teachers employed during both the current and previous school year,58.00,,,,,,,,,,,
GA,Coweta County,GA,Lee Middle School,130150003328,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Coweta County,GA,Lee Middle School,130150003328,2015,Total enrollment,,,4.00,31.00,0.00,76.00,199.00,634.00,55.00,999.00,101.00,13.00

