Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Cobb County,GA,Campbell Middle School,130129002070,2015,Classroom Teachers,81.50,79.50,,,,,,,,,,
GA,Cobb County,GA,Campbell Middle School,130129002070,2015,Classroom teachers in their first year of teaching,10.00,,,,,,,,,,,
GA,Cobb County,GA,Campbell Middle School,130129002070,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Cobb County,GA,Campbell Middle School,130129002070,2015,Teachers absent more than 10 days of the school year,11.00,,,,,,,,,,,
GA,Cobb County,GA,Campbell Middle School,130129002070,2015,Teachers employed during current school year,82.00,,,,,,,,,,,
GA,Cobb County,GA,Campbell Middle School,130129002070,2015,Teachers employed during both the current and previous school year,53.00,,,,,,,,,,,
GA,Cobb County,GA,Campbell Middle School,130129002070,2015,High-School Counselors,3.00,,,,,,,,,,,
GA,Cobb County,GA,Campbell Middle School,130129002070,2015,Total enrollment,,,4.00,31.00,2.00,610.00,604.00,139.00,43.00,1433.00,212.00,178.00
GA,Cobb County,GA,Argyle Elementary School,130129000528,2015,Classroom Teachers,46.00,46.00,,,,,,,,,,
GA,Cobb County,GA,Argyle Elementary School,130129000528,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Cobb County,GA,Argyle Elementary School,130129000528,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Cobb County,GA,Argyle Elementary School,130129000528,2015,Teachers absent more than 10 days of the school year,18.00,,,,,,,,,,,
GA,Cobb County,GA,Argyle Elementary School,130129000528,2015,Teachers employed during current school year,46.00,,,,,,,,,,,
GA,Cobb County,GA,Argyle Elementary School,130129000528,2015,Teachers employed during both the current and previous school year,42.00,,,,,,,,,,,
GA,Cobb County,GA,Argyle Elementary School,130129000528,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Cobb County,GA,Argyle Elementary School,130129000528,2015,Total enrollment,,,0.00,7.00,2.00,241.00,130.00,22.00,4.00,406.00,59.00,193.00
GA,Cobb County,GA,Belmont Hills Elementary School,130129000538,2015,Classroom Teachers,39.49,39.49,,,,,,,,,,
GA,Cobb County,GA,Belmont Hills Elementary School,130129000538,2015,Classroom teachers in their first year of teaching,5.00,,,,,,,,,,,
GA,Cobb County,GA,Belmont Hills Elementary School,130129000538,2015,Classroom teachers in their second year of teaching,5.00,,,,,,,,,,,
GA,Cobb County,GA,Belmont Hills Elementary School,130129000538,2015,Teachers absent more than 10 days of the school year,7.00,,,,,,,,,,,
GA,Cobb County,GA,Belmont Hills Elementary School,130129000538,2015,Teachers employed during current school year,40.00,,,,,,,,,,,
GA,Cobb County,GA,Belmont Hills Elementary School,130129000538,2015,Teachers employed during both the current and previous school year,34.00,,,,,,,,,,,
GA,Cobb County,GA,Belmont Hills Elementary School,130129000538,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Cobb County,GA,Belmont Hills Elementary School,130129000538,2015,Total enrollment,,,2.00,7.00,0.00,244.00,67.00,16.00,10.00,346.00,62.00,175.00
GA,Cobb County,GA,International Academy of Smyrna,130129003580,2015,Classroom Teachers,69.00,66.00,,,,,,,,,,
GA,Cobb County,GA,International Academy of Smyrna,130129003580,2015,Classroom teachers in their first year of teaching,19.00,,,,,,,,,,,
GA,Cobb County,GA,International Academy of Smyrna,130129003580,2015,Classroom teachers in their second year of teaching,10.00,,,,,,,,,,,
GA,Cobb County,GA,International Academy of Smyrna,130129003580,2015,Teachers absent more than 10 days of the school year,18.00,,,,,,,,,,,
GA,Cobb County,GA,International Academy of Smyrna,130129003580,2015,Teachers employed during current school year,69.00,,,,,,,,,,,
GA,Cobb County,GA,International Academy of Smyrna,130129003580,2015,Teachers employed during both the current and previous school year,58.00,,,,,,,,,,,
