Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Gwinnett County,GA,Brookwood Elementary School,130255001961,2015,Classroom Teachers,79.47,79.47,,,,,,,,,,
GA,Gwinnett County,GA,Brookwood Elementary School,130255001961,2015,Classroom teachers in their first year of teaching,5.00,,,,,,,,,,,
GA,Gwinnett County,GA,Brookwood Elementary School,130255001961,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Brookwood Elementary School,130255001961,2015,Teachers absent more than 10 days of the school year,18.00,,,,,,,,,,,
GA,Gwinnett County,GA,Brookwood Elementary School,130255001961,2015,Teachers employed during current school year,81.00,,,,,,,,,,,
GA,Gwinnett County,GA,Brookwood Elementary School,130255001961,2015,Teachers employed during both the current and previous school year,67.00,,,,,,,,,,,
GA,Gwinnett County,GA,Brookwood Elementary School,130255001961,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Gwinnett County,GA,Brookwood Elementary School,130255001961,2015,Total enrollment,,,2.00,190.00,4.00,121.00,319.00,514.00,73.00,1223.00,143.00,157.00
GA,Gwinnett County,GA,Annistown Elementary School,130255001901,2015,Classroom Teachers,46.74,46.24,,,,,,,,,,
GA,Gwinnett County,GA,Annistown Elementary School,130255001901,2015,Classroom teachers in their first year of teaching,4.50,,,,,,,,,,,
GA,Gwinnett County,GA,Annistown Elementary School,130255001901,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Gwinnett County,GA,Annistown Elementary School,130255001901,2015,Teachers absent more than 10 days of the school year,13.00,,,,,,,,,,,
GA,Gwinnett County,GA,Annistown Elementary School,130255001901,2015,Teachers employed during current school year,51.00,,,,,,,,,,,
GA,Gwinnett County,GA,Annistown Elementary School,130255001901,2015,Teachers employed during both the current and previous school year,40.00,,,,,,,,,,,
GA,Gwinnett County,GA,Annistown Elementary School,130255001901,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Gwinnett County,GA,Annistown Elementary School,130255001901,2015,Total enrollment,,,0.00,22.00,2.00,187.00,394.00,40.00,22.00,667.00,86.00,148.00
GA,Gwinnett County,GA,Britt Elementary School,130255001134,2015,Classroom Teachers,41.49,41.49,,,,,,,,,,
GA,Gwinnett County,GA,Britt Elementary School,130255001134,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Gwinnett County,GA,Britt Elementary School,130255001134,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Gwinnett County,GA,Britt Elementary School,130255001134,2015,Teachers absent more than 10 days of the school year,11.00,,,,,,,,,,,
GA,Gwinnett County,GA,Britt Elementary School,130255001134,2015,Teachers employed during current school year,44.00,,,,,,,,,,,
GA,Gwinnett County,GA,Britt Elementary School,130255001134,2015,Teachers employed during both the current and previous school year,36.00,,,,,,,,,,,
GA,Gwinnett County,GA,Britt Elementary School,130255001134,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Gwinnett County,GA,Britt Elementary School,130255001134,2015,Total enrollment,,,0.00,7.00,0.00,88.00,382.00,112.00,22.00,611.00,53.00,76.00
GA,Gwinnett County,GA,Shiloh High School,130255001937,2015,Classroom Teachers,132.10,113.10,,,,,,,,,,
GA,Gwinnett County,GA,Shiloh High School,130255001937,2015,Classroom teachers in their first year of teaching,16.50,,,,,,,,,,,
GA,Gwinnett County,GA,Shiloh High School,130255001937,2015,Classroom teachers in their second year of teaching,4.00,,,,,,,,,,,
GA,Gwinnett County,GA,Shiloh High School,130255001937,2015,Teachers absent more than 10 days of the school year,29.00,,,,,,,,,,,
GA,Gwinnett County,GA,Shiloh High School,130255001937,2015,Teachers employed during current school year,133.00,,,,,,,,,,,
GA,Gwinnett County,GA,Shiloh High School,130255001937,2015,Teachers employed during both the current and previous school year,91.00,,,,,,,,,,,
GA,Gwinnett County,GA,Shiloh High School,130255001937,2015,High-School Counselors,6.00,,,,,,,,,,,
GA,Gwinnett County,GA,Shiloh High School,130255001937,2015,Total enrollment,,,2.00,55.00,4.00,307.00,1753.00,130.00,58.00,2309.00,323.00,67.00
GA,Gwinnett County,GA,South Gwinnett High School,130255001135,2015,Classroom Teachers,137.51,121.51,,,,,,,,,,
GA,Gwinnett County,GA,South Gwinnett High School,130255001135,2015,Classroom teachers in their first year of teaching,14.00,,,,,,,,,,,
