Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Social Circle City,GA,Social Circle Middle School,130454002463,2015,Classroom Teachers,22.00,21.00,,,,,,,,,,
GA,Social Circle City,GA,Social Circle Middle School,130454002463,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Social Circle City,GA,Social Circle Middle School,130454002463,2015,Classroom teachers in their second year of teaching,2.50,,,,,,,,,,,
GA,Social Circle City,GA,Social Circle Middle School,130454002463,2015,Teachers absent more than 10 days of the school year,2.00,,,,,,,,,,,
GA,Social Circle City,GA,Social Circle Middle School,130454002463,2015,Teachers employed during current school year,24.00,,,,,,,,,,,
GA,Social Circle City,GA,Social Circle Middle School,130454002463,2015,Teachers employed during both the current and previous school year,19.00,,,,,,,,,,,
GA,Social Circle City,GA,Social Circle Middle School,130454002463,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Social Circle City,GA,Social Circle Middle School,130454002463,2015,Total enrollment,,,0.00,7.00,0.00,10.00,85.00,277.00,13.00,392.00,38.00,2.00
GA,Social Circle City,GA,Social Circle Primary School,130454002622,2015,Classroom Teachers,29.50,29.50,,,,,,,,,,
GA,Social Circle City,GA,Social Circle Primary School,130454002622,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Social Circle City,GA,Social Circle Primary School,130454002622,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Social Circle City,GA,Social Circle Primary School,130454002622,2015,Teachers absent more than 10 days of the school year,3.50,,,,,,,,,,,
GA,Social Circle City,GA,Social Circle Primary School,130454002622,2015,Teachers employed during current school year,32.00,,,,,,,,,,,
GA,Social Circle City,GA,Social Circle Primary School,130454002622,2015,Teachers employed during both the current and previous school year,28.00,,,,,,,,,,,
GA,Social Circle City,GA,Social Circle Primary School,130454002622,2015,High-School Counselors,0.50,,,,,,,,,,,
GA,Social Circle City,GA,Social Circle Primary School,130454002622,2015,Total enrollment,,,2.00,7.00,0.00,16.00,106.00,256.00,10.00,397.00,44.00,4.00
GA,Social Circle City,GA,Social Circle Elementary School,130454001616,2015,Classroom Teachers,25.98,25.98,,,,,,,,,,
GA,Social Circle City,GA,Social Circle Elementary School,130454001616,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Social Circle City,GA,Social Circle Elementary School,130454001616,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Social Circle City,GA,Social Circle Elementary School,130454001616,2015,Teachers absent more than 10 days of the school year,7.50,,,,,,,,,,,
GA,Social Circle City,GA,Social Circle Elementary School,130454001616,2015,Teachers employed during current school year,30.00,,,,,,,,,,,
GA,Social Circle City,GA,Social Circle Elementary School,130454001616,2015,Teachers employed during both the current and previous school year,25.00,,,,,,,,,,,
GA,Social Circle City,GA,Social Circle Elementary School,130454001616,2015,High-School Counselors,0.50,,,,,,,,,,,
GA,Social Circle City,GA,Social Circle Elementary School,130454001616,2015,Total enrollment,,,2.00,5.00,0.00,7.00,91.00,274.00,13.00,392.00,50.00,7.00
GA,Social Circle City,GA,Social Circle High School,130454001617,2015,Classroom Teachers,32.39,29.39,,,,,,,,,,
GA,Social Circle City,GA,Social Circle High School,130454001617,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Social Circle City,GA,Social Circle High School,130454001617,2015,Classroom teachers in their second year of teaching,4.50,,,,,,,,,,,
GA,Social Circle City,GA,Social Circle High School,130454001617,2015,Teachers absent more than 10 days of the school year,3.00,,,,,,,,,,,
GA,Social Circle City,GA,Social Circle High School,130454001617,2015,Teachers employed during current school year,34.00,,,,,,,,,,,
GA,Social Circle City,GA,Social Circle High School,130454001617,2015,Teachers employed during both the current and previous school year,25.00,,,,,,,,,,,
GA,Social Circle City,GA,Social Circle High School,130454001617,2015,High-School Counselors,0.98,,,,,,,,,,,
GA,Social Circle City,GA,Social Circle High School,130454001617,2015,Total enrollment,,,0.00,4.00,0.00,16.00,118.00,376.00,13.00,527.00,59.00,2.00

