Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Effingham County,GA,Springfield Elementary School,130198000891,2015,Classroom Teachers,46.71,46.71,,,,,,,,,,
GA,Effingham County,GA,Springfield Elementary School,130198000891,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,Effingham County,GA,Springfield Elementary School,130198000891,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Effingham County,GA,Springfield Elementary School,130198000891,2015,Teachers absent more than 10 days of the school year,17.00,,,,,,,,,,,
GA,Effingham County,GA,Springfield Elementary School,130198000891,2015,Teachers employed during current school year,49.00,,,,,,,,,,,
GA,Effingham County,GA,Springfield Elementary School,130198000891,2015,Teachers employed during both the current and previous school year,39.00,,,,,,,,,,,
GA,Effingham County,GA,Springfield Elementary School,130198000891,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Effingham County,GA,Springfield Elementary School,130198000891,2015,Total enrollment,,,2.00,2.00,0.00,34.00,184.00,442.00,22.00,686.00,128.00,7.00
GA,Effingham County,GA,Effingham County High School,130198000890,2015,Classroom Teachers,96.80,92.80,,,,,,,,,,
GA,Effingham County,GA,Effingham County High School,130198000890,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Effingham County,GA,Effingham County High School,130198000890,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Effingham County,GA,Effingham County High School,130198000890,2015,Teachers absent more than 10 days of the school year,41.04,,,,,,,,,,,
GA,Effingham County,GA,Effingham County High School,130198000890,2015,Teachers employed during current school year,101.00,,,,,,,,,,,
GA,Effingham County,GA,Effingham County High School,130198000890,2015,Teachers employed during both the current and previous school year,89.00,,,,,,,,,,,
GA,Effingham County,GA,Effingham County High School,130198000890,2015,High-School Counselors,4.49,,,,,,,,,,,
GA,Effingham County,GA,Effingham County High School,130198000890,2015,Total enrollment,,,7.00,13.00,2.00,97.00,412.00,1276.00,82.00,1889.00,233.00,13.00

