Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Barrow County,GA,Bear Creek Middle School,130029000175,2015,Classroom Teachers,54.00,53.00,,,,,,,,,,
GA,Barrow County,GA,Bear Creek Middle School,130029000175,2015,Classroom teachers in their first year of teaching,7.00,,,,,,,,,,,
GA,Barrow County,GA,Bear Creek Middle School,130029000175,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Barrow County,GA,Bear Creek Middle School,130029000175,2015,Teachers absent more than 10 days of the school year,26.00,,,,,,,,,,,
GA,Barrow County,GA,Bear Creek Middle School,130029000175,2015,Teachers employed during current school year,54.00,,,,,,,,,,,
GA,Barrow County,GA,Bear Creek Middle School,130029000175,2015,Teachers employed during both the current and previous school year,35.00,,,,,,,,,,,
GA,Barrow County,GA,Bear Creek Middle School,130029000175,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Barrow County,GA,Bear Creek Middle School,130029000175,2015,Total enrollment,,,4.00,28.00,2.00,121.00,139.00,481.00,40.00,815.00,104.00,25.00
GA,Barrow County,GA,Statham Elementary School,130029000171,2015,Classroom Teachers,66.00,66.00,,,,,,,,,,
GA,Barrow County,GA,Statham Elementary School,130029000171,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Barrow County,GA,Statham Elementary School,130029000171,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Barrow County,GA,Statham Elementary School,130029000171,2015,Teachers absent more than 10 days of the school year,28.00,,,,,,,,,,,
GA,Barrow County,GA,Statham Elementary School,130029000171,2015,Teachers employed during current school year,67.00,,,,,,,,,,,
GA,Barrow County,GA,Statham Elementary School,130029000171,2015,Teachers employed during both the current and previous school year,52.00,,,,,,,,,,,
GA,Barrow County,GA,Statham Elementary School,130029000171,2015,High-School Counselors,1.50,,,,,,,,,,,
GA,Barrow County,GA,Statham Elementary School,130029000171,2015,Total enrollment,,,2.00,43.00,0.00,145.00,148.00,574.00,31.00,943.00,125.00,136.00

