Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Henry County,GA,Pleasant Grove Elementary School,130282001641,2015,Classroom Teachers,31.88,29.88,,,,,,,,,,
GA,Henry County,GA,Pleasant Grove Elementary School,130282001641,2015,Classroom teachers in their first year of teaching,6.00,,,,,,,,,,,
GA,Henry County,GA,Pleasant Grove Elementary School,130282001641,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,Henry County,GA,Pleasant Grove Elementary School,130282001641,2015,Teachers absent more than 10 days of the school year,12.00,,,,,,,,,,,
GA,Henry County,GA,Pleasant Grove Elementary School,130282001641,2015,Teachers employed during current school year,33.00,,,,,,,,,,,
GA,Henry County,GA,Pleasant Grove Elementary School,130282001641,2015,Teachers employed during both the current and previous school year,19.00,,,,,,,,,,,
GA,Henry County,GA,Pleasant Grove Elementary School,130282001641,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Henry County,GA,Pleasant Grove Elementary School,130282001641,2015,Total enrollment,,,7.00,7.00,2.00,73.00,175.00,160.00,43.00,467.00,71.00,25.00
GA,Henry County,GA,Fairview Elementary School,130282001204,2015,Classroom Teachers,41.50,37.50,,,,,,,,,,
GA,Henry County,GA,Fairview Elementary School,130282001204,2015,Classroom teachers in their first year of teaching,7.00,,,,,,,,,,,
GA,Henry County,GA,Fairview Elementary School,130282001204,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Henry County,GA,Fairview Elementary School,130282001204,2015,Teachers absent more than 10 days of the school year,12.00,,,,,,,,,,,
GA,Henry County,GA,Fairview Elementary School,130282001204,2015,Teachers employed during current school year,42.00,,,,,,,,,,,
GA,Henry County,GA,Fairview Elementary School,130282001204,2015,Teachers employed during both the current and previous school year,30.00,,,,,,,,,,,
GA,Henry County,GA,Fairview Elementary School,130282001204,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Henry County,GA,Fairview Elementary School,130282001204,2015,Total enrollment,,,0.00,4.00,2.00,85.00,514.00,37.00,19.00,661.00,56.00,40.00
GA,Henry County,GA,Woodland Elementary School,130282003410,2015,Classroom Teachers,44.00,42.00,,,,,,,,,,
GA,Henry County,GA,Woodland Elementary School,130282003410,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Henry County,GA,Woodland Elementary School,130282003410,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Henry County,GA,Woodland Elementary School,130282003410,2015,Teachers absent more than 10 days of the school year,13.00,,,,,,,,,,,
GA,Henry County,GA,Woodland Elementary School,130282003410,2015,Teachers employed during current school year,44.00,,,,,,,,,,,
GA,Henry County,GA,Woodland Elementary School,130282003410,2015,Teachers employed during both the current and previous school year,39.00,,,,,,,,,,,
GA,Henry County,GA,Woodland Elementary School,130282003410,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,Henry County,GA,Woodland Elementary School,130282003410,2015,Total enrollment,,,2.00,16.00,2.00,82.00,289.00,283.00,49.00,723.00,110.00,19.00
GA,Henry County,GA,Woodland Middle School,130282003415,2015,Classroom Teachers,47.12,47.12,,,,,,,,,,
GA,Henry County,GA,Woodland Middle School,130282003415,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Henry County,GA,Woodland Middle School,130282003415,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Henry County,GA,Woodland Middle School,130282003415,2015,Teachers absent more than 10 days of the school year,16.00,,,,,,,,,,,
GA,Henry County,GA,Woodland Middle School,130282003415,2015,Teachers employed during current school year,47.00,,,,,,,,,,,
GA,Henry County,GA,Woodland Middle School,130282003415,2015,Teachers employed during both the current and previous school year,36.00,,,,,,,,,,,
GA,Henry County,GA,Woodland Middle School,130282003415,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Henry County,GA,Woodland Middle School,130282003415,2015,Total enrollment,,,0.00,28.00,2.00,76.00,337.00,277.00,46.00,766.00,125.00,7.00
GA,Rockdale County,GA,General Ray Davis Middle School,130441003446,2015,Classroom Teachers,70.95,68.85,,,,,,,,,,
GA,Rockdale County,GA,General Ray Davis Middle School,130441003446,2015,Classroom teachers in their first year of teaching,0.00,,,,,,,,,,,
GA,Rockdale County,GA,General Ray Davis Middle School,130441003446,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Rockdale County,GA,General Ray Davis Middle School,130441003446,2015,Teachers absent more than 10 days of the school year,27.30,,,,,,,,,,,
GA,Rockdale County,GA,General Ray Davis Middle School,130441003446,2015,Teachers employed during current school year,71.00,,,,,,,,,,,
GA,Rockdale County,GA,General Ray Davis Middle School,130441003446,2015,Teachers employed during both the current and previous school year,52.00,,,,,,,,,,,
GA,Rockdale County,GA,General Ray Davis Middle School,130441003446,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Rockdale County,GA,General Ray Davis Middle School,130441003446,2015,Total enrollment,,,0.00,16.00,4.00,58.00,655.00,277.00,34.00,1044.00,110.00,2.00
GA,Henry County,GA,Red Oak Elementary School,130282003416,2015,Classroom Teachers,49.05,49.05,,,,,,,,,,
GA,Henry County,GA,Red Oak Elementary School,130282003416,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,Henry County,GA,Red Oak Elementary School,130282003416,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Henry County,GA,Red Oak Elementary School,130282003416,2015,Teachers absent more than 10 days of the school year,20.00,,,,,,,,,,,
GA,Henry County,GA,Red Oak Elementary School,130282003416,2015,Teachers employed during current school year,50.00,,,,,,,,,,,
