Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,DeKalb County,GA,DeKalb Academy of Technology and the Environment Charter Sc,130174003955,2015,Classroom Teachers,36.50,35.50,,,,,,,,,,
GA,DeKalb County,GA,DeKalb Academy of Technology and the Environment Charter Sc,130174003955,2015,Classroom teachers in their first year of teaching,2.00,,,,,,,,,,,
GA,DeKalb County,GA,DeKalb Academy of Technology and the Environment Charter Sc,130174003955,2015,Classroom teachers in their second year of teaching,2.00,,,,,,,,,,,
GA,DeKalb County,GA,DeKalb Academy of Technology and the Environment Charter Sc,130174003955,2015,Teachers absent more than 10 days of the school year,5.00,,,,,,,,,,,
GA,DeKalb County,GA,DeKalb Academy of Technology and the Environment Charter Sc,130174003955,2015,Teachers employed during current school year,37.00,,,,,,,,,,,
GA,DeKalb County,GA,DeKalb Academy of Technology and the Environment Charter Sc,130174003955,2015,Teachers employed during both the current and previous school year,23.00,,,,,,,,,,,
GA,DeKalb County,GA,DeKalb Academy of Technology and the Environment Charter Sc,130174003955,2015,High-School Counselors,1.00,,,,,,,,,,,
GA,DeKalb County,GA,DeKalb Academy of Technology and the Environment Charter Sc,130174003955,2015,Total enrollment,,,0.00,4.00,0.00,43.00,691.00,4.00,10.00,752.00,17.00,34.00
GA,DeKalb County,GA,Smoke Rise Elementary School,130174000715,2015,Classroom Teachers,33.19,33.19,,,,,,,,,,
GA,DeKalb County,GA,Smoke Rise Elementary School,130174000715,2015,Classroom teachers in their first year of teaching,1.00,,,,,,,,,,,
GA,DeKalb County,GA,Smoke Rise Elementary School,130174000715,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,DeKalb County,GA,Smoke Rise Elementary School,130174000715,2015,Teachers absent more than 10 days of the school year,10.00,,,,,,,,,,,
GA,DeKalb County,GA,Smoke Rise Elementary School,130174000715,2015,Teachers employed during current school year,34.00,,,,,,,,,,,
GA,DeKalb County,GA,Smoke Rise Elementary School,130174000715,2015,Teachers employed during both the current and previous school year,28.00,,,,,,,,,,,
GA,DeKalb County,GA,Smoke Rise Elementary School,130174000715,2015,High-School Counselors,1.50,,,,,,,,,,,
GA,DeKalb County,GA,Smoke Rise Elementary School,130174000715,2015,Total enrollment,,,4.00,19.00,2.00,112.00,226.00,25.00,16.00,404.00,59.00,124.00
GA,DeKalb County,GA,Woodridge Elementary School,130174000660,2015,Classroom Teachers,36.50,34.50,,,,,,,,,,
GA,DeKalb County,GA,Woodridge Elementary School,130174000660,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,DeKalb County,GA,Woodridge Elementary School,130174000660,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,DeKalb County,GA,Woodridge Elementary School,130174000660,2015,Teachers absent more than 10 days of the school year,14.50,,,,,,,,,,,
GA,DeKalb County,GA,Woodridge Elementary School,130174000660,2015,Teachers employed during current school year,39.00,,,,,,,,,,,
GA,DeKalb County,GA,Woodridge Elementary School,130174000660,2015,Teachers employed during both the current and previous school year,33.00,,,,,,,,,,,
GA,DeKalb County,GA,Woodridge Elementary School,130174000660,2015,High-School Counselors,1.49,,,,,,,,,,,
GA,DeKalb County,GA,Woodridge Elementary School,130174000660,2015,Total enrollment,,,0.00,2.00,4.00,22.00,502.00,4.00,10.00,544.00,71.00,13.00
GA,DeKalb County,GA,Stone Mountain Elementary School,130174000732,2015,Classroom Teachers,34.75,31.75,,,,,,,,,,
GA,DeKalb County,GA,Stone Mountain Elementary School,130174000732,2015,Classroom teachers in their first year of teaching,5.00,,,,,,,,,,,
GA,DeKalb County,GA,Stone Mountain Elementary School,130174000732,2015,Classroom teachers in their second year of teaching,3.50,,,,,,,,,,,
GA,DeKalb County,GA,Stone Mountain Elementary School,130174000732,2015,Teachers absent more than 10 days of the school year,6.25,,,,,,,,,,,
GA,DeKalb County,GA,Stone Mountain Elementary School,130174000732,2015,Teachers employed during current school year,36.00,,,,,,,,,,,
GA,DeKalb County,GA,Stone Mountain Elementary School,130174000732,2015,Teachers employed during both the current and previous school year,24.00,,,,,,,,,,,
GA,DeKalb County,GA,Stone Mountain Elementary School,130174000732,2015,High-School Counselors,1.49,,,,,,,,,,,
GA,DeKalb County,GA,Stone Mountain Elementary School,130174000732,2015,Total enrollment,,,0.00,4.00,2.00,52.00,478.00,13.00,16.00,565.00,41.00,37.00
GA,DeKalb County,GA,Stephenson High School,130174001553,2015,Classroom Teachers,88.25,80.25,,,,,,,,,,
GA,DeKalb County,GA,Stephenson High School,130174001553,2015,Classroom teachers in their first year of teaching,4.00,,,,,,,,,,,
GA,DeKalb County,GA,Stephenson High School,130174001553,2015,Classroom teachers in their second year of teaching,4.00,,,,,,,,,,,
GA,DeKalb County,GA,Stephenson High School,130174001553,2015,Teachers absent more than 10 days of the school year,34.00,,,,,,,,,,,
GA,DeKalb County,GA,Stephenson High School,130174001553,2015,Teachers employed during current school year,89.00,,,,,,,,,,,
GA,DeKalb County,GA,Stephenson High School,130174001553,2015,Teachers employed during both the current and previous school year,71.00,,,,,,,,,,,
GA,DeKalb County,GA,Stephenson High School,130174001553,2015,High-School Counselors,4.00,,,,,,,,,,,
GA,DeKalb County,GA,Stephenson High School,130174001553,2015,Total enrollment,,,4.00,4.00,2.00,43.00,1537.00,7.00,19.00,1616.00,170.00,13.00
GA,DeKalb County,GA,Stephenson Middle School,130174001547,2015,Classroom Teachers,61.74,57.74,,,,,,,,,,
GA,DeKalb County,GA,Stephenson Middle School,130174001547,2015,Classroom teachers in their first year of teaching,7.00,,,,,,,,,,,
GA,DeKalb County,GA,Stephenson Middle School,130174001547,2015,Classroom teachers in their second year of teaching,7.00,,,,,,,,,,,
GA,DeKalb County,GA,Stephenson Middle School,130174001547,2015,Teachers absent more than 10 days of the school year,30.00,,,,,,,,,,,
GA,DeKalb County,GA,Stephenson Middle School,130174001547,2015,Teachers employed during current school year,63.00,,,,,,,,,,,
GA,DeKalb County,GA,Stephenson Middle School,130174001547,2015,Teachers employed during both the current and previous school year,49.00,,,,,,,,,,,
GA,DeKalb County,GA,Stephenson Middle School,130174001547,2015,High-School Counselors,2.50,,,,,,,,,,,
GA,DeKalb County,GA,Stephenson Middle School,130174001547,2015,Total enrollment,,,4.00,4.00,2.00,28.00,961.00,7.00,13.00,1019.00,98.00,7.00
